POSX;POSY;POSZ;POSA;V10;V20;V13;V23
621;5100;1640;50;609;474;483;609
621;5100;1640;50;578;420;451;556
621;5100;1640;50;567;412;441;551
621;5100;1640;50;565;407;439;543
621;5100;1640;50;562;400;432;537
621;5100;1640;50;561;398;433;535
621;5100;1640;50;553;385;425;527
621;5100;1640;50;555;384;427;525
621;5100;1640;50;547;381;425;520
621;5100;1640;50;543;373;423;514
621;5100;1640;50;543;366;421;515
621;5100;1640;50;539;362;417;512
621;5100;1640;50;536;364;419;508
621;5100;1640;50;536;358;412;505
621;5100;1640;50;534;356;416;501
621;5100;1640;50;535;361;415;506
621;5100;1640;50;534;359;412;502
621;5100;1640;50;532;357;413;502
621;5100;1640;50;535;356;412;504
621;5100;1640;50;533;358;413;501
621;5100;1640;50;533;357;414;504
621;5100;1640;50;529;357;413;501
621;5100;1640;50;533;354;412;500
621;5100;1640;50;527;355;411;501
621;5100;1640;50;532;352;406;499
621;5100;1640;50;532;359;410;503
621;5100;1640;50;531;356;410;500
621;5100;1640;50;532;354;417;498
621;5100;1640;50;530;351;411;500
621;5100;1640;50;532;351;407;500
621;5100;1640;50;533;352;410;499
621;5100;1640;50;530;351;411;498
621;5100;1640;50;532;347;410;499
621;5100;1640;50;531;351;408;495
621;5100;1640;50;531;352;410;497
621;5100;1640;50;535;352;412;497
621;5100;1640;50;532;355;413;500
621;5100;1640;50;533;353;411;498
621;5100;1640;50;530;357;410;495
621;5100;1640;50;534;354;413;499
621;5100;1640;50;531;357;409;500
621;5100;1640;50;534;357;411;499
621;5100;1640;50;531;354;413;496
621;5100;1640;50;532;350;407;495
621;5100;1640;50;533;353;416;501
621;5100;1640;50;534;352;412;497
621;5100;1640;50;534;353;408;497
621;5100;1640;50;538;352;414;499
621;5100;1640;50;530;356;412;497
621;5100;1640;50;533;351;412;495
621;5100;1640;50;532;353;412;498
1242;5100;1640;50;537;357;415;496
1242;5100;1640;50;540;357;413;496
1242;5100;1640;50;540;357;412;498
1242;5100;1640;50;541;356;415;495
1242;5100;1640;50;540;356;412;497
1242;5100;1640;50;542;360;413;498
1242;5100;1640;50;538;357;413;496
1242;5100;1640;50;540;356;413;495
1242;5100;1640;50;543;359;416;499
1242;5100;1640;50;540;361;422;497
1242;5100;1640;50;541;358;413;500
1242;5100;1640;50;541;357;413;498
1242;5100;1640;50;543;361;415;497
1242;5100;1640;50;541;358;417;501
1242;5100;1640;50;541;358;411;499
1242;5100;1640;50;542;358;414;503
1242;5100;1640;50;542;358;413;504
1242;5100;1640;50;540;358;413;498
1242;5100;1640;50;544;358;413;498
1242;5100;1640;50;543;360;415;496
1242;5100;1640;50;542;358;415;496
1242;5100;1640;50;539;359;413;495
1242;5100;1640;50;542;359;414;499
1242;5100;1640;50;544;357;412;499
1242;5100;1640;50;540;359;415;500
1242;5100;1640;50;540;357;414;496
1242;5100;1640;50;542;358;416;500
1242;5100;1640;50;540;364;415;497
1242;5100;1640;50;543;357;415;497
1242;5100;1640;50;541;359;415;495
1242;5100;1640;50;543;364;417;497
1242;5100;1640;50;542;358;412;495
