POSX;POSY;POSZ;POSA;V10;V20;V13;V23
621;5100;1640;50;584;457;462;589
621;5100;1640;50;588;459;458;592
621;5100;1640;50;586;458;458;591
621;5100;1640;50;587;455;458;588
621;5100;1640;50;584;457;458;592
621;5100;1640;50;585;460;460;594
621;5100;1640;50;581;454;460;590
621;5100;1640;50;584;450;458;590
621;5100;1640;50;587;457;464;588
621;5100;1640;50;586;460;458;589
621;5100;1640;50;585;456;459;590
621;5100;1640;50;585;461;457;589
621;5100;1640;50;586;458;457;587
621;5100;1640;50;587;458;458;588
621;5100;1640;50;587;459;458;590
621;5100;1640;50;585;456;454;589
621;5100;1640;50;586;455;459;595
621;5100;1640;50;586;459;458;590
621;5100;1640;50;581;459;455;588
621;5100;1640;50;586;456;458;591
621;5100;1640;50;586;457;459;595
621;5100;1640;50;585;458;455;593
621;5100;1640;50;586;459;459;579
621;5100;1640;50;589;457;458;590
621;5100;1640;50;586;455;457;595
621;5100;1640;50;586;454;461;589
621;5100;1640;50;586;459;452;588
621;5100;1640;50;583;458;457;590
621;5100;1640;50;584;459;458;588
621;5100;1640;50;586;460;455;590
621;5100;1640;50;578;459;457;590
621;5100;1640;50;584;458;459;588
621;5100;1640;50;587;460;458;588
621;5100;1640;50;583;454;454;591
621;5100;1640;50;584;458;460;589
621;5100;1640;50;587;459;460;588
621;5100;1640;50;587;458;457;590
621;5100;1640;50;584;458;457;588
621;5100;1640;50;587;459;459;586
621;5100;1640;50;581;453;460;587
621;5100;1640;50;582;457;455;593
621;5100;1640;50;586;457;457;593
621;5100;1640;50;586;456;456;588
621;5100;1640;50;584;456;457;589
621;5100;1640;50;585;458;458;588
621;5100;1640;50;587;456;459;587
621;5100;1640;50;584;451;457;589
621;5100;1640;50;581;459;462;591
621;5100;1640;50;585;458;464;590
621;5100;1640;50;586;458;458;589
621;5100;1640;50;588;458;458;592
1242;5100;1640;50;586;458;456;586
1242;5100;1640;50;591;461;457;585
1242;5100;1640;50;586;460;456;585
1242;5100;1640;50;588;457;456;584
1242;5100;1640;50;583;460;455;586
1242;5100;1640;50;587;467;456;579
1242;5100;1640;50;587;465;456;584
1242;5100;1640;50;593;461;454;584
1242;5100;1640;50;587;458;456;583
1242;5100;1640;50;592;458;454;584
1242;5100;1640;50;591;459;457;582
1242;5100;1640;50;588;462;454;581
1242;5100;1640;50;585;459;465;584
1242;5100;1640;50;587;459;455;583
1242;5100;1640;50;595;464;451;583
1242;5100;1640;50;590;460;453;583
1242;5100;1640;50;590;460;453;584
1242;5100;1640;50;587;457;452;580
1242;5100;1640;50;585;458;453;584
1242;5100;1640;50;590;461;460;587
1242;5100;1640;50;588;459;457;585
1242;5100;1640;50;583;460;455;585
1242;5100;1640;50;584;460;457;587
1242;5100;1640;50;588;458;453;585
1242;5100;1640;50;586;459;455;585
1242;5100;1640;50;586;462;455;584
1242;5100;1640;50;587;461;454;585
1242;5100;1640;50;589;455;455;583
1242;5100;1640;50;590;453;457;584
1242;5100;1640;50;590;461;455;584
1242;5100;1640;50;584;458;456;585
1242;5100;1640;50;587;461;455;585
1242;5100;1640;50;587;460;455;585
1242;5100;1640;50;587;461;454;583
1242;5100;1640;50;588;461;454;582
1242;5100;1640;50;588;455;453;585
1242;5100;1640;50;587;457;454;581
1242;5100;1640;50;587;459;457;589
1242;5100;1640;50;588;456;450;584
1242;5100;1640;50;587;457;455;586
1242;5100;1640;50;587;466;455;583
1242;5100;1640;50;588;458;454;586
1242;5100;1640;50;586;460;458;584
1242;5100;1640;50;586;459;456;586
1242;5100;1640;50;594;464;454;585
1242;5100;1640;50;586;464;456;585
1242;5100;1640;50;586;466;456;584
1242;5100;1640;50;589;460;457;584
1242;5100;1640;50;588;459;454;585
1242;5100;1640;50;585;459;454;582
1242;5100;1640;50;593;460;465;583
1863;5100;1640;50;587;462;456;578
1863;5100;1640;50;587;464;454;580
1863;5100;1640;50;588;460;454;582
1863;5100;1640;50;593;460;453;583
1863;5100;1640;50;587;462;454;584
1863;5100;1640;50;587;463;453;584
1863;5100;1640;50;589;463;453;581
1863;5100;1640;50;588;460;459;583
1863;5100;1640;50;586;458;454;580
1863;5100;1640;50;589;462;454;581
1863;5100;1640;50;588;464;451;583
1863;5100;1640;50;587;460;452;585
1863;5100;1640;50;587;461;453;585
1863;5100;1640;50;589;462;450;576
1863;5100;1640;50;587;461;454;582
