POSX;POSY;POSZ;POSA;V10;V20;V13;V23
621;4500;1640;50;629;499;504;632
621;4500;1640;50;586;431;457;568
621;4500;1640;50;576;418;448;555
621;4500;1640;50;571;414;445;549
621;4500;1640;50;568;408;443;545
621;4500;1640;50;567;404;440;543
621;4500;1640;50;565;400;438;539
621;4500;1640;50;562;396;435;535
621;4500;1640;50;560;392;432;531
621;4500;1640;50;557;392;432;528
621;4500;1640;50;555;385;428;524
621;4500;1640;50;552;382;425;521
621;4500;1640;50;544;378;425;523
621;4500;1640;50;550;375;423;516
621;4500;1640;50;545;374;421;515
621;4500;1640;50;545;372;421;512
621;4500;1640;50;544;368;415;507
621;4500;1640;50;547;367;417;509
621;4500;1640;50;540;364;420;507
621;4500;1640;50;543;365;417;509
621;4500;1640;50;530;364;418;507
621;4500;1640;50;537;363;415;506
621;4500;1640;50;539;362;416;505
621;4500;1640;50;539;361;420;505
621;4500;1640;50;538;361;413;504
621;4500;1640;50;540;360;413;501
621;4500;1640;50;541;359;414;504
621;4500;1640;50;540;361;414;501
621;4500;1640;50;540;359;414;502
621;4500;1640;50;545;358;416;502
621;4500;1640;50;538;358;413;497
621;4500;1640;50;538;352;413;501
621;4500;1640;50;538;357;411;500
621;4500;1640;50;537;357;409;501
621;4500;1640;50;537;357;413;501
621;4500;1640;50;537;360;408;502
621;4500;1640;50;537;356;415;501
621;4500;1640;50;539;356;414;502
621;4500;1640;50;536;357;414;500
621;4500;1640;50;537;356;413;500
621;4500;1640;50;539;356;414;501
621;4500;1640;50;537;356;412;500
621;4500;1640;50;539;356;413;500
621;4500;1640;50;538;356;411;498
621;4500;1640;50;536;357;414;499
621;4500;1640;50;538;356;409;500
621;4500;1640;50;539;356;413;498
621;4500;1640;50;539;355;414;501
621;4500;1640;50;538;354;414;500
621;4500;1640;50;538;356;409;500
621;4500;1640;50;538;355;422;499
1242;4500;1640;50;538;361;414;500
1242;4500;1640;50;543;362;415;502
1242;4500;1640;50;543;361;418;498
1242;4500;1640;50;544;361;416;499
1242;4500;1640;50;543;361;417;499
1242;4500;1640;50;539;360;417;503
1242;4500;1640;50;544;361;422;499
1242;4500;1640;50;545;357;409;500
1242;4500;1640;50;544;361;414;500
1242;4500;1640;50;544;361;415;500
1242;4500;1640;50;545;364;419;499
1242;4500;1640;50;545;360;415;501
1242;4500;1640;50;544;360;415;497
1242;4500;1640;50;546;362;413;501
1242;4500;1640;50;545;363;416;499
1242;4500;1640;50;545;360;419;501
1242;4500;1640;50;546;361;416;500
1242;4500;1640;50;545;361;418;500
1242;4500;1640;50;546;362;416;500
1242;4500;1640;50;546;360;416;499
1242;4500;1640;50;546;359;416;502
1242;4500;1640;50;545;363;412;501
1242;4500;1640;50;548;361;419;500
1242;4500;1640;50;545;363;417;498
1242;4500;1640;50;542;364;416;495
1242;4500;1640;50;547;362;418;501
1242;4500;1640;50;546;358;417;501
1242;4500;1640;50;546;362;416;502
1242;4500;1640;50;547;361;418;501
1242;4500;1640;50;547;361;419;501
1242;4500;1640;50;546;365;416;502
1242;4500;1640;50;547;363;418;500
1242;4500;1640;50;547;362;415;501
1242;4500;1640;50;547;362;418;494
