POSX;POSY;POSZ;POSA;V10;V20;V13;V23
621;5100;1640;50;589;461;461;593
621;5100;1640;50;589;463;458;594
621;5100;1640;50;591;464;463;595
621;5100;1640;50;590;466;458;592
621;5100;1640;50;589;462;464;595
621;5100;1640;50;590;465;458;595
621;5100;1640;50;590;462;461;593
621;5100;1640;50;589;461;461;591
621;5100;1640;50;586;465;460;594
621;5100;1640;50;593;464;460;591
621;5100;1640;50;587;464;462;597
621;5100;1640;50;591;464;463;595
621;5100;1640;50;591;463;458;597
621;5100;1640;50;589;463;459;594
621;5100;1640;50;599;466;461;595
621;5100;1640;50;598;464;460;594
621;5100;1640;50;590;466;463;594
621;5100;1640;50;589;460;464;595
621;5100;1640;50;591;463;464;593
621;5100;1640;50;590;460;462;597
621;5100;1640;50;590;464;462;596
621;5100;1640;50;590;463;464;596
621;5100;1640;50;589;464;463;596
621;5100;1640;50;588;463;464;598
621;5100;1640;50;594;465;462;596
621;5100;1640;50;584;462;464;597
621;5100;1640;50;588;463;460;596
621;5100;1640;50;589;463;462;595
621;5100;1640;50;581;463;458;601
621;5100;1640;50;589;462;464;595
621;5100;1640;50;587;464;463;595
621;5100;1640;50;591;464;464;595
621;5100;1640;50;588;461;465;600
621;5100;1640;50;594;463;460;598
621;5100;1640;50;589;463;462;594
621;5100;1640;50;588;460;461;595
621;5100;1640;50;590;463;459;601
621;5100;1640;50;587;465;464;595
621;5100;1640;50;587;463;461;596
621;5100;1640;50;582;463;463;595
621;5100;1640;50;590;463;462;595
621;5100;1640;50;587;463;462;593
621;5100;1640;50;589;464;463;594
621;5100;1640;50;590;468;463;595
621;5100;1640;50;590;462;459;594
621;5100;1640;50;590;465;462;595
621;5100;1640;50;591;464;462;594
621;5100;1640;50;590;466;462;596
621;5100;1640;50;590;465;463;595
621;5100;1640;50;591;462;463;595
621;5100;1640;50;588;462;469;596
1242;5100;1640;50;590;470;461;593
1242;5100;1640;50;589;467;463;597
1242;5100;1640;50;592;474;462;592
1242;5100;1640;50;591;467;455;591
1242;5100;1640;50;591;468;460;591
1242;5100;1640;50;589;468;460;590
1242;5100;1640;50;594;466;461;595
1242;5100;1640;50;591;468;458;595
1242;5100;1640;50;591;466;463;592
1242;5100;1640;50;595;467;460;595
1242;5100;1640;50;593;469;459;592
1242;5100;1640;50;590;467;461;595
1242;5100;1640;50;593;466;459;593
1242;5100;1640;50;593;466;459;594
1242;5100;1640;50;591;468;468;594
