POSX;POSY;POSZ;POSA;V10;V20;V13;V23
2857;5300;1640;50;590;465;448;580
2857;5300;1640;50;588;466;449;580
2857;5300;1640;50;591;464;450;580
2857;5300;1640;50;591;466;449;578
2857;5300;1640;50;591;465;450;583
2857;5300;1640;50;591;465;449;580
2857;5300;1640;50;590;466;449;575
2857;5300;1640;50;590;466;450;576
2857;5300;1640;50;591;465;450;579
2857;5300;1640;50;591;466;449;585
2857;5300;1640;50;591;466;445;576
2857;5300;1640;50;597;466;449;581
2857;5300;1640;50;591;466;450;580
2857;5300;1640;50;592;466;449;581
2857;5300;1640;50;592;466;449;579
2857;5300;1640;50;592;466;449;579
2857;5300;1640;50;591;466;450;580
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;591;465;452;581
2857;5300;1640;50;592;470;449;580
2857;5300;1640;50;590;466;449;580
2857;5300;1640;50;590;467;445;579
2857;5300;1640;50;591;466;441;577
2857;5300;1640;50;592;466;449;580
2857;5300;1640;50;592;466;450;580
2857;5300;1640;50;591;466;449;576
2857;5300;1640;50;589;471;446;579
2857;5300;1640;50;591;466;449;581
2857;5300;1640;50;591;466;448;580
2857;5300;1640;50;592;466;449;579
2857;5300;1640;50;591;465;449;579
2857;5300;1640;50;591;468;448;577
2857;5300;1640;50;591;465;451;579
2857;5300;1640;50;592;466;449;580
2857;5300;1640;50;591;466;449;581
2857;5300;1640;50;590;467;449;580
2857;5300;1640;50;592;465;450;581
2857;5300;1640;50;590;467;448;579
2857;5300;1640;50;592;466;448;577
2857;5300;1640;50;592;466;449;579
2857;5300;1640;50;592;464;449;580
2857;5300;1640;50;591;466;450;581
2857;5300;1640;50;591;466;449;580
2857;5300;1640;50;585;467;444;577
2857;5300;1640;50;591;466;449;582
2857;5300;1640;50;591;466;452;580
2857;5300;1640;50;591;460;451;583
2857;5300;1640;50;590;468;450;579
2857;5300;1640;50;588;465;452;580
2857;5300;1640;50;591;465;448;578
2857;5300;1640;50;591;466;449;579
2857;5300;1640;50;590;466;449;578
2857;5300;1640;50;591;465;449;580
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;591;466;448;580
2857;5300;1640;50;591;464;449;578
2857;5300;1640;50;591;466;450;580
2857;5300;1640;50;596;466;454;576
2857;5300;1640;50;597;466;449;580
2857;5300;1640;50;591;466;449;579
2857;5300;1640;50;591;466;448;580
2857;5300;1640;50;588;465;448;579
2857;5300;1640;50;591;466;449;579
2857;5300;1640;50;591;465;454;581
2857;5300;1640;50;593;465;449;571
2857;5300;1640;50;591;466;454;580
2857;5300;1640;50;591;463;446;579
2857;5300;1640;50;593;465;449;576
2857;5300;1640;50;591;464;449;579
2857;5300;1640;50;592;468;448;578
2857;5300;1640;50;591;465;451;581
2857;5300;1640;50;592;467;450;578
2857;5300;1640;50;590;464;449;579
2857;5300;1640;50;591;467;449;579
2857;5300;1640;50;593;466;448;579
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;591;465;450;581
2857;5300;1640;50;591;461;448;579
2857;5300;1640;50;591;463;448;579
2857;5300;1640;50;590;466;448;579
2857;5300;1640;50;590;466;447;579
2857;5300;1640;50;585;465;448;579
2857;5300;1640;50;591;469;449;579
2857;5300;1640;50;597;466;448;580
2857;5300;1640;50;592;466;451;578
2857;5300;1640;50;584;466;449;580
2857;5300;1640;50;587;463;451;579
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;587;466;448;579
2857;5300;1640;50;587;464;449;580
2857;5300;1640;50;592;460;448;579
2857;5300;1640;50;591;467;443;578
2857;5300;1640;50;595;465;447;580
2857;5300;1640;50;593;466;448;577
2857;5300;1640;50;591;462;449;581
2857;5300;1640;50;591;465;449;579
2857;5300;1640;50;592;469;445;574
2857;5300;1640;50;591;463;447;580
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;591;466;448;580
2857;5300;1640;50;590;469;449;581
2857;5300;1640;50;594;465;449;579
2857;5300;1640;50;591;466;449;580
2857;5300;1640;50;593;465;452;579
2857;5300;1640;50;591;465;449;579
2857;5300;1640;50;591;465;447;579
2857;5300;1640;50;589;465;448;579
2857;5300;1640;50;591;465;444;579
2857;5300;1640;50;590;466;448;579
2857;5300;1640;50;591;465;450;578
2857;5300;1640;50;590;465;447;580
2857;5300;1640;50;596;465;449;576
2857;5300;1640;50;592;464;446;579
2857;5300;1640;50;593;465;448;581
2857;5300;1640;50;586;464;449;584
2857;5300;1640;50;592;465;453;580
2857;5300;1640;50;585;465;447;579
2857;5300;1640;50;590;474;449;580
2857;5300;1640;50;596;467;449;579
2857;5300;1640;50;591;466;449;578
2857;5300;1640;50;593;465;447;580
2857;5300;1640;50;591;465;451;581
2857;5300;1640;50;586;464;447;578
2857;5300;1640;50;591;470;448;577
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;591;467;449;579
2857;5300;1640;50;590;465;449;579
2857;5300;1640;50;590;465;447;580
2857;5300;1640;50;591;466;448;580
2857;5300;1640;50;591;465;448;578
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;590;466;449;579
2857;5300;1640;50;589;470;448;579
2857;5300;1640;50;592;465;449;579
2857;5300;1640;50;590;465;448;579
2857;5300;1640;50;591;469;448;579
2857;5300;1640;50;590;465;449;578
2857;5300;1640;50;588;465;448;580
2857;5300;1640;50;591;466;450;579
2857;5300;1640;50;584;465;447;579
2857;5300;1640;50;591;467;449;579
2857;5300;1640;50;590;466;448;572
2857;5300;1640;50;591;465;450;580
2857;5300;1640;50;593;470;446;580
2857;5300;1640;50;593;465;447;578
2857;5300;1640;50;590;466;448;579
2857;5300;1640;50;590;467;449;578
2857;5300;1640;50;588;466;450;578
2857;5300;1640;50;590;466;449;578
2857;5300;1640;50;593;465;449;580
2857;5300;1640;50;590;469;448;579
2857;5300;1640;50;593;465;448;579
2857;5300;1640;50;589;467;445;578
2857;5300;1640;50;590;462;448;579
2857;5300;1640;50;590;464;446;578
2857;5300;1640;50;590;465;448;578
2857;5300;1640;50;590;465;449;580
2857;5300;1640;50;591;467;448;580
2857;5300;1640;50;590;466;448;581
2857;5300;1640;50;592;465;448;578
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;590;465;447;579
2857;5300;1640;50;590;461;449;579
2857;5300;1640;50;585;465;447;585
2857;5300;1640;50;589;466;449;580
2857;5300;1640;50;591;465;447;578
2857;5300;1640;50;590;465;448;578
2857;5300;1640;50;590;466;448;579
2857;5300;1640;50;590;465;449;580
2857;5300;1640;50;589;465;447;579
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;591;463;448;575
2857;5300;1640;50;594;466;446;580
2857;5300;1640;50;590;461;447;579
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;582;465;449;579
2857;5300;1640;50;590;465;441;579
2857;5300;1640;50;591;466;446;579
2857;5300;1640;50;592;465;450;579
2857;5300;1640;50;590;465;444;576
2857;5300;1640;50;591;466;447;578
2857;5300;1640;50;591;465;448;579
2857;5300;1640;50;590;466;448;579
2857;5300;1640;50;591;465;448;578
2857;5300;1640;50;590;465;446;579
2857;5300;1640;50;588;465;448;579
2857;5300;1640;50;589;465;447;579
2857;5300;1640;50;590;465;447;578
2857;5300;1640;50;590;465;448;579
2857;5300;1640;50;593;466;448;578
2857;5300;1640;50;590;465;450;579
2857;5300;1640;50;591;466;449;580
2857;5300;1640;50;591;465;448;578
2857;5300;1640;50;596;465;448;579
2857;5300;1640;50;590;465;444;579
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;591;466;448;574
2857;5300;1640;50;591;465;450;579
2857;5300;1640;50;591;465;448;580
2857;5300;1640;50;590;465;449;579
2857;5300;1640;50;591;466;448;581
2857;5300;1640;50;591;464;448;578
2857;5300;1640;50;588;466;448;579
2857;5300;1640;50;590;464;447;578
2857;5300;1640;50;584;468;449;579
2857;5300;1640;50;590;464;448;579
2857;5300;1640;50;591;465;447;583
2857;5300;1640;50;589;464;448;579
2857;5300;1640;50;592;466;448;575
2857;5300;1640;50;591;466;448;579
2857;5300;1640;50;592;462;448;579
2857;5300;1640;50;590;465;447;579
2857;5300;1640;50;591;466;448;579
2857;5300;1640;50;590;465;448;579
2857;5300;1640;50;599;465;448;578
2857;5300;1640;50;594;467;449;578
2857;5300;1640;50;589;465;448;579
2857;5300;1640;50;591;464;447;579
2857;5300;1640;50;590;459;448;579
2857;5300;1640;50;590;464;448;580
2857;5300;1640;50;589;466;448;578
2857;5300;1640;50;590;465;448;579
2857;5300;1640;50;590;465;448;579
2857;5300;1640;50;589;466;452;579
2857;5300;1640;50;590;466;447;579
2857;5300;1640;50;591;463;448;575
