PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;514;397;403;510
805;0;1750;125;509;400;393;505
1610;0;1750;125;508;402;389;503
2415;0;1750;125;508;404;388;503
3220;0;1750;125;509;406;388;503
4025;0;1750;125;509;406;388;504
4830;0;1750;125;509;407;388;504
5635;0;1750;125;509;408;388;504
6440;0;1750;125;510;408;388;504
7245;0;1750;125;511;409;388;505
8050;0;1750;125;511;409;387;505
8855;0;1750;125;512;410;387;504
9660;0;1750;125;515;412;383;503
0;950;1750;125;510;403;399;515
805;950;1750;125;511;405;394;510
0;1900;1750;125;508;402;399;514
805;1900;1750;125;510;406;394;510
0;2850;1750;125;509;403;399;515
805;2850;1750;125;510;406;394;510
0;3800;1750;125;509;403;399;514
805;3800;1750;125;510;406;394;510
0;4750;1750;125;509;403;399;515
805;4750;1750;125;510;406;394;510
0;5700;1750;125;509;404;399;515
805;5700;1750;125;511;407;394;510
0;6650;1750;125;509;404;398;515
805;6650;1750;125;511;407;394;511
0;7600;1750;125;510;404;399;515
805;7600;1750;125;511;407;394;511
0;8550;1750;125;510;404;399;515
805;8550;1750;125;511;407;394;511
0;9500;1750;125;510;404;399;515
805;9500;1750;125;512;407;394;511
0;10450;1750;125;510;405;398;516
805;10450;1750;125;512;407;394;512
0;11400;1750;125;511;405;398;516
805;11400;1750;125;512;407;394;512
0;12350;1750;125;512;404;398;516
805;12350;1750;125;513;407;394;513
0;13300;1750;125;513;406;396;515
805;13300;1750;125;513;408;393;512
1610;13300;1750;125;514;408;392;512
2415;13300;1750;125;513;408;392;511
3220;13300;1750;125;513;409;392;510
4025;13300;1750;125;513;410;392;509
4830;13300;1750;125;513;411;391;509
5635;13300;1750;125;514;411;391;509
6440;13300;1750;125;514;411;391;508
7245;13300;1750;125;514;412;391;508
