PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;511;397;408;509
805;0;1750;125;507;400;395;503
1610;0;1750;125;505;402;391;501
2415;0;1750;125;505;403;388;500
3220;0;1750;125;505;404;387;501
4025;0;1750;125;505;404;387;501
4830;0;1750;125;505;405;386;501
5635;0;1750;125;505;406;386;501
6440;0;1750;125;506;406;386;502
7245;0;1750;125;506;407;386;502
8050;0;1750;125;507;407;385;502
8855;0;1750;125;508;408;384;502
9660;0;1750;125;510;410;382;500
10465;0;1750;125;520;418;369;491
0;950;1750;125;505;401;397;513
805;950;1750;125;506;405;391;508
0;1900;1750;125;503;401;396;512
805;1900;1750;125;505;405;391;508
0;2850;1750;125;504;402;396;513
805;2850;1750;125;506;405;391;508
0;3800;1750;125;504;403;396;513
805;3800;1750;125;506;405;391;508
0;4750;1750;125;504;402;396;513
805;4750;1750;125;505;406;391;508
0;5700;1750;125;504;403;396;513
805;5700;1750;125;506;406;391;509
0;6650;1750;125;504;403;395;511
805;6650;1750;125;506;406;391;508
0;7600;1750;125;504;403;395;512
805;7600;1750;125;506;406;391;508
0;8550;1750;125;505;403;395;513
805;8550;1750;125;506;406;391;509
0;9500;1750;125;505;404;395;513
