PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;513;401;400;513
805;0;1750;125;511;404;393;508
1610;0;1750;125;511;406;391;507
2415;0;1750;125;511;408;389;507
3220;0;1750;125;511;409;389;506
4025;0;1750;125;512;409;389;507
4830;0;1750;125;512;410;389;507
5635;0;1750;125;512;410;389;507
6440;0;1750;125;512;410;389;507
7245;0;1750;125;513;410;389;507
8050;0;1750;125;513;411;388;507
8855;0;1750;125;514;412;387;507
9660;0;1750;125;517;414;383;504
0;950;1750;125;513;406;399;516
805;950;1750;125;512;408;394;512
1610;950;1750;125;512;409;392;510
2415;950;1750;125;513;410;391;509
3220;950;1750;125;512;410;390;508
4025;950;1750;125;513;411;390;508
4830;950;1750;125;512;410;390;507
5635;950;1750;125;513;410;390;508
6440;950;1750;125;513;411;390;508
7245;950;1750;125;513;411;390;508
8050;950;1750;125;514;411;389;507
8855;950;1750;125;515;412;387;506
9660;950;1750;125;521;416;380;502
0;1900;1750;125;513;406;400;516
805;1900;1750;125;512;408;394;512
1610;1900;1750;125;512;409;392;510
2415;1900;1750;125;513;410;391;509
3220;1900;1750;125;513;410;390;508
4025;1900;1750;125;513;410;391;508
4830;1900;1750;125;513;411;391;508
5635;1900;1750;125;513;411;390;508
6440;1900;1750;125;513;411;390;508
7245;1900;1750;125;513;411;390;508
8050;1900;1750;125;514;411;389;507
8855;1900;1750;125;516;413;387;506
9660;1900;1750;125;522;417;379;501
0;2850;1750;125;513;406;400;516
805;2850;1750;125;512;408;394;512
1610;2850;1750;125;512;409;392;510
2415;2850;1750;125;513;410;391;509
3220;2850;1750;125;513;410;391;508
4025;2850;1750;125;513;411;391;508
4830;2850;1750;125;513;411;390;508
5635;2850;1750;125;513;411;390;508
6440;2850;1750;125;513;411;390;508
7245;2850;1750;125;513;411;390;508
8050;2850;1750;125;514;412;389;507
8855;2850;1750;125;515;413;387;506
9660;2850;1750;125;520;416;381;502
0;3800;1750;125;513;406;400;517
805;3800;1750;125;512;408;395;512
1610;3800;1750;125;513;409;392;510
2415;3800;1750;125;513;410;391;509
3220;3800;1750;125;513;410;391;509
4025;3800;1750;125;513;411;391;508
4830;3800;1750;125;513;411;390;508
5635;3800;1750;125;513;411;390;508
6440;3800;1750;125;513;411;390;508
7245;3800;1750;125;513;412;390;508
8050;3800;1750;125;514;412;390;507
8855;3800;1750;125;515;412;388;507
9660;3800;1750;125;518;414;384;504
0;4750;1750;125;513;406;400;517
805;4750;1750;125;512;408;394;512
1610;4750;1750;125;513;410;392;510
2415;4750;1750;125;513;410;391;509
3220;4750;1750;125;513;411;391;508
4025;4750;1750;125;513;411;391;508
4830;4750;1750;125;513;411;390;508
5635;4750;1750;125;513;411;390;508
6440;4750;1750;125;513;411;390;508
7245;4750;1750;125;513;411;390;508
8050;4750;1750;125;513;411;389;508
8855;4750;1750;125;514;412;389;507
9660;4750;1750;125;515;413;387;506
10465;4750;1750;125;520;415;382;503
0;5700;1750;125;513;406;400;517
805;5700;1750;125;512;408;394;512
1610;5700;1750;125;513;410;392;510
2415;5700;1750;125;513;410;391;509
3220;5700;1750;125;513;411;391;508
4025;5700;1750;125;513;411;391;508
4830;5700;1750;125;513;411;390;508
5635;5700;1750;125;513;411;390;508
6440;5700;1750;125;513;411;390;508
7245;5700;1750;125;513;412;390;508
8050;5700;1750;125;513;411;389;508
8855;5700;1750;125;513;412;389;508
9660;5700;1750;125;514;412;388;507
10465;5700;1750;125;516;413;387;506
11270;5700;1750;125;520;415;382;504
0;6650;1750;125;513;406;399;517
805;6650;1750;125;512;408;394;512
1610;6650;1750;125;513;410;392;510
2415;6650;1750;125;512;410;391;509
3220;6650;1750;125;513;411;390;509
4025;6650;1750;125;513;411;390;509
4830;6650;1750;125;513;411;390;508
5635;6650;1750;125;513;411;390;508
6440;6650;1750;125;513;411;390;508
7245;6650;1750;125;513;411;390;508
8050;6650;1750;125;513;412;390;508
8855;6650;1750;125;513;412;389;508
9660;6650;1750;125;514;412;389;508
10465;6650;1750;125;514;412;388;507
11270;6650;1750;125;515;412;387;507
12075;6650;1750;125;517;413;385;507
12880;6650;1750;125;518;412;384;508
13685;6650;1750;125;518;410;384;509
14490;6650;1750;125;518;410;384;510
15295;6650;1750;125;519;411;382;508
0;7600;1750;125;514;406;400;517
805;7600;1750;125;513;408;394;512
1610;7600;1750;125;513;410;392;510
2415;7600;1750;125;513;411;391;509
3220;7600;1750;125;513;411;390;509
4025;7600;1750;125;513;411;390;508
4830;7600;1750;125;513;411;390;508
5635;7600;1750;125;513;411;390;508
6440;7600;1750;125;513;411;390;508
7245;7600;1750;125;513;411;389;508
8050;7600;1750;125;513;412;390;508
8855;7600;1750;125;513;411;389;508
9660;7600;1750;125;513;411;389;508
10465;7600;1750;125;514;411;389;508
11270;7600;1750;125;514;411;388;508
12075;7600;1750;125;515;411;388;508
12880;7600;1750;125;515;411;387;508
13685;7600;1750;125;516;411;387;508
14490;7600;1750;125;516;411;386;508
15295;7600;1750;125;519;413;383;507
0;8550;1750;125;514;407;399;517
805;8550;1750;125;512;409;394;512
1610;8550;1750;125;512;410;391;510
2415;8550;1750;125;512;411;390;510
3220;8550;1750;125;512;411;390;509
4025;8550;1750;125;512;412;390;509
4830;8550;1750;125;512;411;390;509
5635;8550;1750;125;512;411;390;509
6440;8550;1750;125;513;412;389;508
7245;8550;1750;125;513;412;389;509
8050;8550;1750;125;513;412;389;508
8855;8550;1750;125;513;412;389;508
9660;8550;1750;125;513;412;389;508
10465;8550;1750;125;513;412;389;508
11270;8550;1750;125;514;412;388;508
12075;8550;1750;125;514;412;388;508
12880;8550;1750;125;514;412;388;508
13685;8550;1750;125;515;412;387;508
14490;8550;1750;125;516;412;386;508
15295;8550;1750;125;518;414;383;506
0;9500;1750;125;514;407;399;517
805;9500;1750;125;512;409;393;513
1610;9500;1750;125;513;410;391;511
2415;9500;1750;125;513;411;390;509
3220;9500;1750;125;513;411;390;509
4025;9500;1750;125;513;411;390;509
4830;9500;1750;125;513;412;389;509
5635;9500;1750;125;513;411;389;509
6440;9500;1750;125;513;412;389;508
7245;9500;1750;125;512;411;389;508
8050;9500;1750;125;513;412;389;509
8855;9500;1750;125;513;411;389;508
9660;9500;1750;125;513;411;389;508
10465;9500;1750;125;513;411;389;508
11270;9500;1750;125;513;412;389;508
12075;9500;1750;125;513;411;388;508
12880;9500;1750;125;514;412;388;508
13685;9500;1750;125;514;412;387;508
14490;9500;1750;125;516;413;386;507
15295;9500;1750;125;518;414;382;506
0;10450;1750;125;514;407;399;517
805;10450;1750;125;513;409;393;513
1610;10450;1750;125;513;410;391;511
2415;10450;1750;125;513;411;390;510
3220;10450;1750;125;513;411;390;509
4025;10450;1750;125;513;412;389;509
4830;10450;1750;125;513;412;390;509
5635;10450;1750;125;513;412;389;509
6440;10450;1750;125;513;412;389;509
7245;10450;1750;125;513;412;389;509
8050;10450;1750;125;513;412;389;509
8855;10450;1750;125;513;412;389;508
9660;10450;1750;125;513;412;389;508
10465;10450;1750;125;513;412;389;508
11270;10450;1750;125;513;412;388;509
12075;10450;1750;125;514;412;388;509
12880;10450;1750;125;514;412;388;508
13685;10450;1750;125;514;412;388;508
14490;10450;1750;125;516;413;386;508
15295;10450;1750;125;519;414;382;506
0;11400;1750;125;515;407;398;517
805;11400;1750;125;513;409;393;513
1610;11400;1750;125;513;410;391;511
2415;11400;1750;125;513;411;390;510
3220;11400;1750;125;513;411;389;509
4025;11400;1750;125;513;411;389;509
4830;11400;1750;125;513;412;389;509
5635;11400;1750;125;513;412;389;509
6440;11400;1750;125;513;412;389;509
7245;11400;1750;125;513;411;389;509
8050;11400;1750;125;513;412;389;509
8855;11400;1750;125;513;412;389;508
9660;11400;1750;125;513;412;389;509
10465;11400;1750;125;513;412;389;509
11270;11400;1750;125;513;412;389;509
12075;11400;1750;125;514;412;388;508
12880;11400;1750;125;514;412;388;508
13685;11400;1750;125;515;412;387;508
14490;11400;1750;125;516;413;386;508
15295;11400;1750;125;519;414;382;506
0;12350;1750;125;516;407;398;517
805;12350;1750;125;513;409;393;513
1610;12350;1750;125;514;410;391;511
2415;12350;1750;125;513;410;390;510
3220;12350;1750;125;513;411;390;510
4025;12350;1750;125;513;411;389;509
4830;12350;1750;125;513;411;389;509
5635;12350;1750;125;513;411;389;509
6440;12350;1750;125;513;412;389;509
7245;12350;1750;125;513;412;389;509
8050;12350;1750;125;513;412;389;509
8855;12350;1750;125;513;412;389;509
9660;12350;1750;125;513;412;389;508
10465;12350;1750;125;513;412;389;509
11270;12350;1750;125;514;412;388;509
12075;12350;1750;125;514;412;388;509
12880;12350;1750;125;514;412;388;508
13685;12350;1750;125;515;412;387;508
14490;12350;1750;125;516;413;385;508
15295;12350;1750;125;519;415;382;506
0;13300;1750;125;516;407;397;518
805;13300;1750;125;514;408;392;514
1610;13300;1750;125;514;409;390;512
2415;13300;1750;125;513;410;390;511
3220;13300;1750;125;513;410;390;510
4025;13300;1750;125;513;411;390;510
4830;13300;1750;125;513;411;389;509
5635;13300;1750;125;513;411;389;509
6440;13300;1750;125;513;411;389;509
7245;13300;1750;125;513;412;389;509
8050;13300;1750;125;513;412;389;509
8855;13300;1750;125;513;411;388;509
