PositionsExploration:;NumX=;20;NumY=;15MaxX=;15300MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;515;401;409;510
805;0;1750;125;509;403;399;504
1610;0;1750;125;509;404;395;503
2415;0;1750;125;509;405;394;502
3220;0;1750;125;509;406;393;502
4025;0;1750;125;509;407;393;503
4830;0;1750;125;509;407;393;503
5635;0;1750;125;510;408;394;503
6440;0;1750;125;510;408;393;504
7245;0;1750;125;510;408;393;504
8050;0;1750;125;510;409;394;504
8855;0;1750;125;510;409;394;504
9660;0;1750;125;510;409;394;505
10465;0;1750;125;510;409;394;505
11270;0;1750;125;511;410;394;505
12075;0;1750;125;511;410;394;505
12880;0;1750;125;511;410;394;505
13685;0;1750;125;512;411;393;506
14490;0;1750;125;513;411;392;505
15295;0;1750;125;516;413;389;503
0;950;1750;125;512;406;405;514
805;950;1750;125;511;407;399;509
1610;950;1750;125;511;408;397;507
2415;950;1750;125;511;409;396;506
3220;950;1750;125;511;409;395;506
4025;950;1750;125;511;409;395;505
4830;950;1750;125;512;409;395;505
5635;950;1750;125;511;409;395;506
6440;950;1750;125;511;409;395;505
7245;950;1750;125;511;410;395;506
8050;950;1750;125;512;410;395;506
8855;950;1750;125;512;410;395;506
9660;950;1750;125;512;410;396;506
10465;950;1750;125;512;410;395;506
11270;950;1750;125;512;410;395;506
12075;950;1750;125;512;410;395;506
12880;950;1750;125;512;410;395;506
13685;950;1750;125;513;411;394;505
14490;950;1750;125;514;411;393;505
15295;950;1750;125;517;413;390;503
0;1900;1750;125;512;406;406;514
805;1900;1750;125;511;407;400;509
1610;1900;1750;125;511;409;397;507
2415;1900;1750;125;511;409;396;506
3220;1900;1750;125;512;409;395;505
4025;1900;1750;125;512;410;395;505
4830;1900;1750;125;512;410;395;505
5635;1900;1750;125;512;409;395;506
6440;1900;1750;125;512;409;395;506
7245;1900;1750;125;512;409;395;506
8050;1900;1750;125;512;410;395;506
8855;1900;1750;125;512;410;395;506
9660;1900;1750;125;512;410;395;507
10465;1900;1750;125;512;410;396;507
11270;1900;1750;125;512;410;396;507
12075;1900;1750;125;512;410;396;507
12880;1900;1750;125;512;410;395;506
13685;1900;1750;125;513;411;395;506
14490;1900;1750;125;514;412;394;505
15295;1900;1750;125;517;413;390;503
0;2850;1750;125;513;406;406;514
805;2850;1750;125;511;407;400;509
1610;2850;1750;125;512;409;397;507
0;3800;1750;125;510;405;403;512
805;3800;1750;125;511;408;399;508
0;4750;1750;125;510;406;402;512
805;4750;1750;125;511;408;398;508
0;5700;1750;125;510;406;402;512
805;5700;1750;125;511;408;398;508
0;6650;1750;125;510;406;402;512
805;6650;1750;125;512;409;397;508
0;7600;1750;125;510;406;402;512
805;7600;1750;125;512;409;397;508
0;8550;1750;125;510;406;402;512
805;8550;1750;125;512;409;397;508
0;9500;1750;125;510;406;402;512
805;9500;1750;125;511;409;398;508
0;10450;1750;125;510;406;403;512
805;10450;1750;125;511;408;399;509
0;11400;1750;125;511;406;403;513
805;11400;1750;125;512;409;400;509
0;12350;1750;125;511;406;402;513
805;12350;1750;125;511;409;399;510
1610;12350;1750;125;512;410;398;508
2415;12350;1750;125;513;411;397;507
3220;12350;1750;125;513;411;396;507
4025;12350;1750;125;513;411;396;507
4830;12350;1750;125;513;411;396;507
5635;12350;1750;125;513;411;396;507
6440;12350;1750;125;513;411;396;508
7245;12350;1750;125;513;411;396;507
8050;12350;1750;125;513;411;396;507
8855;12350;1750;125;513;411;396;507
9660;12350;1750;125;514;411;396;507
10465;12350;1750;125;513;410;397;508
11270;12350;1750;125;513;411;397;508
12075;12350;1750;125;513;411;397;507
12880;12350;1750;125;514;411;396;507
13685;12350;1750;125;514;412;396;507
14490;12350;1750;125;516;413;394;506
0;13300;1750;125;514;408;405;513
805;13300;1750;125;513;409;400;510
1610;13300;1750;125;513;410;398;508
2415;13300;1750;125;513;410;397;507
3220;13300;1750;125;513;411;397;507
4025;13300;1750;125;513;411;396;507
4830;13300;1750;125;513;411;396;507
5635;13300;1750;125;513;411;396;507
6440;13300;1750;125;513;411;397;507
7245;13300;1750;125;513;411;397;507
8050;13300;1750;125;513;411;396;507
8855;13300;1750;125;513;411;396;507
9660;13300;1750;125;513;411;396;507
10465;13300;1750;125;513;411;396;507
11270;13300;1750;125;513;411;396;507
12075;13300;1750;125;513;411;396;507
12880;13300;1750;125;514;411;396;507
13685;13300;1750;125;515;411;395;507
14490;13300;1750;125;516;413;393;506
