PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;516;400;409;510
805;0;1750;125;511;402;399;504
1610;0;1750;125;510;403;395;502
2415;0;1750;125;510;405;394;501
3220;0;1750;125;510;405;394;502
4025;0;1750;125;510;406;393;502
4830;0;1750;125;510;406;393;502
5635;0;1750;125;510;407;393;503
6440;0;1750;125;511;407;394;503
7245;0;1750;125;511;407;394;503
8050;0;1750;125;511;407;394;503
8855;0;1750;125;511;408;394;503
9660;0;1750;125;511;408;394;504
10465;0;1750;125;511;408;394;504
11270;0;1750;125;511;408;394;504
12075;0;1750;125;511;409;394;504
12880;0;1750;125;512;409;394;504
13685;0;1750;125;513;409;393;504
14490;0;1750;125;514;410;391;503
15295;0;1750;125;517;412;388;501
0;950;1750;125;512;404;404;512
805;950;1750;125;511;406;398;507
1610;950;1750;125;511;407;396;505
2415;950;1750;125;511;408;396;505
3220;950;1750;125;511;408;395;504
4025;950;1750;125;512;408;395;504
4830;950;1750;125;512;408;395;504
5635;950;1750;125;512;408;395;504
6440;950;1750;125;512;408;395;504
7245;950;1750;125;511;408;395;504
8050;950;1750;125;512;409;395;505
8855;950;1750;125;512;409;395;505
9660;950;1750;125;512;409;395;505
10465;950;1750;125;512;409;395;504
11270;950;1750;125;512;409;395;505
12075;950;1750;125;512;409;395;505
12880;950;1750;125;512;409;395;505
13685;950;1750;125;513;410;394;504
14490;950;1750;125;514;410;393;504
15295;950;1750;125;517;412;389;502
0;1900;1750;125;513;404;405;511
805;1900;1750;125;511;406;399;507
1610;1900;1750;125;512;408;397;505
2415;1900;1750;125;512;408;396;505
3220;1900;1750;125;512;409;395;504
4025;1900;1750;125;513;409;395;504
4830;1900;1750;125;513;409;394;504
5635;1900;1750;125;513;408;394;505
6440;1900;1750;125;513;408;395;505
7245;1900;1750;125;513;408;395;505
8050;1900;1750;125;512;408;395;505
8855;1900;1750;125;512;409;395;505
9660;1900;1750;125;513;408;395;505
10465;1900;1750;125;512;408;396;505
11270;1900;1750;125;512;408;396;506
12075;1900;1750;125;512;409;396;505
12880;1900;1750;125;512;409;396;505
13685;1900;1750;125;513;410;395;505
14490;1900;1750;125;515;411;393;504
15295;1900;1750;125;518;412;389;502
0;2850;1750;125;513;405;405;512
805;2850;1750;125;512;407;399;507
1610;2850;1750;125;512;408;397;506
2415;2850;1750;125;512;409;396;505
3220;2850;1750;125;513;410;394;504
4025;2850;1750;125;515;410;392;503
4830;2850;1750;125;515;410;391;503
5635;2850;1750;125;516;409;391;505
6440;2850;1750;125;515;408;392;506
7245;2850;1750;125;514;407;393;507
8050;2850;1750;125;514;408;393;506
8855;2850;1750;125;514;408;393;506
9660;2850;1750;125;514;407;394;507
10465;2850;1750;125;512;407;396;508
11270;2850;1750;125;511;407;397;508
12075;2850;1750;125;511;408;397;507
12880;2850;1750;125;512;409;396;506
13685;2850;1750;125;513;410;395;505
14490;2850;1750;125;514;411;393;504
15295;2850;1750;125;518;413;389;501
0;3800;1750;125;514;405;405;511
805;3800;1750;125;512;407;399;507
1610;3800;1750;125;513;408;397;505
2415;3800;1750;125;514;410;394;504
3220;3800;1750;125;517;412;390;501
0;4750;1750;125;511;405;402;511
805;4750;1750;125;511;407;398;507
1610;4750;1750;125;513;409;395;505
0;5700;1750;125;511;405;401;510
805;5700;1750;125;512;408;397;507
0;6650;1750;125;511;406;401;510
805;6650;1750;125;512;408;396;506
0;7600;1750;125;511;406;401;510
805;7600;1750;125;513;408;397;506
0;8550;1750;125;511;406;401;510
805;8550;1750;125;512;408;397;507
0;9500;1750;125;511;406;401;510
805;9500;1750;125;512;408;398;508
1610;9500;1750;125;513;409;395;505
2415;9500;1750;125;517;412;391;502
0;10450;1750;125;511;406;402;511
805;10450;1750;125;512;408;398;508
0;11400;1750;125;511;406;402;511
805;11400;1750;125;512;408;398;508
0;12350;1750;125;511;406;401;511
805;12350;1750;125;512;408;398;508
0;13300;1750;125;511;406;401;511
805;13300;1750;125;512;408;398;508
