PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;517;402;410;512
805;0;1750;125;511;404;400;506
1610;0;1750;125;511;405;396;504
2415;0;1750;125;510;406;394;503
3220;0;1750;125;510;407;394;503
4025;0;1750;125;510;408;394;504
4830;0;1750;125;511;408;394;504
5635;0;1750;125;510;408;394;504
6440;0;1750;125;511;409;394;504
7245;0;1750;125;511;409;394;504
8050;0;1750;125;511;409;394;505
8855;0;1750;125;511;409;394;505
9660;0;1750;125;511;410;394;505
10465;0;1750;125;512;410;393;505
11270;0;1750;125;512;410;393;505
12075;0;1750;125;512;410;393;505
12880;0;1750;125;513;411;393;506
13685;0;1750;125;514;411;392;505
14490;0;1750;125;514;411;391;505
15295;0;1750;125;517;413;388;503
0;950;1750;125;513;405;404;513
805;950;1750;125;511;407;398;508
1610;950;1750;125;511;408;396;507
2415;950;1750;125;511;409;395;506
3220;950;1750;125;511;409;395;505
4025;950;1750;125;511;409;395;505
4830;950;1750;125;511;410;394;505
5635;950;1750;125;511;409;395;505
6440;950;1750;125;511;410;395;505
7245;950;1750;125;511;410;395;505
8050;950;1750;125;512;410;394;505
8855;950;1750;125;512;410;395;505
9660;950;1750;125;512;410;394;505
10465;950;1750;125;512;410;394;505
11270;950;1750;125;512;410;394;505
12075;950;1750;125;513;410;394;505
12880;950;1750;125;513;410;393;505
13685;950;1750;125;513;410;392;505
14490;950;1750;125;514;411;391;505
15295;950;1750;125;518;412;387;503
0;1900;1750;125;512;405;404;512
805;1900;1750;125;511;407;399;508
1610;1900;1750;125;511;409;397;507
2415;1900;1750;125;511;409;396;506
3220;1900;1750;125;511;409;396;505
4025;1900;1750;125;512;410;395;505
4830;1900;1750;125;511;410;395;505
5635;1900;1750;125;511;410;395;505
6440;1900;1750;125;511;410;395;505
7245;1900;1750;125;511;410;395;505
8050;1900;1750;125;511;411;395;505
8855;1900;1750;125;512;410;395;505
9660;1900;1750;125;512;410;395;505
10465;1900;1750;125;512;411;394;505
11270;1900;1750;125;513;411;394;505
12075;1900;1750;125;513;411;393;505
12880;1900;1750;125;514;410;392;505
13685;1900;1750;125;514;410;392;505
14490;1900;1750;125;515;410;391;505
15295;1900;1750;125;518;412;388;504
0;2850;1750;125;513;406;405;512
805;2850;1750;125;511;407;399;508
1610;2850;1750;125;511;409;397;507
2415;2850;1750;125;511;409;396;506
3220;2850;1750;125;511;410;396;506
4025;2850;1750;125;511;410;396;505
4830;2850;1750;125;511;410;396;506
5635;2850;1750;125;511;410;396;505
6440;2850;1750;125;512;410;396;505
7245;2850;1750;125;512;410;395;505
8050;2850;1750;125;512;411;395;505
8855;2850;1750;125;512;411;395;505
9660;2850;1750;125;513;411;394;505
10465;2850;1750;125;513;411;394;505
11270;2850;1750;125;514;411;392;505
12075;2850;1750;125;515;412;391;504
12880;2850;1750;125;517;411;389;505
13685;2850;1750;125;517;409;389;506
14490;2850;1750;125;517;409;390;507
15295;2850;1750;125;518;410;388;506
0;3800;1750;125;513;406;405;512
805;3800;1750;125;511;408;399;508
1610;3800;1750;125;511;408;397;507
2415;3800;1750;125;511;409;397;506
3220;3800;1750;125;511;410;396;506
4025;3800;1750;125;511;410;396;505
4830;3800;1750;125;511;410;396;505
5635;3800;1750;125;511;410;396;506
6440;3800;1750;125;511;410;396;505
7245;3800;1750;125;512;410;395;505
8050;3800;1750;125;512;411;395;505
8855;3800;1750;125;513;411;394;505
9660;3800;1750;125;515;412;392;504
10465;3800;1750;125;517;413;389;503
11270;3800;1750;125;521;416;385;500
0;4750;1750;125;513;407;404;512
805;4750;1750;125;511;408;399;509
1610;4750;1750;125;511;409;398;507
2415;4750;1750;125;511;410;397;506
3220;4750;1750;125;511;410;396;506
4025;4750;1750;125;511;410;396;506
4830;4750;1750;125;511;410;396;506
5635;4750;1750;125;511;411;396;506
6440;4750;1750;125;512;411;395;505
7245;4750;1750;125;512;411;395;505
8050;4750;1750;125;513;411;394;504
8855;4750;1750;125;515;413;391;503
9660;4750;1750;125;519;416;386;500
0;5700;1750;125;512;407;404;512
805;5700;1750;125;511;408;399;509
1610;5700;1750;125;511;409;397;507
2415;5700;1750;125;511;410;397;506
3220;5700;1750;125;511;410;396;506
4025;5700;1750;125;511;411;396;506
4830;5700;1750;125;511;411;396;506
5635;5700;1750;125;511;411;396;506
6440;5700;1750;125;511;411;395;505
7245;5700;1750;125;512;411;394;505
8050;5700;1750;125;514;413;392;503
