PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;511.33;396.90;398.93;505.34
1092;0;1750;125;508.04;400.51;390.07;500.46
2184;0;1750;125;507.99;402.70;387.67;499.60
3276;0;1750;125;508.15;404.14;386.80;499.76
4368;0;1750;125;508.53;405.07;386.79;500.03
5460;0;1750;125;509.08;405.98;387.02;500.59
6552;0;1750;125;509.16;406.32;387.30;501.26
7644;0;1750;125;509.71;407.00;387.35;501.37
8736;0;1750;125;510.91;407.72;386.76;501.37
9828;0;1750;125;513.36;409.66;384.48;500.27
10920;0;1750;125;525.60;418.75;369.92;490.63
0;950;1750;125;510.97;402.59;398.54;511.02
1092;950;1750;125;510.92;405.37;392.68;505.83
2184;950;1750;125;511.28;406.80;391.02;504.15
3276;950;1750;125;511.65;407.73;390.36;503.25
4368;950;1750;125;511.86;408.14;390.35;503.01
5460;950;1750;125;512.09;408.25;390.09;502.85
6552;950;1750;125;512.29;408.57;390.11;502.86
7644;950;1750;125;512.81;408.95;390.16;503.00
8736;950;1750;125;513.57;409.39;389.29;502.51
9828;950;1750;125;515.70;410.60;386.88;501.29
10920;950;1750;125;525.02;417.65;375.55;493.83
0;1900;1750;125;512.97;403.27;400.49;511.87
1092;1900;1750;125;512.52;406.42;394.71;506.60
2184;1900;1750;125;513.18;407.76;392.90;504.82
3276;1900;1750;125;513.27;408.53;392.08;504.07
4368;1900;1750;125;513.11;409.14;392.01;504.07
5460;1900;1750;125;513.41;409.34;391.71;503.69
6552;1900;1750;125;513.34;409.38;391.71;503.95
7644;1900;1750;125;513.49;409.63;391.45;503.81
8736;1900;1750;125;514.06;409.98;390.96;503.50
9828;1900;1750;125;515.46;410.89;389.45;502.76
10920;1900;1750;125;521.66;415.07;382.24;498.06
0;2850;1750;125;513.79;404.02;401.59;512.55
1092;2850;1750;125;513.37;407.17;395.54;507.27
2184;2850;1750;125;513.95;408.52;393.81;505.33
3276;2850;1750;125;514.15;409.22;392.92;504.63
4368;2850;1750;125;514.18;409.59;392.99;504.43
5460;2850;1750;125;514.30;409.86;392.72;504.39
6552;2850;1750;125;514.13;410.13;392.62;504.10
7644;2850;1750;125;514.33;410.04;392.33;504.16
8736;2850;1750;125;514.75;410.30;392.01;504.13
9828;2850;1750;125;515.40;410.68;391.21;503.75
10920;2850;1750;125;518.59;412.70;387.17;501.29
0;3800;1750;125;513.71;403.63;402.77;513.42
1092;3800;1750;125;513.85;407.28;396.33;507.66
2184;3800;1750;125;514.41;409.14;394.22;505.60
3276;3800;1750;125;514.58;409.68;393.45;504.76
4368;3800;1750;125;514.29;409.90;393.08;504.70
5460;3800;1750;125;514.49;410.23;393.18;504.42
6552;3800;1750;125;514.76;410.39;393.24;504.41
7644;3800;1750;125;514.92;410.29;393.01;504.47
8736;3800;1750;125;515.00;410.59;392.57;504.01
9828;3800;1750;125;515.50;410.94;391.95;504.03
10920;3800;1750;125;517.12;411.85;389.86;502.86
12012;3800;1750;125;523.30;416.34;382.14;497.94
0;4750;1750;125;514.34;403.99;403.52;513.72
1092;4750;1750;125;514.36;407.70;396.80;507.78
2184;4750;1750;125;514.76;409.38;394.65;505.63
3276;4750;1750;125;514.92;409.81;393.73;504.91
4368;4750;1750;125;514.79;410.35;393.26;504.42
5460;4750;1750;125;514.96;410.46;393.30;504.26
6552;4750;1750;125;514.96;410.44;393.19;504.38
7644;4750;1750;125;514.95;410.36;393.37;504.62
8736;4750;1750;125;515.35;410.59;393.37;504.56
9828;4750;1750;125;515.55;410.95;392.75;504.30
10920;4750;1750;125;516.58;411.20;391.71;503.82
12012;4750;1750;125;518.98;412.89;388.40;502.19
0;5700;1750;125;514.51;404.04;404.18;514.39
1092;5700;1750;125;514.36;407.64;397.30;508.29
2184;5700;1750;125;514.93;409.19;395.11;505.92
3276;5700;1750;125;515.08;409.96;394.12;505.02
4368;5700;1750;125;515.04;410.27;393.99;504.73
5460;5700;1750;125;514.77;410.41;393.64;504.58
6552;5700;1750;125;514.91;410.62;393.54;504.70
7644;5700;1750;125;514.94;410.64;393.48;504.60
8736;5700;1750;125;515.37;410.66;393.35;504.54
9828;5700;1750;125;515.76;410.89;392.79;504.47
10920;5700;1750;125;516.36;411.25;392.21;504.08
12012;5700;1750;125;517.78;411.72;390.66;503.66
13104;5700;1750;125;519.73;412.22;388.43;503.28
14196;5700;1750;125;521.49;411.37;386.18;504.08
15288;5700;1750;125;522.29;410.34;384.78;505.39
0;6650;1750;125;514.42;403.22;405.82;515.59
1092;6650;1750;125;514.60;407.70;397.57;508.48
2184;6650;1750;125;514.87;409.34;395.41;506.25
3276;6650;1750;125;514.90;409.94;394.49;505.30
4368;6650;1750;125;515.01;410.10;394.36;505.12
5460;6650;1750;125;514.94;410.33;394.09;504.95
6552;6650;1750;125;515.05;410.30;393.96;504.71
7644;6650;1750;125;514.99;410.63;393.98;504.79
8736;6650;1750;125;515.35;410.73;393.70;504.84
9828;6650;1750;125;515.44;410.77;393.46;504.67
10920;6650;1750;125;515.99;410.99;392.82;504.54
12012;6650;1750;125;516.77;411.09;391.94;504.29
13104;6650;1750;125;518.09;411.23;390.68;504.19
14196;6650;1750;125;519.35;411.05;389.40;504.63
15288;6650;1750;125;521.19;411.26;387.31;504.57
0;7600;1750;125;515.35;404.07;405.49;515.16
1092;7600;1750;125;515.29;408.02;397.84;508.52
2184;7600;1750;125;515.73;409.62;395.72;506.36
3276;7600;1750;125;515.27;410.13;394.89;505.52
4368;7600;1750;125;515.41;410.46;394.67;505.17
5460;7600;1750;125;515.35;410.68;394.15;505.12
6552;7600;1750;125;515.50;410.88;394.00;504.73
7644;7600;1750;125;515.52;410.99;394.03;504.89
8736;7600;1750;125;515.66;410.97;393.68;504.91
9828;7600;1750;125;515.83;411.01;393.55;504.89
10920;7600;1750;125;516.28;411.10;392.98;504.71
12012;7600;1750;125;516.88;411.25;392.30;504.54
13104;7600;1750;125;517.87;411.36;391.26;504.56
14196;7600;1750;125;518.83;411.19;390.07;504.76
15288;7600;1750;125;520.67;411.79;387.86;504.14
0;8550;1750;125;515.14;404.28;405.85;515.06
1092;8550;1750;125;515.28;407.98;398.14;508.70
2184;8550;1750;125;515.33;409.63;395.79;506.40
3276;8550;1750;125;515.73;410.15;395.03;505.52
4368;8550;1750;125;515.58;410.19;394.42;505.33
5460;8550;1750;125;515.47;410.72;394.43;504.99
6552;8550;1750;125;515.52;411.07;394.22;504.99
7644;8550;1750;125;515.73;411.10;394.22;505.07
8736;8550;1750;125;515.78;411.13;394.02;504.96
9828;8550;1750;125;516.12;411.18;393.46;504.87
10920;8550;1750;125;516.45;411.31;393.06;504.80
12012;8550;1750;125;517.32;411.48;392.29;504.63
13104;8550;1750;125;517.81;411.54;391.33;504.68
14196;8550;1750;125;519.25;411.56;389.94;504.70
15288;8550;1750;125;521.19;412.27;387.40;504.28
0;9500;1750;125;515.32;404.39;405.92;515.44
1092;9500;1750;125;515.14;408.18;398.21;508.91
2184;9500;1750;125;515.72;409.78;395.80;506.33
3276;9500;1750;125;515.67;410.21;394.75;505.36
4368;9500;1750;125;515.78;410.52;394.53;505.14
5460;9500;1750;125;515.56;410.79;394.49;504.91
6552;9500;1750;125;515.90;411.05;394.33;504.93
7644;9500;1750;125;515.87;411.17;394.03;504.97
8736;9500;1750;125;515.89;411.11;394.01;504.83
9828;9500;1750;125;516.05;411.18;393.46;504.83
10920;9500;1750;125;516.70;411.19;392.86;504.49
12012;9500;1750;125;517.56;411.53;391.62;504.13
13104;9500;1750;125;518.39;411.72;390.06;504.27
14196;9500;1750;125;520.31;411.45;388.48;504.36
15288;9500;1750;125;522.14;411.79;385.80;504.23
0;10450;1750;125;515.43;404.04;405.93;515.28
1092;10450;1750;125;515.49;408.27;398.05;508.33
2184;10450;1750;125;515.80;409.54;395.55;506.24
3276;10450;1750;125;515.60;410.04;394.67;505.14
4368;10450;1750;125;515.78;410.53;394.46;504.73
5460;10450;1750;125;515.61;410.66;394.29;504.88
6552;10450;1750;125;515.98;410.90;394.17;504.59
7644;10450;1750;125;516.10;410.99;393.87;504.79
8736;10450;1750;125;516.02;411.01;393.76;504.57
9828;10450;1750;125;516.49;411.13;393.30;504.48
10920;10450;1750;125;517.18;411.47;392.42;504.21
12012;10450;1750;125;518.56;412.05;390.54;503.69
13104;10450;1750;125;520.86;412.64;387.70;503.25
14196;10450;1750;125;523.35;412.43;384.83;503.48
15288;10450;1750;125;525.56;411.91;381.88;504.25
0;11400;1750;125;515.71;404.14;405.77;515.01
1092;11400;1750;125;515.47;408.00;397.97;508.42
2184;11400;1750;125;515.90;409.61;395.60;506.05
3276;11400;1750;125;515.94;410.33;394.82;505.25
4368;11400;1750;125;515.77;410.46;394.39;504.96
5460;11400;1750;125;515.65;410.80;394.25;504.83
6552;11400;1750;125;515.92;410.98;394.10;504.92
7644;11400;1750;125;515.97;411.14;394.03;504.74
