PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;514;395;397;508
805;0;1750;125;509;398;387;502
1610;0;1750;125;509;400;384;501
2415;0;1750;125;509;402;383;501
3220;0;1750;125;509;403;383;501
4025;0;1750;125;509;404;382;502
4830;0;1750;125;510;405;382;502
5635;0;1750;125;510;406;382;502
6440;0;1750;125;512;407;382;502
7245;0;1750;125;514;409;379;500
0;950;1750;125;510;401;394;512
805;950;1750;125;509;403;388;508
1610;950;1750;125;510;405;387;506
2415;950;1750;125;511;406;386;505
3220;950;1750;125;511;406;386;505
4025;950;1750;125;511;407;385;505
4830;950;1750;125;511;407;385;504
5635;950;1750;125;512;408;385;504
6440;950;1750;125;513;408;384;503
7245;950;1750;125;517;411;380;501
0;1900;1750;125;511;401;396;514
805;1900;1750;125;510;404;390;509
1610;1900;1750;125;511;406;388;507
2415;1900;1750;125;511;407;387;506
3220;1900;1750;125;512;407;387;506
4025;1900;1750;125;512;407;387;505
4830;1900;1750;125;512;408;387;505
5635;1900;1750;125;513;408;386;505
6440;1900;1750;125;514;409;385;504
7245;1900;1750;125;517;411;381;502
0;2850;1750;125;511;402;397;515
805;2850;1750;125;511;404;391;510
1610;2850;1750;125;512;406;389;507
2415;2850;1750;125;512;407;388;506
3220;2850;1750;125;512;408;388;506
4025;2850;1750;125;512;408;388;505
4830;2850;1750;125;512;408;387;506
5635;2850;1750;125;513;408;387;505
6440;2850;1750;125;514;409;386;505
7245;2850;1750;125;516;411;383;503
0;3800;1750;125;512;402;398;515
805;3800;1750;125;512;405;392;510
1610;3800;1750;125;512;407;390;508
2415;3800;1750;125;512;407;389;507
3220;3800;1750;125;513;408;388;506
4025;3800;1750;125;512;408;388;506
4830;3800;1750;125;513;409;388;506
5635;3800;1750;125;513;408;388;506
6440;3800;1750;125;514;409;387;505
7245;3800;1750;125;515;410;385;504
8050;3800;1750;125;518;412;381;502
0;4750;1750;125;512;403;398;515
805;4750;1750;125;512;406;392;510
1610;4750;1750;125;512;407;390;508
2415;4750;1750;125;512;408;389;507
3220;4750;1750;125;512;408;389;507
4025;4750;1750;125;513;408;388;506
4830;4750;1750;125;513;409;388;506
5635;4750;1750;125;513;409;388;506
6440;4750;1750;125;513;409;388;506
7245;4750;1750;125;514;409;387;505
8050;4750;1750;125;515;410;385;505
8855;4750;1750;125;519;413;381;502
0;5700;1750;125;512;403;399;516
805;5700;1750;125;512;406;393;511
1610;5700;1750;125;513;407;391;508
2415;5700;1750;125;513;408;389;507
3220;5700;1750;125;513;409;389;507
4025;5700;1750;125;513;409;389;506
4830;5700;1750;125;513;409;389;506
5635;5700;1750;125;513;409;388;506
6440;5700;1750;125;513;409;388;506
7245;5700;1750;125;513;410;388;506
8050;5700;1750;125;514;410;387;505
8855;5700;1750;125;515;410;385;505
9660;5700;1750;125;517;411;384;505
10465;5700;1750;125;518;410;382;505
11270;5700;1750;125;518;409;382;507
12075;5700;1750;125;517;408;383;509
12880;5700;1750;125;517;407;384;509
13685;5700;1750;125;518;408;382;509
14490;5700;1750;125;519;407;381;509
15295;5700;1750;125;520;408;381;509
0;6650;1750;125;514;404;400;516
805;6650;1750;125;513;406;393;511
1610;6650;1750;125;513;408;391;508
2415;6650;1750;125;513;408;390;507
3220;6650;1750;125;513;409;389;507
4025;6650;1750;125;513;409;389;507
4830;6650;1750;125;513;409;389;506
5635;6650;1750;125;513;410;389;506
6440;6650;1750;125;513;409;389;506
7245;6650;1750;125;513;410;388;506
8050;6650;1750;125;514;410;388;506
8855;6650;1750;125;514;410;387;506
9660;6650;1750;125;515;410;386;506
10465;6650;1750;125;516;410;386;506
11270;6650;1750;125;515;409;386;507
12075;6650;1750;125;516;409;386;507
12880;6650;1750;125;516;409;386;507
13685;6650;1750;125;517;409;385;507
14490;6650;1750;125;518;409;383;507
15295;6650;1750;125;520;410;381;506
0;7600;1750;125;515;404;400;516
805;7600;1750;125;513;407;393;511
1610;7600;1750;125;513;408;391;509
2415;7600;1750;125;513;409;390;508
3220;7600;1750;125;513;409;389;507
4025;7600;1750;125;513;409;389;507
4830;7600;1750;125;513;409;389;507
5635;7600;1750;125;513;410;389;507
6440;7600;1750;125;514;410;389;506
7245;7600;1750;125;514;410;389;507
8050;7600;1750;125;514;410;388;506
8855;7600;1750;125;514;410;388;506
9660;7600;1750;125;515;410;388;506
10465;7600;1750;125;515;410;387;506
11270;7600;1750;125;515;410;387;506
12075;7600;1750;125;515;410;387;507
12880;7600;1750;125;516;410;386;507
13685;7600;1750;125;517;410;385;506
14490;7600;1750;125;518;410;383;506
15295;7600;1750;125;520;411;381;505
0;8550;1750;125;515;404;400;516
805;8550;1750;125;513;407;393;511
1610;8550;1750;125;513;408;391;508
2415;8550;1750;125;513;409;390;507
3220;8550;1750;125;513;409;389;507
4025;8550;1750;125;514;409;389;507
4830;8550;1750;125;514;410;389;506
5635;8550;1750;125;514;410;389;506
6440;8550;1750;125;514;410;388;506
7245;8550;1750;125;514;410;388;506
8050;8550;1750;125;514;410;389;506
8855;8550;1750;125;514;410;388;506
9660;8550;1750;125;514;410;388;506
10465;8550;1750;125;515;410;387;506
11270;8550;1750;125;515;410;387;506
12075;8550;1750;125;516;410;386;506
12880;8550;1750;125;517;410;385;506
13685;8550;1750;125;518;410;383;506
14490;8550;1750;125;519;410;382;506
15295;8550;1750;125;522;411;379;505
0;9500;1750;125;515;404;400;516
805;9500;1750;125;513;406;394;510
1610;9500;1750;125;514;408;391;509
2415;9500;1750;125;514;409;389;508
3220;9500;1750;125;514;409;390;507
4025;9500;1750;125;514;409;389;507
4830;9500;1750;125;514;410;389;507
5635;9500;1750;125;514;410;389;507
6440;9500;1750;125;514;410;389;507
7245;9500;1750;125;514;410;389;507
8050;9500;1750;125;514;410;389;507
8855;9500;1750;125;514;410;388;507
9660;9500;1750;125;515;410;388;507
10465;9500;1750;125;515;410;388;506
11270;9500;1750;125;516;411;386;506
12075;9500;1750;125;517;412;384;505
12880;9500;1750;125;520;412;382;504
13685;9500;1750;125;522;412;379;504
14490;9500;1750;125;524;411;377;506
15295;9500;1750;125;527;411;373;505
0;10450;1750;125;515;405;400;515
805;10450;1750;125;514;407;394;511
1610;10450;1750;125;514;408;391;508
2415;10450;1750;125;514;409;390;508
3220;10450;1750;125;514;409;389;507
4025;10450;1750;125;514;409;389;507
4830;10450;1750;125;514;410;389;507
5635;10450;1750;125;514;410;389;507
6440;10450;1750;125;514;410;389;506
7245;10450;1750;125;514;410;389;506
8050;10450;1750;125;514;410;389;506
8855;10450;1750;125;514;410;388;506
9660;10450;1750;125;515;410;388;506
10465;10450;1750;125;515;410;387;506
11270;10450;1750;125;517;411;385;505
12075;10450;1750;125;521;414;380;501
0;11400;1750;125;515;405;399;515
805;11400;1750;125;514;407;393;511
1610;11400;1750;125;514;408;391;509
2415;11400;1750;125;514;409;390;508
3220;11400;1750;125;514;410;389;508
4025;11400;1750;125;514;409;389;507
4830;11400;1750;125;514;410;389;507
5635;11400;1750;125;514;410;389;507
6440;11400;1750;125;514;410;389;506
7245;11400;1750;125;514;410;389;507
8050;11400;1750;125;515;410;388;507
8855;11400;1750;125;515;410;388;507
9660;11400;1750;125;515;410;388;506
10465;11400;1750;125;517;411;386;506
11270;11400;1750;125;520;414;382;502
0;12350;1750;125;515;405;399;516
805;12350;1750;125;514;407;393;511
1610;12350;1750;125;514;408;391;509
2415;12350;1750;125;514;409;390;508
3220;12350;1750;125;514;409;390;508
4025;12350;1750;125;514;409;389;508
4830;12350;1750;125;515;410;389;507
5635;12350;1750;125;515;410;389;507
6440;12350;1750;125;514;410;389;507
7245;12350;1750;125;515;410;388;507
8050;12350;1750;125;515;410;388;507
8855;12350;1750;125;515;410;388;507
9660;12350;1750;125;516;411;387;506
10465;12350;1750;125;518;412;385;505
11270;12350;1750;125;526;418;375;497
0;13300;1750;125;516;405;399;516
805;13300;1750;125;514;407;393;511
1610;13300;1750;125;515;408;391;509
2415;13300;1750;125;515;409;390;508
3220;13300;1750;125;515;409;389;508
4025;13300;1750;125;515;409;389;507
4830;13300;1750;125;515;410;389;508
5635;13300;1750;125;514;410;389;507
6440;13300;1750;125;515;410;389;507
7245;13300;1750;125;515;410;389;507
8050;13300;1750;125;515;410;388;507
8855;13300;1750;125;515;410;388;507
9660;13300;1750;125;516;411;387;506
10465;13300;1750;125;519;413;383;504
