PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;509.47;401.59;408.30;512.91
1092;0;1750;125;506.84;404.16;396.42;505.37
2184;0;1750;125;505.58;405.11;391.76;503.49
3276;0;1750;125;505.11;406.07;389.92;503.23
4368;0;1750;125;504.85;406.69;388.62;503.15
5460;0;1750;125;505.06;407.13;387.89;503.47
6552;0;1750;125;505.31;407.59;387.25;503.93
7644;0;1750;125;505.45;407.93;387.10;504.38
8736;0;1750;125;505.77;408.05;386.86;504.30
9828;0;1750;125;506.33;408.39;386.58;504.58
10920;0;1750;125;506.61;408.43;386.37;504.74
12012;0;1750;125;507.15;408.64;386.20;504.90
13104;0;1750;125;507.99;409.02;385.98;505.10
14196;0;1750;125;508.97;409.44;385.19;505.06
15288;0;1750;125;511.64;410.92;381.95;503.63
0;950;1750;125;506.52;402.81;395.74;512.15
1092;950;1750;125;507.07;406.25;390.17;508.09
0;1900;1750;125;505.42;403.20;394.29;512.01
1092;1900;1750;125;507.25;406.53;390.18;508.29
0;2850;1750;125;505.86;403.67;393.85;511.56
1092;2850;1750;125;507.45;407.17;390.35;508.07
0;3800;1750;125;506.19;404.27;393.86;511.66
1092;3800;1750;125;507.76;407.35;390.56;508.37
0;4750;1750;125;506.48;404.67;393.81;511.59
1092;4750;1750;125;508.17;407.61;390.47;508.24
0;5700;1750;125;507.31;404.87;393.85;511.60
1092;5700;1750;125;508.65;407.80;390.46;508.26
0;6650;1750;125;507.92;405.42;393.69;511.22
1092;6650;1750;125;508.99;408.24;390.93;508.07
0;7600;1750;125;507.95;405.26;393.75;511.23
1092;7600;1750;125;509.31;407.99;391.46;508.05
0;8550;1750;125;508.43;405.38;394.05;511.14
1092;8550;1750;125;509.35;407.89;391.34;508.40
0;9500;1750;125;508.48;405.59;394.22;511.47
1092;9500;1750;125;509.45;408.09;391.26;508.37
0;10450;1750;125;508.84;405.63;393.91;511.33
1092;10450;1750;125;509.68;408.09;391.12;508.37
0;11400;1750;125;508.77;406.03;394.07;511.36
1092;11400;1750;125;509.81;408.50;391.46;508.59
0;12350;1750;125;509.12;405.99;394.10;511.57
1092;12350;1750;125;510.10;408.24;391.53;508.36
0;13300;1750;125;509.14;406.11;394.54;511.31
1092;13300;1750;125;510.24;408.52;391.32;508.35
