PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;518;400;400;508
805;0;1750;125;511;403;389;503
1610;0;1750;125;511;405;385;501
2415;0;1750;125;510;406;384;501
3220;0;1750;125;511;407;383;501
4025;0;1750;125;511;408;383;502
4830;0;1750;125;510;408;383;503
5635;0;1750;125;511;409;383;503
6440;0;1750;125;511;409;383;503
7245;0;1750;125;511;410;383;503
8050;0;1750;125;511;410;384;503
8855;0;1750;125;511;410;384;504
9660;0;1750;125;512;410;384;504
10465;0;1750;125;512;410;384;504
11270;0;1750;125;512;410;384;504
12075;0;1750;125;512;411;383;504
12880;0;1750;125;512;411;383;504
13685;0;1750;125;513;411;383;504
14490;0;1750;125;515;412;381;504
15295;0;1750;125;517;414;378;502
0;950;1750;125;514;406;395;513
805;950;1750;125;512;408;388;508
1610;950;1750;125;512;409;387;506
2415;950;1750;125;512;410;385;505
3220;950;1750;125;512;410;385;505
4025;950;1750;125;512;411;385;505
4830;950;1750;125;513;411;385;505
5635;950;1750;125;512;411;385;505
6440;950;1750;125;513;411;385;504
7245;950;1750;125;513;411;385;505
8050;950;1750;125;512;411;385;505
8855;950;1750;125;512;411;385;504
9660;950;1750;125;513;411;385;505
10465;950;1750;125;513;412;384;504
11270;950;1750;125;513;411;384;504
12075;950;1750;125;513;411;384;504
12880;950;1750;125;513;412;383;504
13685;950;1750;125;514;412;383;504
14490;950;1750;125;515;412;381;504
15295;950;1750;125;518;414;378;502
0;1900;1750;125;514;406;394;512
805;1900;1750;125;513;409;389;508
1610;1900;1750;125;513;410;386;506
2415;1900;1750;125;513;411;386;505
3220;1900;1750;125;513;411;385;505
4025;1900;1750;125;513;411;385;505
4830;1900;1750;125;513;412;385;505
5635;1900;1750;125;513;412;385;505
6440;1900;1750;125;513;412;385;505
7245;1900;1750;125;513;412;385;505
8050;1900;1750;125;513;412;385;505
8855;1900;1750;125;513;412;385;505
9660;1900;1750;125;513;412;385;505
10465;1900;1750;125;513;412;385;505
11270;1900;1750;125;513;412;384;505
12075;1900;1750;125;513;412;384;505
12880;1900;1750;125;513;412;384;505
13685;1900;1750;125;514;413;383;505
14490;1900;1750;125;515;413;382;504
15295;1900;1750;125;518;415;378;502
0;2850;1750;125;514;407;394;513
805;2850;1750;125;513;409;389;508
1610;2850;1750;125;513;411;387;506
2415;2850;1750;125;513;411;386;505
3220;2850;1750;125;513;412;386;505
4025;2850;1750;125;513;412;385;505
4830;2850;1750;125;514;413;385;505
5635;2850;1750;125;513;413;385;505
6440;2850;1750;125;513;412;385;505
7245;2850;1750;125;513;413;385;505
8050;2850;1750;125;513;413;385;505
8855;2850;1750;125;513;413;385;505
9660;2850;1750;125;513;413;385;505
10465;2850;1750;125;513;413;385;505
11270;2850;1750;125;514;413;385;505
12075;2850;1750;125;514;413;384;505
12880;2850;1750;125;514;413;384;505
13685;2850;1750;125;515;413;383;505
14490;2850;1750;125;516;414;382;504
15295;2850;1750;125;519;416;378;503
0;3800;1750;125;515;408;395;513
805;3800;1750;125;513;410;389;508
1610;3800;1750;125;513;411;387;507
2415;3800;1750;125;514;411;386;506
3220;3800;1750;125;514;412;385;506
4025;3800;1750;125;513;412;385;505
4830;3800;1750;125;513;413;385;505
5635;3800;1750;125;513;413;385;505
6440;3800;1750;125;514;413;385;506
7245;3800;1750;125;513;413;385;505
8050;3800;1750;125;513;413;385;505
8855;3800;1750;125;514;413;385;505
9660;3800;1750;125;514;413;385;505
10465;3800;1750;125;514;413;385;505
11270;3800;1750;125;514;413;385;505
12075;3800;1750;125;514;413;384;505
12880;3800;1750;125;514;413;384;505
13685;3800;1750;125;515;413;383;505
14490;3800;1750;125;516;414;382;504
15295;3800;1750;125;519;416;378;502
0;4750;1750;125;515;408;394;513
805;4750;1750;125;513;410;389;508
1610;4750;1750;125;513;411;387;507
2415;4750;1750;125;514;412;386;506
3220;4750;1750;125;514;412;385;506
4025;4750;1750;125;513;412;385;506
4830;4750;1750;125;514;412;385;505
5635;4750;1750;125;513;413;385;505
6440;4750;1750;125;514;413;385;506
7245;4750;1750;125;514;413;385;505
8050;4750;1750;125;513;413;385;505
8855;4750;1750;125;514;413;385;505
9660;4750;1750;125;514;413;385;505
10465;4750;1750;125;514;413;385;505
11270;4750;1750;125;514;413;385;505
12075;4750;1750;125;514;413;385;505
12880;4750;1750;125;514;413;384;505
13685;4750;1750;125;515;414;383;505
14490;4750;1750;125;516;414;382;504
15295;4750;1750;125;519;416;378;502
0;5700;1750;125;515;408;394;512
805;5700;1750;125;513;410;389;508
1610;5700;1750;125;514;411;387;506
2415;5700;1750;125;514;412;386;506
3220;5700;1750;125;514;412;386;506
4025;5700;1750;125;514;412;385;505
