PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;517;395;398;509
1092;0;1750;125;512;399;387;501
2184;0;1750;125;511;401;384;500
3276;0;1750;125;511;402;382;500
4368;0;1750;125;511;403;382;500
5460;0;1750;125;511;404;382;501
6552;0;1750;125;511;404;382;501
7644;0;1750;125;511;405;382;501
8736;0;1750;125;511;405;383;501
9828;0;1750;125;512;405;383;502
10920;0;1750;125;512;405;383;502
12012;0;1750;125;512;406;383;502
13104;0;1750;125;513;406;382;502
14196;0;1750;125;514;406;382;502
15288;0;1750;125;517;408;378;500
0;950;1750;125;513;400;394;511
1092;950;1750;125;512;403;388;505
2184;950;1750;125;512;404;386;504
3276;950;1750;125;512;405;385;503
4368;950;1750;125;512;406;385;502
5460;950;1750;125;513;406;385;503
6552;950;1750;125;513;406;385;503
7644;950;1750;125;513;406;385;503
8736;950;1750;125;513;406;385;503
9828;950;1750;125;513;406;384;503
10920;950;1750;125;513;407;385;503
12012;950;1750;125;513;407;384;503
13104;950;1750;125;514;407;384;503
14196;950;1750;125;515;407;383;502
15288;950;1750;125;518;409;379;501
0;1900;1750;125;514;400;395;511
1092;1900;1750;125;513;404;389;506
2184;1900;1750;125;513;405;387;504
3276;1900;1750;125;513;405;386;503
4368;1900;1750;125;513;406;385;503
5460;1900;1750;125;513;406;386;503
6552;1900;1750;125;513;406;386;503
7644;1900;1750;125;513;407;386;503
8736;1900;1750;125;513;407;386;503
9828;1900;1750;125;513;407;385;503
10920;1900;1750;125;513;407;385;503
12012;1900;1750;125;514;407;385;503
13104;1900;1750;125;514;407;385;503
14196;1900;1750;125;515;407;383;502
15288;1900;1750;125;518;409;380;500
0;2850;1750;125;515;401;396;511
1092;2850;1750;125;513;404;389;505
2184;2850;1750;125;513;405;387;504
3276;2850;1750;125;513;405;387;503
4368;2850;1750;125;513;406;386;503
5460;2850;1750;125;513;406;386;503
6552;2850;1750;125;513;407;386;503
7644;2850;1750;125;513;407;386;503
8736;2850;1750;125;513;407;386;503
9828;2850;1750;125;513;407;386;503
10920;2850;1750;125;513;407;385;503
12012;2850;1750;125;513;407;385;503
13104;2850;1750;125;514;407;384;502
14196;2850;1750;125;515;408;383;503
15288;2850;1750;125;518;410;379;500
0;3800;1750;125;514;401;396;510
1092;3800;1750;125;513;404;389;505
2184;3800;1750;125;513;405;387;504
3276;3800;1750;125;513;406;387;503
4368;3800;1750;125;513;406;386;503
5460;3800;1750;125;513;407;386;503
6552;3800;1750;125;513;406;386;503
7644;3800;1750;125;513;407;386;503
8736;3800;1750;125;513;407;386;503
9828;3800;1750;125;513;407;386;503
10920;3800;1750;125;513;407;385;503
12012;3800;1750;125;513;407;385;503
13104;3800;1750;125;514;407;385;503
14196;3800;1750;125;515;408;383;502
15288;3800;1750;125;518;410;379;500
0;4750;1750;125;515;402;396;510
1092;4750;1750;125;513;404;389;505
2184;4750;1750;125;513;405;388;504
3276;4750;1750;125;513;406;387;503
4368;4750;1750;125;513;406;387;503
5460;4750;1750;125;513;407;386;503
6552;4750;1750;125;513;407;386;503
7644;4750;1750;125;513;407;386;503
8736;4750;1750;125;513;407;386;503
9828;4750;1750;125;513;407;386;503
10920;4750;1750;125;513;407;386;503
12012;4750;1750;125;513;407;386;503
13104;4750;1750;125;514;407;385;503
14196;4750;1750;125;515;408;384;502
15288;4750;1750;125;519;410;379;500
0;5700;1750;125;515;402;396;510
1092;5700;1750;125;513;404;389;506
2184;5700;1750;125;513;405;388;504
3276;5700;1750;125;513;406;387;503
4368;5700;1750;125;513;406;387;503
5460;5700;1750;125;513;407;387;503
6552;5700;1750;125;513;407;386;503
7644;5700;1750;125;513;407;386;503
8736;5700;1750;125;513;407;386;503
9828;5700;1750;125;513;408;386;503
10920;5700;1750;125;514;408;386;503
12012;5700;1750;125;514;408;386;503
13104;5700;1750;125;514;408;385;503
14196;5700;1750;125;516;408;384;502
15288;5700;1750;125;519;411;380;500
0;6650;1750;125;515;402;396;510
1092;6650;1750;125;514;405;389;506
2184;6650;1750;125;513;406;388;504
3276;6650;1750;125;513;406;387;503
4368;6650;1750;125;513;407;387;503
5460;6650;1750;125;513;407;386;503
6552;6650;1750;125;513;407;386;503
7644;6650;1750;125;513;407;386;503
8736;6650;1750;125;513;407;386;503
9828;6650;1750;125;513;408;386;503
10920;6650;1750;125;513;407;386;503
12012;6650;1750;125;514;408;386;503
13104;6650;1750;125;515;408;385;503
14196;6650;1750;125;516;409;384;503
15288;6650;1750;125;519;411;379;501
0;7600;1750;125;515;403;395;511
1092;7600;1750;125;513;405;389;506
2184;7600;1750;125;513;406;388;504
3276;7600;1750;125;513;407;387;504
4368;7600;1750;125;514;407;387;504
5460;7600;1750;125;513;407;387;504
6552;7600;1750;125;513;407;387;503
7644;7600;1750;125;513;408;386;503
8736;7600;1750;125;513;408;386;503
9828;7600;1750;125;513;408;386;504
10920;7600;1750;125;514;408;386;504
12012;7600;1750;125;514;408;386;504
13104;7600;1750;125;514;408;385;503
14196;7600;1750;125;516;409;384;503
15288;7600;1750;125;519;411;379;501
0;8550;1750;125;516;403;396;510
1092;8550;1750;125;514;405;390;506
2184;8550;1750;125;514;406;388;504
3276;8550;1750;125;514;407;387;504
4368;8550;1750;125;514;407;387;504
5460;8550;1750;125;513;408;387;504
6552;8550;1750;125;514;408;387;503
7644;8550;1750;125;514;408;387;503
8736;8550;1750;125;514;408;387;504
9828;8550;1750;125;514;408;387;504
10920;8550;1750;125;514;408;386;503
12012;8550;1750;125;514;408;386;503
13104;8550;1750;125;515;408;386;503
14196;8550;1750;125;516;409;384;503
15288;8550;1750;125;520;411;379;500
0;9500;1750;125;516;403;395;511
1092;9500;1750;125;514;405;390;506
2184;9500;1750;125;514;407;388;505
3276;9500;1750;125;514;407;388;504
4368;9500;1750;125;514;408;387;504
5460;9500;1750;125;514;408;387;504
6552;9500;1750;125;514;408;387;504
7644;9500;1750;125;514;408;387;504
8736;9500;1750;125;513;408;387;504
9828;9500;1750;125;514;408;387;504
10920;9500;1750;125;514;408;386;504
12012;9500;1750;125;514;408;386;504
13104;9500;1750;125;515;408;386;504
14196;9500;1750;125;516;409;384;503
15288;9500;1750;125;520;411;379;501
0;10450;1750;125;516;404;396;511
1092;10450;1750;125;514;406;390;506
2184;10450;1750;125;514;407;388;505
3276;10450;1750;125;514;408;387;504
4368;10450;1750;125;514;408;387;504
5460;10450;1750;125;514;408;387;504
6552;10450;1750;125;514;408;387;504
7644;10450;1750;125;514;408;387;504
8736;10450;1750;125;514;408;387;504
9828;10450;1750;125;514;408;387;504
10920;10450;1750;125;514;408;386;504
12012;10450;1750;125;514;409;386;504
13104;10450;1750;125;515;409;385;504
14196;10450;1750;125;516;409;384;503
15288;10450;1750;125;520;412;379;501
0;11400;1750;125;517;404;396;511
1092;11400;1750;125;514;406;390;506
2184;11400;1750;125;515;407;388;505
3276;11400;1750;125;514;407;387;504
4368;11400;1750;125;514;407;387;504
5460;11400;1750;125;514;408;387;504
6552;11400;1750;125;514;408;387;504
7644;11400;1750;125;514;408;387;504
8736;11400;1750;125;514;408;387;504
9828;11400;1750;125;514;408;387;504
10920;11400;1750;125;515;408;387;504
12012;11400;1750;125;515;408;386;504
13104;11400;1750;125;515;409;386;504
14196;11400;1750;125;517;409;384;503
15288;11400;1750;125;521;412;379;501
0;12350;1750;125;517;404;395;510
1092;12350;1750;125;515;406;390;506
2184;12350;1750;125;514;407;388;505
3276;12350;1750;125;514;407;388;504
4368;12350;1750;125;514;408;387;504
5460;12350;1750;125;514;408;387;504
6552;12350;1750;125;514;408;387;504
7644;12350;1750;125;514;408;387;504
8736;12350;1750;125;514;408;387;504
9828;12350;1750;125;515;408;387;504
10920;12350;1750;125;515;408;387;504
12012;12350;1750;125;515;408;386;504
13104;12350;1750;125;516;408;385;504
14196;12350;1750;125;517;409;384;503
15288;12350;1750;125;521;412;379;501
0;13300;1750;125;517;404;395;510
1092;13300;1750;125;515;406;390;506
2184;13300;1750;125;515;407;388;505
3276;13300;1750;125;514;407;387;505
4368;13300;1750;125;514;408;387;505
5460;13300;1750;125;514;408;387;504
6552;13300;1750;125;514;408;387;504
7644;13300;1750;125;514;408;387;505
8736;13300;1750;125;514;408;386;504
9828;13300;1750;125;514;408;387;504
10920;13300;1750;125;515;408;386;504
12012;13300;1750;125;515;408;386;504
13104;13300;1750;125;515;409;385;504
14196;13300;1750;125;517;409;384;503
15288;13300;1750;125;521;412;379;501
