PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;514.23;395.93;403.14;506.65
1092;0;1750;125;510.28;400.03;392.26;500.87
2184;0;1750;125;509.43;402.72;388.78;500.01
3276;0;1750;125;509.26;404.31;387.29;499.98
4368;0;1750;125;509.54;405.37;386.71;500.73
5460;0;1750;125;509.81;406.07;386.32;501.10
6552;0;1750;125;510.16;407.20;386.17;501.48
7644;0;1750;125;510.36;407.34;386.06;502.08
8736;0;1750;125;510.84;407.69;386.05;502.77
9828;0;1750;125;511.05;407.95;386.36;503.08
10920;0;1750;125;511.20;408.42;386.38;503.32
12012;0;1750;125;511.75;408.57;386.59;503.57
13104;0;1750;125;512.02;408.95;386.62;503.99
14196;0;1750;125;512.96;409.45;385.88;503.90
15288;0;1750;125;515.25;411.02;383.82;502.86
0;950;1750;125;511.60;402.24;399.98;512.98
1092;950;1750;125;511.96;406.39;392.83;507.02
2184;950;1750;125;512.59;408.07;390.57;505.28
3276;950;1750;125;512.37;408.95;389.96;504.62
4368;950;1750;125;512.90;409.30;389.54;504.43
5460;950;1750;125;513.13;409.85;389.23;504.13
6552;950;1750;125;513.55;410.46;388.26;504.17
7644;950;1750;125;514.23;410.34;387.79;504.32
8736;950;1750;125;514.16;410.08;388.00;504.90
9828;950;1750;125;513.99;409.40;388.66;505.34
10920;950;1750;125;513.96;409.73;388.48;505.49
12012;950;1750;125;514.31;409.91;388.41;505.54
13104;950;1750;125;514.23;409.81;388.89;505.74
14196;950;1750;125;514.58;410.08;388.48;505.50
15288;950;1750;125;516.99;411.40;386.29;503.87
0;1900;1750;125;513.12;402.82;402.23;513.61
1092;1900;1750;125;513.17;407.02;394.98;507.41
2184;1900;1750;125;513.90;408.94;392.43;505.68
3276;1900;1750;125;513.86;409.75;391.60;504.89
4368;1900;1750;125;514.19;410.04;390.95;504.70
5460;1900;1750;125;514.64;410.83;390.32;504.37
6552;1900;1750;125;515.98;411.42;389.03;503.92
7644;1900;1750;125;517.36;411.60;387.25;503.89
8736;1900;1750;125;517.21;410.15;387.09;505.59
9828;1900;1750;125;516.07;409.15;388.52;507.03
10920;1900;1750;125;515.75;409.34;388.93;506.78
12012;1900;1750;125;516.32;409.40;388.39;506.60
13104;1900;1750;125;515.52;408.87;389.71;507.58
14196;1900;1750;125;514.73;409.23;390.63;507.32
15288;1900;1750;125;516.91;411.28;388.27;505.22
0;2850;1750;125;513.66;403.21;403.67;514.34
1092;2850;1750;125;513.76;407.46;395.85;508.13
2184;2850;1750;125;514.15;409.23;393.68;505.98
3276;2850;1750;125;514.80;410.35;392.69;505.44
4368;2850;1750;125;514.99;410.79;391.69;505.02
5460;2850;1750;125;516.23;411.57;390.58;504.40
6552;2850;1750;125;519.33;413.52;386.57;502.15
0;3800;1750;125;512.69;403.56;402.53;514.17
1092;3800;1750;125;513.93;407.76;395.84;508.05
2184;3800;1750;125;514.59;409.63;393.69;506.10
3276;3800;1750;125;515.14;410.47;392.93;505.45
4368;3800;1750;125;515.90;411.12;391.85;504.59
5460;3800;1750;125;517.90;412.86;388.83;502.85
0;4750;1750;125;512.93;403.91;402.49;513.89
1092;4750;1750;125;514.28;407.97;396.06;508.31
2184;4750;1750;125;514.85;409.90;394.24;506.28
3276;4750;1750;125;515.37;410.65;393.06;505.25
4368;4750;1750;125;516.50;411.67;391.15;504.47
5460;4750;1750;125;520.84;415.16;385.90;501.14
0;5700;1750;125;513.13;403.99;402.87;513.96
1092;5700;1750;125;514.24;408.21;396.28;508.08
2184;5700;1750;125;515.14;409.95;394.04;506.04
3276;5700;1750;125;515.89;410.99;393.10;505.13
4368;5700;1750;125;517.40;412.35;390.64;503.70
