PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;515.70;404.57;398.82;513.11
1092;0;1750;125;511.94;408.20;390.34;508.39
2184;0;1750;125;511.96;410.75;388.18;507.52
3276;0;1750;125;511.79;411.92;387.24;507.53
4368;0;1750;125;511.88;412.57;387.35;508.14
5460;0;1750;125;512.21;413.28;387.64;508.10
6552;0;1750;125;512.58;413.65;387.30;508.23
7644;0;1750;125;513.00;413.90;387.47;508.58
8736;0;1750;125;513.15;413.87;387.65;509.20
9828;0;1750;125;513.37;414.30;387.84;509.30
10920;0;1750;125;513.53;414.52;387.89;509.39
12012;0;1750;125;514.18;414.45;387.73;509.52
13104;0;1750;125;514.63;414.90;387.47;509.53
14196;0;1750;125;515.71;415.33;386.42;509.36
15288;0;1750;125;518.52;417.08;382.92;507.70
0;950;1750;125;513.37;408.96;398.89;518.59
1092;950;1750;125;513.46;412.74;392.49;512.93
0;1900;1750;125;511.20;409.76;396.54;516.96
1092;1900;1750;125;512.89;413.08;391.59;512.63
0;2850;1750;125;512.21;411.11;395.27;515.48
1092;2850;1750;125;513.48;413.52;392.02;512.31
0;3800;1750;125;512.66;411.48;395.39;515.79
1092;3800;1750;125;513.58;414.12;392.08;512.52
0;4750;1750;125;512.86;412.41;394.92;515.05
1092;4750;1750;125;513.76;414.45;392.04;512.28
0;5700;1750;125;513.58;413.02;394.40;514.47
1092;5700;1750;125;513.77;414.67;392.09;512.27
2184;5700;1750;125;514.35;415.85;391.16;511.11
3276;5700;1750;125;514.89;416.57;390.29;510.37
4368;5700;1750;125;516.65;417.51;388.68;509.34
5460;5700;1750;125;524.08;422.85;379.76;503.58
0;6650;1750;125;515.14;413.25;395.81;515.24
1092;6650;1750;125;514.59;414.97;392.60;512.34
2184;6650;1750;125;515.14;415.80;391.56;511.37
3276;6650;1750;125;515.88;416.81;390.06;510.18
4368;6650;1750;125;518.00;418.57;387.19;508.53
0;7600;1750;125;514.88;413.39;395.88;515.46
1092;7600;1750;125;514.52;415.17;392.76;512.76
2184;7600;1750;125;515.07;416.22;391.42;511.28
3276;7600;1750;125;516.51;417.21;390.57;510.48
4368;7600;1750;125;519.20;419.61;386.10;507.73
0;8550;1750;125;515.29;413.53;396.64;515.91
1092;8550;1750;125;514.92;415.34;393.21;512.87
2184;8550;1750;125;515.45;416.32;391.72;511.63
3276;8550;1750;125;516.39;417.22;390.40;510.54
4368;8550;1750;125;520.16;419.96;385.84;507.77
0;9500;1750;125;515.56;413.74;396.38;516.25
1092;9500;1750;125;515.41;415.50;393.24;512.66
2184;9500;1750;125;515.74;416.62;392.37;511.79
3276;9500;1750;125;516.72;417.30;390.90;510.93
4368;9500;1750;125;519.68;419.64;386.99;508.20
0;10450;1750;125;515.60;413.93;396.48;515.86
1092;10450;1750;125;515.36;415.82;393.42;512.71
2184;10450;1750;125;515.97;416.60;392.18;511.56
3276;10450;1750;125;516.74;417.42;390.64;510.75
4368;10450;1750;125;519.42;419.30;387.61;508.91
0;11400;1750;125;516.40;414.60;396.15;515.32
1092;11400;1750;125;515.64;415.82;393.39;512.80
2184;11400;1750;125;515.84;416.68;392.25;511.92
3276;11400;1750;125;516.75;417.11;391.23;511.42
4368;11400;1750;125;518.43;418.77;389.06;509.95
5460;11400;1750;125;527.87;425.87;377.10;501.52
0;12350;1750;125;516.91;414.68;396.44;515.43
1092;12350;1750;125;515.74;415.95;393.40;513.03
2184;12350;1750;125;516.05;416.66;392.52;511.81
3276;12350;1750;125;516.56;417.39;391.59;511.37
4368;12350;1750;125;517.71;418.11;390.02;510.33
5460;12350;1750;125;521.95;421.23;384.35;506.73
0;13300;1750;125;517.09;415.05;396.15;515.56
1092;13300;1750;125;516.07;416.53;393.33;513.15
2184;13300;1750;125;516.36;416.85;392.47;512.13
3276;13300;1750;125;516.56;417.43;391.80;511.54
4368;13300;1750;125;517.26;417.75;390.87;511.20
5460;13300;1750;125;519.05;419.23;388.36;509.76
6552;13300;1750;125;524.43;422.14;382.07;506.72
