POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;511;403;408;513
625;0;1750;125;510;406;400;508
1250;0;1750;125;510;407;398;507
1875;0;1750;125;510;409;396;506
2500;0;1750;125;511;410;396;506
0;950;1750;125;509;405;403;513
625;950;1750;125;510;407;399;509
1250;950;1750;125;510;409;398;508
1875;950;1750;125;511;410;397;507
2500;950;1750;125;511;410;396;506
0;1900;1750;125;509;406;404;513
625;1900;1750;125;510;408;400;510
1250;1900;1750;125;511;410;398;508
1875;1900;1750;125;511;410;397;507
2500;1900;1750;125;512;411;397;507
0;2850;1750;125;509;406;404;514
625;2850;1750;125;510;408;400;510
1250;2850;1750;125;511;410;398;508
1875;2850;1750;125;512;411;397;507
2500;2850;1750;125;512;412;396;507
0;3800;1750;125;510;407;404;514
625;3800;1750;125;510;409;400;511
1250;3800;1750;125;511;410;398;509
1875;3800;1750;125;512;412;397;507
2500;3800;1750;125;514;413;395;506
0;4750;1750;125;510;407;404;514
625;4750;1750;125;510;409;400;511
1250;4750;1750;125;512;411;398;508
1875;4750;1750;125;514;413;395;506
2500;4750;1750;125;517;415;392;504
0;5700;1750;125;510;407;404;514
625;5700;1750;125;511;410;400;511
1250;5700;1750;125;513;412;397;508
1875;5700;1750;125;516;414;393;505
2500;5700;1750;125;522;420;385;499
0;6650;1750;125;510;408;405;514
625;6650;1750;125;511;410;400;511
1250;6650;1750;125;514;412;396;508
1875;6650;1750;125;517;415;392;504
2500;6650;1750;125;526;423;380;496
0;7600;1750;125;511;408;404;515
625;7600;1750;125;511;410;400;511
1250;7600;1750;125;514;412;397;508
1875;7600;1750;125;517;415;392;505
2500;7600;1750;125;526;422;381;497
0;8550;1750;125;510;408;405;515
625;8550;1750;125;511;410;400;511
1250;8550;1750;125;513;412;397;509
1875;8550;1750;125;515;414;394;506
2500;8550;1750;125;521;419;387;501
0;9500;1750;125;510;408;405;515
625;9500;1750;125;511;410;401;512
1250;9500;1750;125;512;412;398;509
1875;9500;1750;125;514;413;396;508
2500;9500;1750;125;516;415;393;506
0;10450;1750;125;510;408;405;516
625;10450;1750;125;511;410;401;512
1250;10450;1750;125;512;412;399;510
1875;10450;1750;125;513;413;397;509
2500;10450;1750;125;514;414;396;508
0;11400;1750;125;511;408;405;516
625;11400;1750;125;511;410;401;512
1250;11400;1750;125;512;412;399;510
1875;11400;1750;125;513;413;398;509
2500;11400;1750;125;513;413;397;508
0;12350;1750;125;511;408;404;516
625;12350;1750;125;511;411;401;512
1250;12350;1750;125;512;412;399;510
1875;12350;1750;125;512;412;398;509
2500;12350;1750;125;513;413;397;509
0;13300;1750;125;511;409;404;516
625;13300;1750;125;512;410;401;513
1250;13300;1750;125;512;412;399;511
1875;13300;1750;125;513;412;398;510
2500;13300;1750;125;513;412;397;509
