PositionsExploration:;NumX=;15;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;507.51;394.91;397.48;505.36
1092;0;1750;125;504.26;400.30;387.08;500.71
2184;0;1750;125;504.22;403.30;384.09;500.72
3276;0;1750;125;504.34;405.25;383.44;501.38
4368;0;1750;125;504.81;406.68;383.37;502.29
5460;0;1750;125;505.68;407.54;383.37;503.07
6552;0;1750;125;506.11;408.63;383.81;503.92
7644;0;1750;125;506.76;409.42;384.36;504.60
8736;0;1750;125;507.02;409.88;384.14;505.37
9828;0;1750;125;507.67;410.47;384.44;505.66
10920;0;1750;125;508.15;410.66;384.57;506.37
12012;0;1750;125;508.88;411.32;384.28;506.91
13104;0;1750;125;509.90;411.97;383.76;506.84
14196;0;1750;125;512.41;413.54;381.53;505.63
15288;0;1750;125;518.84;417.51;374.54;502.04
0;950;1750;125;510.86;409.05;393.03;513.03
1092;950;1750;125;509.35;410.77;389.20;509.75
2184;950;1750;125;509.73;411.98;388.13;508.86
3276;950;1750;125;509.92;412.75;387.97;508.61
4368;950;1750;125;510.47;413.16;387.97;508.63
5460;950;1750;125;511.05;413.43;387.95;508.54
6552;950;1750;125;511.55;413.57;387.94;508.95
7644;950;1750;125;511.73;413.52;387.70;509.00
8736;950;1750;125;512.21;413.39;388.06;509.40
9828;950;1750;125;512.82;413.60;387.97;509.44
10920;950;1750;125;513.15;413.47;387.73;509.54
12012;950;1750;125;512.65;413.35;387.67;510.12
13104;950;1750;125;513.36;413.78;387.19;509.87
14196;950;1750;125;516.15;415.55;383.93;507.77
0;1900;1750;125;513.54;411.13;394.55;514.12
1092;1900;1750;125;511.60;412.81;391.31;511.42
2184;1900;1750;125;511.77;413.53;389.93;510.37
3276;1900;1750;125;511.83;414.39;389.68;510.15
4368;1900;1750;125;512.14;414.59;388.93;509.93
5460;1900;1750;125;512.75;414.93;388.71;509.43
6552;1900;1750;125;513.30;415.07;388.00;509.81
7644;1900;1750;125;513.70;414.92;387.82;509.98
8736;1900;1750;125;513.92;414.53;387.51;510.56
9828;1900;1750;125;514.61;414.47;387.08;510.19
10920;1900;1750;125;515.22;413.93;386.78;511.03
12012;1900;1750;125;514.39;413.14;387.83;512.29
13104;1900;1750;125;513.89;413.35;389.27;512.29
14196;1900;1750;125;515.76;415.13;386.78;510.34
0;2850;1750;125;514.39;411.84;396.00;514.94
1092;2850;1750;125;512.72;413.52;392.38;512.24
2184;2850;1750;125;512.69;414.39;390.80;511.20
3276;2850;1750;125;513.20;415.28;390.49;510.66
4368;2850;1750;125;513.67;415.48;390.09;510.66
5460;2850;1750;125;514.24;416.29;388.96;509.87
6552;2850;1750;125;515.76;416.24;387.07;509.48
7644;2850;1750;125;517.39;416.35;385.35;509.85
8736;2850;1750;125;517.61;415.64;384.97;510.72
9828;2850;1750;125;518.42;416.17;384.41;510.32
10920;2850;1750;125;519.35;414.45;382.74;512.20
12012;2850;1750;125;517.65;410.56;385.56;516.17
13104;2850;1750;125;512.39;409.94;392.64;517.37
14196;2850;1750;125;513.80;412.79;391.05;514.05
0;3800;1750;125;515.03;411.95;397.64;516.39
1092;3800;1750;125;513.32;414.17;393.05;513.06
2184;3800;1750;125;513.79;415.13;391.96;511.69
3276;3800;1750;125;514.10;415.72;391.12;511.44
4368;3800;1750;125;514.27;416.21;390.29;510.64
5460;3800;1750;125;515.65;417.17;388.83;509.58
6552;3800;1750;125;519.33;419.11;384.06;508.00
0;4750;1750;125;513.50;412.07;396.97;516.91
1092;4750;1750;125;513.49;414.50;393.02;513.39
2184;4750;1750;125;514.18;415.51;392.01;511.81
3276;4750;1750;125;514.31;415.77;391.22;511.07
4368;4750;1750;125;515.22;416.69;390.11;510.93
5460;4750;1750;125;518.01;418.65;386.45;508.61
0;5700;1750;125;513.54;411.91;397.42;517.56
1092;5700;1750;125;513.84;414.65;393.36;513.50
0;6650;1750;125;512.87;412.10;396.46;516.85
1092;6650;1750;125;513.78;415.10;393.02;513.35
0;7600;1750;125;513.11;412.64;396.04;516.68
1092;7600;1750;125;513.79;415.26;393.25;513.55
0;8550;1750;125;513.40;412.99;395.85;516.57
1092;8550;1750;125;513.81;415.15;393.26;513.65
0;9500;1750;125;513.40;413.04;395.87;516.49
1092;9500;1750;125;514.40;415.47;393.07;513.18
0;10450;1750;125;514.18;414.20;395.34;515.79
1092;10450;1750;125;514.47;415.39;393.15;513.51
2184;10450;1750;125;514.85;416.38;392.12;512.93
3276;10450;1750;125;515.45;417.26;391.62;511.96
4368;10450;1750;125;516.78;418.07;389.94;511.06
5460;10450;1750;125;521.88;421.94;383.48;507.09
0;11400;1750;125;515.38;414.27;396.58;516.96
1092;11400;1750;125;514.74;416.15;393.54;514.20
2184;11400;1750;125;515.20;416.86;392.55;513.43
3276;11400;1750;125;515.57;417.35;392.09;512.65
4368;11400;1750;125;516.23;418.03;390.80;512.23
5460;11400;1750;125;518.47;419.53;388.37;510.53
6552;11400;1750;125;525.43;424.33;379.82;505.02
0;12350;1750;125;515.96;414.46;397.65;517.93
1092;12350;1750;125;515.14;416.23;393.87;514.90
2184;12350;1750;125;515.49;417.15;392.91;513.47
3276;12350;1750;125;515.70;417.51;392.22;512.88
4368;12350;1750;125;515.87;418.08;391.81;512.39
5460;12350;1750;125;517.27;418.28;390.47;511.88
6552;12350;1750;125;519.57;419.83;387.32;510.62
0;13300;1750;125;516.01;414.17;397.50;518.05
1092;13300;1750;125;515.42;416.02;393.97;515.35
2184;13300;1750;125;515.89;417.18;392.80;513.71
3276;13300;1750;125;515.74;417.88;392.19;513.37
4368;13300;1750;125;516.34;417.80;391.92;512.99
5460;13300;1750;125;516.65;418.26;391.22;512.70
6552;13300;1750;125;517.71;418.54;389.96;512.10
7644;13300;1750;125;518.37;418.20;388.98;512.56
8736;13300;1750;125;517.94;417.15;389.33;513.84
9828;13300;1750;125;517.63;416.56;390.24;514.44
10920;13300;1750;125;518.00;416.95;390.05;513.94
12012;13300;1750;125;518.24;416.86;389.48;514.03
13104;13300;1750;125;517.99;416.26;390.10;514.74
14196;13300;1750;125;518.10;417.06;389.89;513.80
15288;13300;1750;125;522.17;420.33;384.58;510.15
