POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1640;125;577;448;458;589
0;0;1640;125;575;446;454;590
0;0;1640;125;574;443;454;584
0;0;1640;125;575;449;454;589
0;0;1640;125;573;447;454;588
0;0;1640;125;574;450;453;590
0;0;1640;125;574;446;454;589
0;0;1640;125;574;449;454;589
0;0;1640;125;574;449;452;592
0;0;1640;125;572;448;453;581
0;0;1640;125;576;440;454;589
0;0;1640;125;574;457;454;589
0;0;1640;125;574;447;452;589
0;0;1640;125;573;446;455;590
0;0;1640;125;574;448;454;589
0;0;1640;125;573;449;454;586
0;0;1640;125;575;449;455;589
0;0;1640;125;573;448;453;588
0;0;1640;125;569;448;454;589
0;0;1640;125;574;450;454;590
0;0;1640;125;575;447;455;590
0;0;1640;125;573;447;454;589
0;0;1640;125;574;448;456;583
0;0;1640;125;574;448;455;588
0;0;1640;125;575;447;454;590
0;0;1640;125;574;447;454;592
0;0;1640;125;573;449;454;589
0;0;1640;125;574;448;454;596
0;0;1640;125;574;447;459;589
0;0;1640;125;574;447;454;589
0;0;1640;125;573;448;455;589
0;0;1640;125;573;447;453;591
0;0;1640;125;574;447;455;589
0;0;1640;125;573;447;454;591
0;0;1640;125;575;447;456;591
0;0;1640;125;579;447;457;589
0;0;1640;125;574;449;454;591
0;0;1640;125;574;448;457;589
0;0;1640;125;578;449;454;588
0;0;1640;125;574;448;455;590
0;0;1640;125;574;448;454;588
0;0;1640;125;574;448;455;589
0;0;1640;125;574;442;454;590
0;0;1640;125;574;450;455;588
0;0;1640;125;574;447;455;589
0;0;1640;125;572;448;447;589
0;0;1640;125;574;450;455;588
0;0;1640;125;573;448;461;589
0;0;1640;125;575;447;456;589
0;0;1640;125;572;447;456;588
0;0;1640;125;573;440;454;590
720;0;1640;125;577;451;451;584
720;0;1640;125;578;450;450;580
720;0;1640;125;578;452;452;583
720;0;1640;125;578;450;452;584
720;0;1640;125;578;448;451;592
720;0;1640;125;576;453;456;590
720;0;1640;125;578;452;449;584
720;0;1640;125;578;451;451;584
720;0;1640;125;577;451;451;584
720;0;1640;125;579;455;449;585
720;0;1640;125;580;452;450;584
720;0;1640;125;579;453;450;583
720;0;1640;125;577;453;451;584
720;0;1640;125;573;448;450;584
720;0;1640;125;577;449;450;583
720;0;1640;125;580;452;451;584
720;0;1640;125;578;451;453;584
720;0;1640;125;578;451;453;584
720;0;1640;125;575;451;450;585
720;0;1640;125;576;450;451;582
720;0;1640;125;577;452;448;584
720;0;1640;125;577;451;451;584
720;0;1640;125;577;452;450;580
720;0;1640;125;579;447;453;584
720;0;1640;125;579;452;450;584
720;0;1640;125;577;450;452;585
720;0;1640;125;575;451;450;582
720;0;1640;125;581;452;446;585
720;0;1640;125;578;451;446;584
720;0;1640;125;577;454;450;584
720;0;1640;125;577;451;453;586
720;0;1640;125;573;451;449;582
720;0;1640;125;577;449;449;584
720;0;1640;125;577;451;450;580
720;0;1640;125;577;452;449;581
720;0;1640;125;577;452;456;587
720;0;1640;125;577;450;453;584
720;0;1640;125;578;451;450;584
720;0;1640;125;580;450;446;585
720;0;1640;125;580;450;451;584
720;0;1640;125;577;452;450;584
720;0;1640;125;576;450;452;583
720;0;1640;125;578;451;450;584
720;0;1640;125;573;451;450;584
720;0;1640;125;577;452;449;584
720;0;1640;125;577;454;450;585
720;0;1640;125;573;442;450;584
720;0;1640;125;577;452;451;584
720;0;1640;125;579;453;453;582
720;0;1640;125;577;450;450;583
720;0;1640;125;577;456;450;584
1440;0;1640;125;579;454;446;583
1440;0;1640;125;579;453;445;580
1440;0;1640;125;576;455;447;579
1440;0;1640;125;580;452;447;579
1440;0;1640;125;580;459;447;580
1440;0;1640;125;580;457;447;583
1440;0;1640;125;576;455;447;581
1440;0;1640;125;580;453;448;579
1440;0;1640;125;580;454;447;580
1440;0;1640;125;578;454;447;577
1440;0;1640;125;576;452;449;580
1440;0;1640;125;580;456;448;583
1440;0;1640;125;574;455;447;581
1440;0;1640;125;579;455;450;580
1440;0;1640;125;580;452;447;580
1440;0;1640;125;579;455;440;588
1440;0;1640;125;580;454;445;581
1440;0;1640;125;581;455;449;583
1440;0;1640;125;580;454;448;580
1440;0;1640;125;579;454;447;580
1440;0;1640;125;580;456;449;580
1440;0;1640;125;579;455;446;583
1440;0;1640;125;584;455;447;580
1440;0;1640;125;580;454;447;582
1440;0;1640;125;579;455;446;583
1440;0;1640;125;581;454;447;579
1440;0;1640;125;579;455;448;581
1440;0;1640;125;579;452;445;579
1440;0;1640;125;580;455;447;580
1440;0;1640;125;580;455;450;581
1440;0;1640;125;574;454;448;580
1440;0;1640;125;581;455;448;576
1440;0;1640;125;582;456;448;580
1440;0;1640;125;579;454;447;581
1440;0;1640;125;580;454;447;582
1440;0;1640;125;580;450;448;581
1440;0;1640;125;582;455;448;580
1440;0;1640;125;579;452;447;578
1440;0;1640;125;578;454;447;580
1440;0;1640;125;575;454;445;578
1440;0;1640;125;580;456;447;580
1440;0;1640;125;576;454;449;581
1440;0;1640;125;580;455;448;580
1440;0;1640;125;579;453;447;581
1440;0;1640;125;580;455;443;584
1440;0;1640;125;580;454;447;580
1440;0;1640;125;578;455;448;580
1440;0;1640;125;579;455;447;579
1440;0;1640;125;585;454;448;580
1440;0;1640;125;580;455;447;581
1440;0;1640;125;580;455;448;580
2160;0;1640;125;580;461;446;578
2160;0;1640;125;579;458;447;577
2160;0;1640;125;580;457;445;579
2160;0;1640;125;581;457;446;577
2160;0;1640;125;581;456;445;579
2160;0;1640;125;579;458;440;580
2160;0;1640;125;581;456;446;579
2160;0;1640;125;580;459;446;576
2160;0;1640;125;578;456;446;577
2160;0;1640;125;581;457;446;577
2160;0;1640;125;581;453;450;578
2160;0;1640;125;581;456;446;579
2160;0;1640;125;586;457;445;578
2160;0;1640;125;581;457;447;578
2160;0;1640;125;582;457;446;578
2160;0;1640;125;585;457;440;578
2160;0;1640;125;580;459;446;578
2160;0;1640;125;580;458;448;578
2160;0;1640;125;580;457;447;578
2160;0;1640;125;576;456;446;578
2160;0;1640;125;579;457;450;572
2160;0;1640;125;581;458;448;578
2160;0;1640;125;583;456;442;578
2160;0;1640;125;581;458;451;580
2160;0;1640;125;582;456;448;576
2160;0;1640;125;581;456;443;578
2160;0;1640;125;583;457;451;578
2160;0;1640;125;581;459;448;577
2160;0;1640;125;581;457;446;578
2160;0;1640;125;584;456;448;576
2160;0;1640;125;581;461;448;577
2160;0;1640;125;580;457;446;577
2160;0;1640;125;577;462;446;578
2160;0;1640;125;581;455;448;580
2160;0;1640;125;577;456;446;576
2160;0;1640;125;581;457;448;578
2160;0;1640;125;581;455;446;576
2160;0;1640;125;578;457;447;579
2160;0;1640;125;583;456;446;578
2160;0;1640;125;582;456;446;578
2160;0;1640;125;582;459;440;583
2160;0;1640;125;580;456;447;578
2160;0;1640;125;581;457;446;578
2160;0;1640;125;583;456;447;579
2160;0;1640;125;582;456;446;579
2160;0;1640;125;581;457;446;578
2160;0;1640;125;582;456;448;579
2160;0;1640;125;583;455;443;579
2160;0;1640;125;582;456;447;577
2160;0;1640;125;582;456;446;578
2160;0;1640;125;581;453;445;578
2880;0;1640;125;576;457;446;575
2880;0;1640;125;584;451;445;572
2880;0;1640;125;582;463;446;579
2880;0;1640;125;582;459;444;576
2880;0;1640;125;581;458;445;575
2880;0;1640;125;580;458;446;577
2880;0;1640;125;581;457;448;583
2880;0;1640;125;581;459;445;577
2880;0;1640;125;582;458;445;573
2880;0;1640;125;581;461;446;577
2880;0;1640;125;582;457;445;578
2880;0;1640;125;578;457;446;576
2880;0;1640;125;580;457;449;577
2880;0;1640;125;581;453;445;577
2880;0;1640;125;582;457;439;576
2880;0;1640;125;578;458;446;579
2880;0;1640;125;582;458;446;577
2880;0;1640;125;582;457;442;576
2880;0;1640;125;583;452;444;577
2880;0;1640;125;582;457;444;577
2880;0;1640;125;581;457;446;577
2880;0;1640;125;582;457;445;581
2880;0;1640;125;582;457;443;576
2880;0;1640;125;584;457;446;578
2880;0;1640;125;581;457;446;577
2880;0;1640;125;575;457;446;572
2880;0;1640;125;582;458;446;575
2880;0;1640;125;574;457;449;578
2880;0;1640;125;581;459;446;569
2880;0;1640;125;581;458;445;577
2880;0;1640;125;582;456;446;577
2880;0;1640;125;583;456;443;576
2880;0;1640;125;577;458;445;574
2880;0;1640;125;581;455;447;576
2880;0;1640;125;583;450;445;577
2880;0;1640;125;582;457;445;577
2880;0;1640;125;580;457;445;577
2880;0;1640;125;581;457;446;578
2880;0;1640;125;581;454;445;576
2880;0;1640;125;581;456;445;577
2880;0;1640;125;580;457;444;579
2880;0;1640;125;581;457;445;577
2880;0;1640;125;582;456;445;577
2880;0;1640;125;575;457;444;577
2880;0;1640;125;581;457;449;577
2880;0;1640;125;581;457;450;577
2880;0;1640;125;581;451;444;577
2880;0;1640;125;582;457;446;581
2880;0;1640;125;582;458;452;575
2880;0;1640;125;582;460;448;577
2880;0;1640;125;581;460;446;577
3600;0;1640;125;581;458;443;575
3600;0;1640;125;582;458;445;576
3600;0;1640;125;578;458;444;577
3600;0;1640;125;587;456;443;576
3600;0;1640;125;579;458;445;577
3600;0;1640;125;583;458;447;577
3600;0;1640;125;581;458;446;576
3600;0;1640;125;575;459;441;576
3600;0;1640;125;583;458;446;576
3600;0;1640;125;582;461;445;577
3600;0;1640;125;582;458;445;579
3600;0;1640;125;580;458;445;576
3600;0;1640;125;582;454;444;577
3600;0;1640;125;580;458;444;583
3600;0;1640;125;588;457;450;580
3600;0;1640;125;580;460;445;578
3600;0;1640;125;581;457;445;576
3600;0;1640;125;582;458;444;575
3600;0;1640;125;582;458;444;574
3600;0;1640;125;584;465;445;577
3600;0;1640;125;582;458;441;576
3600;0;1640;125;581;458;447;576
3600;0;1640;125;581;458;447;576
3600;0;1640;125;582;458;445;577
3600;0;1640;125;582;456;444;576
3600;0;1640;125;582;458;446;577
3600;0;1640;125;583;460;446;576
3600;0;1640;125;583;459;445;575
3600;0;1640;125;582;457;445;578
3600;0;1640;125;582;458;445;576
3600;0;1640;125;581;460;444;577
3600;0;1640;125;581;456;445;576
3600;0;1640;125;581;457;445;577
3600;0;1640;125;582;457;444;575
3600;0;1640;125;578;458;445;576
3600;0;1640;125;588;456;444;576
3600;0;1640;125;582;457;447;576
3600;0;1640;125;582;452;446;576
3600;0;1640;125;575;461;445;575
3600;0;1640;125;582;459;446;577
3600;0;1640;125;582;461;445;577
3600;0;1640;125;582;457;448;577
3600;0;1640;125;581;464;445;576
3600;0;1640;125;582;460;445;574
3600;0;1640;125;583;458;447;577
3600;0;1640;125;583;459;448;576
3600;0;1640;125;580;458;445;577
3600;0;1640;125;583;458;444;577
3600;0;1640;125;581;457;446;578
3600;0;1640;125;582;458;446;576
3600;0;1640;125;582;462;444;577
4320;0;1640;125;582;458;442;576
4320;0;1640;125;582;458;444;585
4320;0;1640;125;582;458;444;574
4320;0;1640;125;582;458;444;575
4320;0;1640;125;583;460;445;577
4320;0;1640;125;582;458;445;579
4320;0;1640;125;583;458;445;576
4320;0;1640;125;582;457;444;577
4320;0;1640;125;581;458;446;577
4320;0;1640;125;583;457;444;576
4320;0;1640;125;582;457;442;576
4320;0;1640;125;576;457;446;576
4320;0;1640;125;581;458;445;576
4320;0;1640;125;582;455;445;574
4320;0;1640;125;582;458;444;575
4320;0;1640;125;583;458;445;576
4320;0;1640;125;581;458;445;578
4320;0;1640;125;582;457;445;576
4320;0;1640;125;581;458;445;577
4320;0;1640;125;582;458;445;575
4320;0;1640;125;581;466;442;575
4320;0;1640;125;581;459;444;576
4320;0;1640;125;581;457;447;577
4320;0;1640;125;582;459;447;576
4320;0;1640;125;581;458;445;576
4320;0;1640;125;582;458;444;576
4320;0;1640;125;581;458;445;576
4320;0;1640;125;580;458;446;576
4320;0;1640;125;580;458;446;577
4320;0;1640;125;580;458;445;577
4320;0;1640;125;578;458;445;575
4320;0;1640;125;585;458;445;573
4320;0;1640;125;582;456;445;576
4320;0;1640;125;588;461;446;576
4320;0;1640;125;582;457;445;575
4320;0;1640;125;580;457;445;576
4320;0;1640;125;582;457;448;577
4320;0;1640;125;583;456;448;579
4320;0;1640;125;582;456;445;576
4320;0;1640;125;582;458;447;578
4320;0;1640;125;583;458;445;576
4320;0;1640;125;582;458;446;580
4320;0;1640;125;576;459;446;576
4320;0;1640;125;580;457;446;578
4320;0;1640;125;582;457;442;576
4320;0;1640;125;583;461;445;575
4320;0;1640;125;582;458;445;574
4320;0;1640;125;577;458;445;575
4320;0;1640;125;579;457;446;576
4320;0;1640;125;582;458;444;576
4320;0;1640;125;584;458;445;576
5040;0;1640;125;581;460;444;576
5040;0;1640;125;582;461;439;576
5040;0;1640;125;582;458;445;578
5040;0;1640;125;582;459;441;576
5040;0;1640;125;582;459;445;575
5040;0;1640;125;582;458;445;575
5040;0;1640;125;587;458;445;576
5040;0;1640;125;582;459;443;575
5040;0;1640;125;581;461;443;576
5040;0;1640;125;581;459;445;577
5040;0;1640;125;583;461;450;576
5040;0;1640;125;583;459;445;574
5040;0;1640;125;578;458;444;576
5040;0;1640;125;582;459;445;578
5040;0;1640;125;586;458;445;573
5040;0;1640;125;584;459;444;575
5040;0;1640;125;584;458;445;575
5040;0;1640;125;582;459;445;575
5040;0;1640;125;582;458;446;574
5040;0;1640;125;579;458;445;575
5040;0;1640;125;583;459;446;576
5040;0;1640;125;580;459;444;576
5040;0;1640;125;582;459;442;575
5040;0;1640;125;583;459;446;574
5040;0;1640;125;585;458;443;572
5040;0;1640;125;580;460;444;575
5040;0;1640;125;583;452;445;575
5040;0;1640;125;582;456;442;576
5040;0;1640;125;582;456;450;576
5040;0;1640;125;589;455;445;576
5040;0;1640;125;582;458;445;579
5040;0;1640;125;582;458;445;571
5040;0;1640;125;582;461;446;574
5040;0;1640;125;583;458;447;576
5040;0;1640;125;585;459;445;575
5040;0;1640;125;582;458;445;576
5040;0;1640;125;584;458;444;575
5040;0;1640;125;582;458;445;574
5040;0;1640;125;582;459;445;577
5040;0;1640;125;581;459;446;575
5040;0;1640;125;583;457;445;574
5040;0;1640;125;583;460;445;576
5040;0;1640;125;583;459;446;575
5040;0;1640;125;583;465;443;575
5040;0;1640;125;582;458;446;576
5040;0;1640;125;583;459;447;580
5040;0;1640;125;582;465;446;575
5040;0;1640;125;581;454;450;576
5040;0;1640;125;587;457;445;575
5040;0;1640;125;578;458;445;575
5040;0;1640;125;584;458;449;576
5760;0;1640;125;583;458;443;575
5760;0;1640;125;589;457;445;579
5760;0;1640;125;583;458;446;576
5760;0;1640;125;583;459;445;577
5760;0;1640;125;582;458;445;576
5760;0;1640;125;582;460;445;575
5760;0;1640;125;583;459;445;578
5760;0;1640;125;582;459;445;576
5760;0;1640;125;583;458;446;575
5760;0;1640;125;582;456;445;576
5760;0;1640;125;583;456;445;576
5760;0;1640;125;582;460;445;575
5760;0;1640;125;583;458;446;575
5760;0;1640;125;582;458;446;570
5760;0;1640;125;583;458;443;574
5760;0;1640;125;583;458;447;577
5760;0;1640;125;578;457;443;576
5760;0;1640;125;582;458;445;577
5760;0;1640;125;583;459;447;575
5760;0;1640;125;587;458;445;576
5760;0;1640;125;582;458;445;577
5760;0;1640;125;583;460;449;576
5760;0;1640;125;582;459;446;580
5760;0;1640;125;578;459;443;575
5760;0;1640;125;580;455;449;576
5760;0;1640;125;585;458;440;579
5760;0;1640;125;583;457;446;575
5760;0;1640;125;581;459;444;577
5760;0;1640;125;583;458;448;575
5760;0;1640;125;582;459;445;576
5760;0;1640;125;586;458;446;575
5760;0;1640;125;578;459;445;574
5760;0;1640;125;582;459;446;572
5760;0;1640;125;584;458;445;574
5760;0;1640;125;582;459;445;575
5760;0;1640;125;580;460;442;575
5760;0;1640;125;582;456;445;574
5760;0;1640;125;582;458;445;575
5760;0;1640;125;583;459;446;577
5760;0;1640;125;583;459;445;577
5760;0;1640;125;582;458;444;578
5760;0;1640;125;583;460;445;576
5760;0;1640;125;580;458;446;575
5760;0;1640;125;582;458;445;577
5760;0;1640;125;577;459;444;571
5760;0;1640;125;582;458;446;579
5760;0;1640;125;584;459;446;576
5760;0;1640;125;584;458;446;574
5760;0;1640;125;582;456;446;574
5760;0;1640;125;582;457;443;575
5760;0;1640;125;583;460;448;576
6480;0;1640;125;583;459;445;574
6480;0;1640;125;581;460;447;576
6480;0;1640;125;582;461;445;576
6480;0;1640;125;588;459;446;576
6480;0;1640;125;579;454;445;575
6480;0;1640;125;582;458;443;576
6480;0;1640;125;581;464;446;575
6480;0;1640;125;584;457;446;576
6480;0;1640;125;581;459;443;577
6480;0;1640;125;582;463;439;574
6480;0;1640;125;582;459;451;575
6480;0;1640;125;584;456;445;576
6480;0;1640;125;583;460;445;582
6480;0;1640;125;586;458;447;576
6480;0;1640;125;578;458;443;576
6480;0;1640;125;582;459;438;576
6480;0;1640;125;582;458;445;575
6480;0;1640;125;584;459;446;575
6480;0;1640;125;578;458;443;573
6480;0;1640;125;583;458;447;575
6480;0;1640;125;582;458;446;575
