POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1640;125;576;445;454;587
0;0;1640;125;576;447;454;587
0;0;1640;125;576;447;454;586
0;0;1640;125;576;441;454;580
0;0;1640;125;576;447;451;595
0;0;1640;125;576;446;459;585
0;0;1640;125;576;446;445;586
0;0;1640;125;574;447;453;583
0;0;1640;125;576;447;452;586
0;0;1640;125;579;448;454;586
0;0;1640;125;576;448;456;586
0;0;1640;125;576;447;449;585
0;0;1640;125;576;447;453;586
0;0;1640;125;571;447;453;584
0;0;1640;125;576;441;455;585
0;0;1640;125;577;444;454;587
0;0;1640;125;576;445;453;585
0;0;1640;125;576;451;452;587
0;0;1640;125;576;448;455;585
0;0;1640;125;575;447;454;581
0;0;1640;125;578;446;453;586
0;0;1640;125;576;447;454;586
0;0;1640;125;567;442;453;586
0;0;1640;125;576;448;456;585
0;0;1640;125;577;447;454;587
0;0;1640;125;569;447;453;587
0;0;1640;125;576;447;453;586
0;0;1640;125;576;444;453;586
0;0;1640;125;575;448;454;586
0;0;1640;125;575;447;453;587
0;0;1640;125;577;447;455;586
0;0;1640;125;576;446;451;586
0;0;1640;125;577;445;455;586
0;0;1640;125;576;447;454;586
0;0;1640;125;574;447;454;584
0;0;1640;125;576;447;454;586
0;0;1640;125;576;445;453;591
0;0;1640;125;577;445;453;586
0;0;1640;125;576;446;453;585
0;0;1640;125;576;445;454;586
0;0;1640;125;582;448;454;590
0;0;1640;125;575;449;454;586
0;0;1640;125;575;445;453;587
0;0;1640;125;576;446;459;586
0;0;1640;125;577;449;454;586
0;0;1640;125;566;447;454;585
0;0;1640;125;576;447;454;584
0;0;1640;125;574;446;456;584
0;0;1640;125;576;445;455;586
0;0;1640;125;576;447;453;586
0;0;1640;125;576;448;453;586
720;0;1640;125;579;451;450;582
720;0;1640;125;580;451;451;585
720;0;1640;125;581;451;451;583
720;0;1640;125;583;449;451;586
720;0;1640;125;579;450;460;583
720;0;1640;125;579;457;451;582
720;0;1640;125;578;451;451;583
720;0;1640;125;579;449;451;582
720;0;1640;125;581;452;450;583
720;0;1640;125;579;451;451;579
720;0;1640;125;578;451;451;582
720;0;1640;125;579;452;450;583
720;0;1640;125;579;454;452;585
720;0;1640;125;578;452;451;582
720;0;1640;125;580;451;449;582
720;0;1640;125;579;451;450;583
720;0;1640;125;583;452;450;576
720;0;1640;125;579;451;451;583
720;0;1640;125;580;452;451;582
720;0;1640;125;579;450;451;581
720;0;1640;125;577;450;455;582
720;0;1640;125;579;450;451;582
720;0;1640;125;579;451;453;584
720;0;1640;125;578;449;450;583
720;0;1640;125;577;452;453;582
720;0;1640;125;577;449;451;582
720;0;1640;125;578;451;451;584
720;0;1640;125;579;451;452;583
720;0;1640;125;579;451;451;583
720;0;1640;125;579;451;453;589
720;0;1640;125;578;454;451;584
720;0;1640;125;577;453;451;582
720;0;1640;125;579;451;451;582
720;0;1640;125;580;454;456;582
720;0;1640;125;585;455;450;580
720;0;1640;125;579;450;455;583
720;0;1640;125;578;451;456;578
720;0;1640;125;577;453;449;582
720;0;1640;125;579;451;453;582
720;0;1640;125;577;456;452;583
720;0;1640;125;579;451;460;582
720;0;1640;125;580;445;446;583
720;0;1640;125;579;451;452;583
720;0;1640;125;580;451;448;584
720;0;1640;125;582;452;448;582
720;0;1640;125;579;451;450;582
720;0;1640;125;580;453;450;582
720;0;1640;125;579;451;451;587
720;0;1640;125;578;451;450;583
720;0;1640;125;569;451;450;583
720;0;1640;125;578;451;449;582
1440;0;1640;125;583;456;448;581
1440;0;1640;125;581;455;451;579
1440;0;1640;125;581;455;449;579
1440;0;1640;125;581;457;449;579
1440;0;1640;125;580;457;447;580
1440;0;1640;125;581;454;450;580
1440;0;1640;125;582;453;448;581
1440;0;1640;125;582;453;450;580
1440;0;1640;125;582;455;448;580
1440;0;1640;125;581;456;449;581
1440;0;1640;125;581;457;449;580
1440;0;1640;125;582;455;440;582
1440;0;1640;125;581;453;453;580
1440;0;1640;125;584;454;448;579
1440;0;1640;125;580;455;449;579
1440;0;1640;125;580;454;448;580
1440;0;1640;125;581;454;442;581
1440;0;1640;125;581;457;446;579
1440;0;1640;125;584;455;448;586
1440;0;1640;125;582;455;448;580
1440;0;1640;125;581;454;456;581
1440;0;1640;125;578;454;450;586
1440;0;1640;125;581;454;448;579
1440;0;1640;125;581;454;447;580
1440;0;1640;125;580;454;448;579
1440;0;1640;125;581;455;448;580
1440;0;1640;125;580;452;449;581
1440;0;1640;125;582;462;448;578
1440;0;1640;125;582;454;449;574
1440;0;1640;125;582;455;448;580
1440;0;1640;125;582;454;450;578
1440;0;1640;125;592;460;449;581
1440;0;1640;125;580;454;446;580
1440;0;1640;125;580;453;449;578
1440;0;1640;125;582;453;448;580
1440;0;1640;125;572;454;448;579
1440;0;1640;125;579;455;451;577
1440;0;1640;125;583;454;447;575
1440;0;1640;125;582;454;448;580
1440;0;1640;125;581;455;448;579
1440;0;1640;125;581;455;450;581
1440;0;1640;125;581;454;448;578
1440;0;1640;125;589;454;449;580
1440;0;1640;125;581;454;450;580
1440;0;1640;125;581;458;449;578
1440;0;1640;125;581;455;449;580
1440;0;1640;125;579;454;447;579
1440;0;1640;125;579;455;452;582
1440;0;1640;125;581;455;449;580
1440;0;1640;125;581;455;447;578
1440;0;1640;125;576;455;448;580
2160;0;1640;125;582;459;448;577
2160;0;1640;125;582;456;448;579
2160;0;1640;125;582;456;447;579
2160;0;1640;125;580;456;445;578
2160;0;1640;125;582;455;447;580
2160;0;1640;125;582;459;447;576
2160;0;1640;125;583;456;449;578
2160;0;1640;125;582;457;445;578
2160;0;1640;125;582;455;450;578
2160;0;1640;125;583;457;440;579
2160;0;1640;125;580;456;446;578
2160;0;1640;125;582;454;452;579
2160;0;1640;125;580;455;447;579
2160;0;1640;125;582;453;454;577
2160;0;1640;125;583;458;450;579
2160;0;1640;125;584;458;447;579
2160;0;1640;125;580;457;447;576
2160;0;1640;125;580;455;447;571
2160;0;1640;125;583;457;449;577
2160;0;1640;125;582;457;449;578
2160;0;1640;125;582;455;447;578
2160;0;1640;125;583;456;448;579
2160;0;1640;125;582;454;447;584
2160;0;1640;125;579;457;449;581
2160;0;1640;125;582;457;447;578
2160;0;1640;125;582;457;448;578
2160;0;1640;125;582;457;447;580
2160;0;1640;125;582;456;447;578
2160;0;1640;125;582;457;448;579
2160;0;1640;125;580;457;445;578
2160;0;1640;125;586;457;450;578
2160;0;1640;125;582;454;447;580
2160;0;1640;125;582;457;448;578
2160;0;1640;125;588;456;447;579
2160;0;1640;125;583;459;450;579
2160;0;1640;125;580;455;438;576
2160;0;1640;125;582;457;447;578
2160;0;1640;125;582;458;449;577
2160;0;1640;125;579;458;447;580
2160;0;1640;125;583;453;448;579
2160;0;1640;125;583;456;447;579
2160;0;1640;125;584;458;448;578
2160;0;1640;125;582;456;444;579
2160;0;1640;125;582;456;447;580
2160;0;1640;125;582;457;447;580
2160;0;1640;125;582;456;448;582
2160;0;1640;125;581;459;446;580
2160;0;1640;125;584;456;450;577
2160;0;1640;125;583;457;447;579
2160;0;1640;125;582;457;449;579
2160;0;1640;125;582;455;439;578
2880;0;1640;125;585;461;454;579
2880;0;1640;125;582;458;448;578
2880;0;1640;125;585;456;447;580
2880;0;1640;125;582;456;447;578
2880;0;1640;125;583;457;447;575
2880;0;1640;125;582;455;448;577
2880;0;1640;125;584;459;447;577
2880;0;1640;125;584;458;450;579
2880;0;1640;125;583;457;448;578
2880;0;1640;125;581;458;442;576
2880;0;1640;125;583;458;447;579
2880;0;1640;125;580;452;445;577
2880;0;1640;125;582;456;448;577
2880;0;1640;125;583;458;447;578
2880;0;1640;125;583;458;445;578
2880;0;1640;125;582;459;447;576
2880;0;1640;125;584;460;447;576
2880;0;1640;125;582;458;450;578
2880;0;1640;125;583;458;454;578
2880;0;1640;125;583;457;448;580
2880;0;1640;125;583;459;447;577
2880;0;1640;125;582;457;448;578
2880;0;1640;125;582;458;442;579
2880;0;1640;125;583;457;447;576
2880;0;1640;125;583;464;447;577
2880;0;1640;125;580;458;445;576
2880;0;1640;125;584;459;454;578
2880;0;1640;125;582;461;445;578
2880;0;1640;125;583;458;446;577
2880;0;1640;125;584;457;446;583
2880;0;1640;125;584;465;446;575
2880;0;1640;125;583;460;448;578
2880;0;1640;125;583;456;447;578
2880;0;1640;125;583;455;446;575
2880;0;1640;125;586;459;444;577
2880;0;1640;125;584;458;454;577
2880;0;1640;125;587;456;448;577
2880;0;1640;125;583;458;446;578
2880;0;1640;125;585;456;439;578
2880;0;1640;125;584;457;448;578
2880;0;1640;125;586;457;446;578
2880;0;1640;125;583;457;445;579
2880;0;1640;125;584;456;446;575
2880;0;1640;125;580;458;449;577
2880;0;1640;125;584;458;445;578
2880;0;1640;125;583;454;447;578
2880;0;1640;125;583;460;447;578
2880;0;1640;125;584;459;450;577
2880;0;1640;125;583;454;448;578
2880;0;1640;125;588;457;446;578
