POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;6000;125;547;424;443;543
805;0;6000;125;547;427;439;538
1610;0;6000;125;548;430;436;535
2415;0;6000;125;547;430;435;534
3220;0;6000;125;547;431;434;534
4025;0;6000;125;547;432;434;533
4830;0;6000;125;547;431;434;532
5635;0;6000;125;546;431;433;532
6440;0;6000;125;546;431;433;531
7245;0;6000;125;546;432;433;532
8050;0;6000;125;546;432;433;532
8855;0;6000;125;546;432;432;532
9660;0;6000;125;546;432;433;532
10465;0;6000;125;546;432;432;532
11270;0;6000;125;545;432;432;532
12075;0;6000;125;546;432;433;531
12880;0;6000;125;546;432;432;531
13685;0;6000;125;546;433;431;531
14490;0;6000;125;547;432;431;532
15295;0;6000;125;548;433;429;530
0;700;6000;125;544;427;440;542
805;700;6000;125;545;430;437;537
1610;700;6000;125;545;431;435;536
2415;700;6000;125;545;431;434;534
3220;700;6000;125;545;432;434;533
4025;700;6000;125;546;432;433;533
4830;700;6000;125;546;432;433;533
5635;700;6000;125;545;433;433;532
6440;700;6000;125;545;432;433;532
7245;700;6000;125;545;433;433;532
8050;700;6000;125;545;432;433;531
8855;700;6000;125;545;433;434;532
9660;700;6000;125;545;432;433;532
10465;700;6000;125;545;432;433;532
11270;700;6000;125;546;433;433;531
12075;700;6000;125;545;433;432;531
12880;700;6000;125;546;433;432;532
13685;700;6000;125;546;433;432;532
14490;700;6000;125;546;433;431;531
15295;700;6000;125;548;434;429;531
0;1400;6000;125;544;427;440;541
805;1400;6000;125;545;431;437;537
1610;1400;6000;125;546;432;436;535
2415;1400;6000;125;546;432;435;534
3220;1400;6000;125;545;432;433;534
4025;1400;6000;125;546;433;433;533
4830;1400;6000;125;545;433;434;532
5635;1400;6000;125;545;433;434;533
6440;1400;6000;125;544;432;433;532
7245;1400;6000;125;545;434;433;532
8050;1400;6000;125;545;433;433;532
8855;1400;6000;125;545;433;434;532
9660;1400;6000;125;545;433;433;532
10465;1400;6000;125;545;433;433;531
11270;1400;6000;125;545;433;434;532
12075;1400;6000;125;545;433;433;532
12880;1400;6000;125;545;433;432;531
13685;1400;6000;125;546;433;432;532
14490;1400;6000;125;547;433;431;531
15295;1400;6000;125;548;434;429;530
0;2100;6000;125;544;428;440;540
805;2100;6000;125;545;431;438;537
1610;2100;6000;125;547;432;436;535
2415;2100;6000;125;545;432;435;534
3220;2100;6000;125;545;433;435;533
4025;2100;6000;125;546;432;434;533
4830;2100;6000;125;545;433;434;533
5635;2100;6000;125;545;433;433;532
6440;2100;6000;125;545;432;434;532
7245;2100;6000;125;545;433;434;533
8050;2100;6000;125;545;433;433;532
8855;2100;6000;125;545;434;434;532
9660;2100;6000;125;545;433;434;532
10465;2100;6000;125;545;433;433;532
11270;2100;6000;125;545;433;433;532
12075;2100;6000;125;545;433;433;531
12880;2100;6000;125;546;433;433;532
13685;2100;6000;125;546;433;433;531
14490;2100;6000;125;547;433;432;531
15295;2100;6000;125;549;435;429;530
0;2800;6000;125;543;428;440;541
805;2800;6000;125;546;430;438;537
1610;2800;6000;125;545;433;436;535
2415;2800;6000;125;546;433;435;534
3220;2800;6000;125;546;433;435;533
4025;2800;6000;125;545;434;434;533
4830;2800;6000;125;545;433;434;533
5635;2800;6000;125;545;433;434;533
6440;2800;6000;125;545;433;434;533
7245;2800;6000;125;545;433;434;532
8050;2800;6000;125;545;433;433;532
8855;2800;6000;125;544;433;434;532
9660;2800;6000;125;546;433;434;533
10465;2800;6000;125;545;433;434;532
11270;2800;6000;125;545;434;433;532
12075;2800;6000;125;546;433;433;532
12880;2800;6000;125;546;433;433;531
13685;2800;6000;125;546;434;432;531
14490;2800;6000;125;547;434;432;531
15295;2800;6000;125;549;435;429;530
0;3500;6000;125;544;428;441;541
805;3500;6000;125;545;431;438;537
1610;3500;6000;125;545;432;437;536
2415;3500;6000;125;545;432;436;534
3220;3500;6000;125;546;433;435;533
4025;3500;6000;125;545;433;435;533
4830;3500;6000;125;546;433;435;533
5635;3500;6000;125;545;433;435;533
6440;3500;6000;125;545;434;435;532
7245;3500;6000;125;545;433;434;533
8050;3500;6000;125;545;433;434;532
8855;3500;6000;125;545;433;434;532
9660;3500;6000;125;545;433;435;532
10465;3500;6000;125;545;433;434;532
11270;3500;6000;125;545;433;434;532
12075;3500;6000;125;545;433;434;532
12880;3500;6000;125;546;433;433;532
13685;3500;6000;125;547;434;434;531
14490;3500;6000;125;547;433;432;531
15295;3500;6000;125;548;435;430;530
0;4200;6000;125;544;428;441;541
805;4200;6000;125;545;431;439;537
1610;4200;6000;125;545;432;437;535
2415;4200;6000;125;545;432;436;534
3220;4200;6000;125;545;433;435;533
4025;4200;6000;125;546;433;435;534
4830;4200;6000;125;545;434;434;533
5635;4200;6000;125;545;434;435;532
6440;4200;6000;125;546;433;434;533
7245;4200;6000;125;545;434;434;533
8050;4200;6000;125;546;434;435;532
8855;4200;6000;125;545;433;434;532
9660;4200;6000;125;545;433;434;532
10465;4200;6000;125;545;433;434;532
11270;4200;6000;125;545;433;434;532
12075;4200;6000;125;546;434;434;531
12880;4200;6000;125;546;433;434;532
13685;4200;6000;125;546;434;433;532
14490;4200;6000;125;548;434;432;531
15295;4200;6000;125;550;435;430;530
0;4900;6000;125;544;428;441;540
805;4900;6000;125;545;431;438;537
1610;4900;6000;125;545;432;437;535
2415;4900;6000;125;547;432;436;533
3220;4900;6000;125;546;433;436;534
4025;4900;6000;125;546;433;435;533
4830;4900;6000;125;545;433;435;533
5635;4900;6000;125;546;433;435;532
6440;4900;6000;125;546;433;435;533
7245;4900;6000;125;546;433;435;532
8050;4900;6000;125;545;433;434;532
8855;4900;6000;125;546;433;434;533
9660;4900;6000;125;545;434;435;532
10465;4900;6000;125;546;433;435;532
11270;4900;6000;125;545;434;435;532
12075;4900;6000;125;545;434;434;532
12880;4900;6000;125;546;433;434;531
13685;4900;6000;125;546;433;433;531
14490;4900;6000;125;547;434;432;531
15295;4900;6000;125;549;435;430;530
0;5600;6000;125;545;428;441;540
805;5600;6000;125;545;431;438;537
1610;5600;6000;125;545;432;437;535
2415;5600;6000;125;546;433;436;534
3220;5600;6000;125;546;433;435;533
4025;5600;6000;125;546;433;436;532
4830;5600;6000;125;546;434;435;533
5635;5600;6000;125;546;434;435;533
6440;5600;6000;125;546;434;434;533
7245;5600;6000;125;546;433;435;532
8050;5600;6000;125;545;433;434;533
8855;5600;6000;125;545;432;435;532
9660;5600;6000;125;546;433;434;532
10465;5600;6000;125;546;433;434;532
11270;5600;6000;125;545;434;434;532
12075;5600;6000;125;546;433;435;532
12880;5600;6000;125;546;433;434;531
13685;5600;6000;125;547;434;433;531
14490;5600;6000;125;548;434;432;531
15295;5600;6000;125;549;435;430;530
0;6300;6000;125;545;429;441;540
805;6300;6000;125;545;432;438;537
1610;6300;6000;125;546;432;437;535
2415;6300;6000;125;546;433;436;534
3220;6300;6000;125;546;433;436;533
4025;6300;6000;125;546;433;435;533
4830;6300;6000;125;546;434;435;533
5635;6300;6000;125;546;433;435;532
6440;6300;6000;125;546;433;434;532
