POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;579;453;462;592
0;0;4000;125;578;453;456;591
0;0;4000;125;579;453;460;591
0;0;4000;125;579;452;459;592
0;0;4000;125;578;453;460;591
0;0;4000;125;579;461;458;592
0;0;4000;125;583;454;459;591
0;0;4000;125;578;453;459;592
0;0;4000;125;580;453;460;591
0;0;4000;125;579;452;460;589
8650;0;4000;125;579;469;453;574
8650;0;4000;125;584;462;450;583
8650;0;4000;125;583;461;454;584
8650;0;4000;125;583;462;454;580
8650;0;4000;125;583;462;453;583
8650;0;4000;125;586;462;454;584
8650;0;4000;125;584;460;453;582
8650;0;4000;125;583;462;451;584
8650;0;4000;125;584;463;451;582
8650;0;4000;125;583;461;452;583
15300;0;4000;125;588;465;445;579
15300;0;4000;125;590;466;445;578
15300;0;4000;125;583;465;445;579
15300;0;4000;125;586;466;446;580
15300;0;4000;125;589;466;445;577
15300;0;4000;125;589;464;444;581
15300;0;4000;125;589;465;446;579
15300;0;4000;125;588;466;447;579
15300;0;4000;125;589;465;447;579
15300;0;4000;125;589;466;446;579
0;7600;4000;125;578;452;459;593
0;7600;4000;125;581;455;461;592
0;7600;4000;125;576;452;463;590
0;7600;4000;125;569;453;460;591
0;7600;4000;125;577;447;459;583
0;7600;4000;125;577;454;460;591
0;7600;4000;125;579;453;466;586
0;7600;4000;125;576;453;461;590
0;7600;4000;125;577;449;458;590
0;7600;4000;125;575;453;459;591
8650;7600;4000;125;587;458;447;584
8650;7600;4000;125;588;456;447;583
8650;7600;4000;125;588;458;448;586
8650;7600;4000;125;589;458;447;584
8650;7600;4000;125;587;454;447;583
8650;7600;4000;125;587;457;448;584
8650;7600;4000;125;589;455;446;584
8650;7600;4000;125;587;458;448;583
8650;7600;4000;125;587;454;447;584
8650;7600;4000;125;588;456;447;584
15300;7600;4000;125;588;464;446;576
15300;7600;4000;125;588;463;439;577
15300;7600;4000;125;589;464;446;576
15300;7600;4000;125;588;463;446;575
15300;7600;4000;125;593;468;446;575
15300;7600;4000;125;587;463;445;577
15300;7600;4000;125;593;454;446;576
15300;7600;4000;125;588;460;439;580
15300;7600;4000;125;595;464;442;576
15300;7600;4000;125;589;463;444;576
0;13300;4000;125;578;451;457;589
0;13300;4000;125;582;452;458;591
0;13300;4000;125;574;455;457;591
0;13300;4000;125;579;452;458;590
0;13300;4000;125;576;453;449;591
0;13300;4000;125;575;454;463;591
0;13300;4000;125;577;452;454;590
0;13300;4000;125;577;455;462;588
0;13300;4000;125;575;452;458;590
0;13300;4000;125;578;460;458;590
8650;13300;4000;125;581;460;452;581
8650;13300;4000;125;584;460;452;581
8650;13300;4000;125;584;468;452;580
8650;13300;4000;125;583;462;446;581
8650;13300;4000;125;583;460;453;580
8650;13300;4000;125;583;452;451;582
8650;13300;4000;125;585;461;451;575
8650;13300;4000;125;583;460;451;577
8650;13300;4000;125;584;458;452;581
8650;13300;4000;125;582;471;450;580
15300;13300;4000;125;589;473;447;576
15300;13300;4000;125;589;466;444;576
15300;13300;4000;125;591;463;447;576
15300;13300;4000;125;588;464;446;577
15300;13300;4000;125;588;463;444;577
15300;13300;4000;125;587;463;445;576
15300;13300;4000;125;588;463;447;576
15300;13300;4000;125;589;464;445;575
15300;13300;4000;125;591;464;438;576
15300;13300;4000;125;589;467;447;576
