POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;548;425;435;534
805;0;4000;125;547;428;431;531
1610;0;4000;125;547;429;428;528
2415;0;4000;125;547;430;427;527
3220;0;4000;125;546;430;426;526
4025;0;4000;125;545;430;426;526
4830;0;4000;125;545;431;425;526
5635;0;4000;125;545;431;424;526
6440;0;4000;125;544;430;424;525
7245;0;4000;125;544;431;424;526
8050;0;4000;125;544;432;424;526
8855;0;4000;125;544;431;424;526
9660;0;4000;125;543;431;424;526
10465;0;4000;125;543;432;423;526
11270;0;4000;125;543;431;423;526
12075;0;4000;125;543;432;423;526
12880;0;4000;125;543;432;422;526
13685;0;4000;125;544;433;422;526
14490;0;4000;125;545;433;420;525
15295;0;4000;125;546;435;418;524
0;700;4000;125;542;427;430;534
805;700;4000;125;542;429;427;531
1610;700;4000;125;543;430;425;528
2415;700;4000;125;543;432;425;528
3220;700;4000;125;542;432;424;527
4025;700;4000;125;543;432;424;526
4830;700;4000;125;542;432;423;526
5635;700;4000;125;542;432;423;526
6440;700;4000;125;542;431;424;526
7245;700;4000;125;542;432;423;526
8050;700;4000;125;542;431;423;526
8855;700;4000;125;541;431;422;526
9660;700;4000;125;542;432;423;525
10465;700;4000;125;541;431;423;525
11270;700;4000;125;541;432;423;526
12075;700;4000;125;542;432;422;526
12880;700;4000;125;542;432;422;525
13685;700;4000;125;543;433;422;526
14490;700;4000;125;543;433;420;525
15295;700;4000;125;546;434;418;523
0;1400;4000;125;541;427;430;533
805;1400;4000;125;541;429;426;529
1610;1400;4000;125;541;430;425;528
2415;1400;4000;125;541;430;425;527
3220;1400;4000;125;541;431;424;526
4025;1400;4000;125;542;431;424;526
4830;1400;4000;125;541;431;424;526
5635;1400;4000;125;542;432;424;526
6440;1400;4000;125;541;431;423;525
7245;1400;4000;125;541;432;423;526
8050;1400;4000;125;541;431;423;526
8855;1400;4000;125;541;432;423;526
9660;1400;4000;125;542;431;423;526
10465;1400;4000;125;541;431;423;526
11270;1400;4000;125;541;432;423;525
12075;1400;4000;125;541;432;423;526
12880;1400;4000;125;542;432;422;526
13685;1400;4000;125;543;432;422;525
14490;1400;4000;125;543;432;421;524
15295;1400;4000;125;546;434;417;524
0;2100;4000;125;541;427;430;534
805;2100;4000;125;542;429;427;531
1610;2100;4000;125;542;431;426;528
2415;2100;4000;125;542;432;425;527
3220;2100;4000;125;541;431;424;527
4025;2100;4000;125;541;432;425;527
4830;2100;4000;125;541;431;425;526
5635;2100;4000;125;542;431;424;526
6440;2100;4000;125;542;431;424;526
7245;2100;4000;125;541;432;424;526
8050;2100;4000;125;541;432;423;526
8855;2100;4000;125;541;432;424;526
9660;2100;4000;125;541;432;424;526
10465;2100;4000;125;541;432;424;526
11270;2100;4000;125;541;432;423;526
12075;2100;4000;125;541;432;423;526
12880;2100;4000;125;542;432;423;526
13685;2100;4000;125;542;432;422;525
14490;2100;4000;125;544;433;420;525
15295;2100;4000;125;546;435;418;524
0;2800;4000;125;541;428;430;534
805;2800;4000;125;541;429;428;530
1610;2800;4000;125;541;430;427;529
2415;2800;4000;125;541;431;426;528
3220;2800;4000;125;541;432;425;527
4025;2800;4000;125;541;431;425;527
4830;2800;4000;125;541;432;425;527
5635;2800;4000;125;541;431;424;526
6440;2800;4000;125;541;431;424;526
7245;2800;4000;125;541;432;423;526
8050;2800;4000;125;541;432;424;526
8855;2800;4000;125;541;432;424;527
9660;2800;4000;125;541;432;424;525
10465;2800;4000;125;541;432;423;526
11270;2800;4000;125;541;432;424;526
12075;2800;4000;125;541;432;424;526
12880;2800;4000;125;542;432;423;526
13685;2800;4000;125;542;433;422;526
14490;2800;4000;125;543;433;421;525
15295;2800;4000;125;546;434;418;523
0;3500;4000;125;541;427;430;534
805;3500;4000;125;541;429;428;530
1610;3500;4000;125;541;431;426;529
2415;3500;4000;125;541;431;426;528
3220;3500;4000;125;541;431;426;528
4025;3500;4000;125;541;431;425;527
4830;3500;4000;125;541;432;425;526
5635;3500;4000;125;541;431;424;526
6440;3500;4000;125;541;432;425;526
7245;3500;4000;125;541;432;425;526
8050;3500;4000;125;541;432;425;526
8855;3500;4000;125;541;432;424;526
9660;3500;4000;125;541;431;424;527
10465;3500;4000;125;541;431;424;527
11270;3500;4000;125;541;432;424;526
12075;3500;4000;125;541;432;424;526
12880;3500;4000;125;542;432;423;527
13685;3500;4000;125;543;432;42
