POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;580;448;449;588
0;0;4000;125;576;448;456;586
0;0;4000;125;576;448;456;586
0;0;4000;125;577;449;464;593
0;0;4000;125;576;450;456;587
0;0;4000;125;575;448;463;586
0;0;4000;125;576;454;455;586
0;0;4000;125;575;447;462;589
0;0;4000;125;578;449;456;587
0;0;4000;125;577;446;456;586
0;0;4000;125;577;450;456;586
0;0;4000;125;575;446;451;586
0;0;4000;125;576;448;456;587
0;0;4000;125;577;447;455;587
0;0;4000;125;578;447;456;585
0;0;4000;125;577;447;456;587
0;0;4000;125;577;448;462;594
0;0;4000;125;577;449;456;586
0;0;4000;125;578;441;456;587
0;0;4000;125;577;448;456;587
0;0;4000;125;576;447;457;586
0;0;4000;125;575;448;455;587
0;0;4000;125;576;448;456;587
0;0;4000;125;575;448;456;587
0;0;4000;125;572;450;457;587
0;0;4000;125;577;454;455;586
0;0;4000;125;578;448;457;587
0;0;4000;125;577;448;449;595
0;0;4000;125;577;449;458;585
0;0;4000;125;576;449;448;588
0;0;4000;125;576;448;456;585
0;0;4000;125;576;448;448;588
0;0;4000;125;580;448;458;590
0;0;4000;125;577;450;457;586
0;0;4000;125;573;450;458;588
0;0;4000;125;575;450;457;587
0;0;4000;125;578;452;456;586
0;0;4000;125;576;448;453;587
0;0;4000;125;578;444;459;590
0;0;4000;125;577;449;456;595
0;0;4000;125;577;449;456;587
0;0;4000;125;577;457;456;587
0;0;4000;125;576;447;458;587
0;0;4000;125;577;451;462;586
0;0;4000;125;576;448;457;589
0;0;4000;125;576;450;456;587
0;0;4000;125;576;446;450;580
0;0;4000;125;582;450;457;587
0;0;4000;125;576;449;456;587
0;0;4000;125;578;442;456;588
805;0;4000;125;578;451;454;585
805;0;4000;125;581;462;453;583
805;0;4000;125;580;454;460;582
805;0;4000;125;579;450;449;577
805;0;4000;125;580;453;454;583
805;0;4000;125;582;453;456;583
805;0;4000;125;580;456;454;583
805;0;4000;125;580;452;459;587
