POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;585;464;465;604
0;0;4000;125;586;463;466;603
0;0;4000;125;584;464;466;603
0;0;4000;125;581;465;458;603
0;0;4000;125;584;462;466;603
0;0;4000;125;593;464;463;604
0;0;4000;125;593;467;465;604
0;0;4000;125;584;465;474;603
0;0;4000;125;584;464;465;610
0;0;4000;125;585;463;464;593
0;0;4000;125;585;464;464;614
0;0;4000;125;584;464;466;604
0;0;4000;125;586;464;464;613
0;0;4000;125;585;461;468;603
0;0;4000;125;585;458;459;603
0;0;4000;125;584;462;465;604
0;0;4000;125;594;464;466;604
0;0;4000;125;584;464;465;603
0;0;4000;125;585;466;465;603
0;0;4000;125;584;464;461;608
1700;0;4000;125;589;472;458;598
1700;0;4000;125;579;469;462;597
1700;0;4000;125;589;479;460;599
1700;0;4000;125;587;473;460;597
1700;0;4000;125;588;471;461;590
1700;0;4000;125;588;470;461;604
1700;0;4000;125;589;469;453;598
1700;0;4000;125;601;472;456;599
1700;0;4000;125;590;469;461;596
1700;0;4000;125;590;471;460;598
1700;0;4000;125;587;471;460;606
1700;0;4000;125;589;472;461;592
1700;0;4000;125;594;481;460;598
1700;0;4000;125;589;472;460;600
1700;0;4000;125;587;469;460;598
1700;0;4000;125;589;471;461;597
1700;0;4000;125;585;472;456;598
1700;0;4000;125;588;466;457;597
1700;0;4000;125;589;472;462;598
1700;0;4000;125;591;472;456;598
3400;0;4000;125;589;472;459;594
3400;0;4000;125;589;473;457;597
3400;0;4000;125;588;482;460;599
3400;0;4000;125;589;473;459;597
3400;0;4000;125;582;465;460;598
3400;0;4000;125;588;474;459;596
3400;0;4000;125;588;472;460;597
3400;0;4000;125;588;474;459;597
3400;0;4000;125;589;473;458;596
3400;0;4000;125;590;475;459;599
3400;0;4000;125;591;473;460;597
3400;0;4000;125;589;474;459;597
3400;0;4000;125;582;473;463;595
3400;0;4000;125;599;474;458;597
3400;0;4000;125;587;472;460;595
3400;0;4000;125;590;474;460;598
3400;0;4000;125;591;472;460;597
3400;0;4000;125;590;473;458;597
3400;0;4000;125;589;475;461;603
3400;0;4000;125;590;472;458;597
5100;0;4000;125;586;474;459;596
5100;0;4000;125;591;475;459;596
5100;0;4000;125;590;476;460;596
5100;0;4000;125;588;472;459;597
5100;0;4000;125;590;475;461;595
5100;0;4000;125;598;473;459;597
5100;0;4000;125;590;475;467;596
5100;0;4000;125;583;474;452;598
5100;0;4000;125;590;474;458;598
5100;0;4000;125;588;476;457;595
5100;0;4000;125;590;475;459;605
5100;0;4000;125;592;476;460;592
5100;0;4000;125;590;475;458;605
5100;0;4000;125;590;475;452;595
5100;0;4000;125;592;479;456;597
5100;0;4000;125;590;474;453;595
5100;0;4000;125;590;474;461;596
5100;0;4000;125;589;474;458;596
5100;0;4000;125;588;473;459;596
5100;0;4000;125;590;475;467;596
6800;0;4000;125;587;475;460;592
6800;0;4000;125;590;475;459;597
6800;0;4000;125;590;472;460;597
6800;0;4000;125;592;470;459;596
6800;0;4000;125;589;479;459;597
6800;0;4000;125;589;476;455;595
6800;0;4000;125;590;475;461;597
6800;0;4000;125;586;475;460;595
6800;0;4000;125;591;475;460;593
6800;0;4000;125;590;473;458;598
6800;0;4000;125;590;475;460;597
6800;0;4000;125;590;474;450;597
6800;0;4000;125;589;475;460;597
6800;0;4000;125;590;475;459;596
6800;0;4000;125;589;475;460;597
6800;0;4000;125;590;475;458;596
6800;0;4000;125;590;474;460;597
6800;0;4000;125;590;480;460;597
6800;0;4000;125;588;475;458;598
6800;0;4000;125;591;475;462;597
8500;0;4000;125;588;475;459;596
8500;0;4000;125;590;475;468;595
8500;0;4000;125;590;475;459;597
8500;0;4000;125;589;474;465;596
8500;0;4000;125;588;475;456;597
8500;0;4000;125;594;476;459;597
8500;0;4000;125;590;478;459;599
8500;0;4000;125;585;475;460;597
8500;0;4000;125;590;475;448;596
8500;0;4000;125;590;474;461;596
8500;0;4000;125;590;476;458;597
8500;0;4000;125;590;476;461;597
8500;0;4000;125;589;476;460;597
8500;0;4000;125;583;474;461;607
8500;0;4000;125;595;475;460;597
8500;0;4000;125;590;476;457;599
8500;0;4000;125;591;481;466;596
8500;0;4000;125;590;476;458;596
8500;0;4000;125;582;475;459;596
8500;0;4000;125;590;473;460;598
10200;0;4000;125;590;477;450;596
10200;0;4000;125;586;476;459;595
10200;0;4000;125;590;476;453;596
10200;0;4000;125;583;476;459;592
10200;0;4000;125;590;476;457;596
10200;0;4000;125;591;477;457;598
10200;0;4000;125;588;476;460;603
10200;0;4000;125;592;476;460;597
10200;0;4000;125;589;476;455;596
10200;0;4000;125;590;475;457;596
10200;0;4000;125;590;485;461;597
10200;0;4000;125;591;476;465;595
10200;0;4000;125;590;474;459;595
10200;0;4000;125;585;472;458;596
10200;0;4000;125;591;475;459;597
10200;0;4000;125;590;475;457;594
10200;0;4000;125;590;476;459;598
10200;0;4000;125;589;475;459;597
10200;0;4000;125;590;475;457;596
10200;0;4000;125;592;477;470;598
11900;0;4000;125;590;476;458;598
11900;0;4000;125;588;476;457;606
11900;0;4000;125;585;478;458;596
11900;0;4000;125;600;473;460;598
