POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;586;465;466;601
0;0;4000;125;585;462;466;601
0;0;4000;125;586;464;456;602
0;0;4000;125;586;464;468;602
0;0;4000;125;585;462;465;608
0;0;4000;125;583;461;466;603
0;0;4000;125;586;464;467;611
0;0;4000;125;588;464;466;604
0;0;4000;125;585;468;467;602
0;0;4000;125;585;462;466;602
0;0;4000;125;587;463;472;603
0;0;4000;125;586;463;465;602
0;0;4000;125;585;464;464;602
0;0;4000;125;585;470;465;603
0;0;4000;125;586;463;466;603
0;0;4000;125;582;469;465;601
0;0;4000;125;584;463;466;604
0;0;4000;125;585;463;465;602
0;0;4000;125;590;464;463;603
0;0;4000;125;585;460;465;604
3825;0;4000;125;590;472;462;595
3825;0;4000;125;590;476;459;595
3825;0;4000;125;590;480;460;594
3825;0;4000;125;589;471;460;594
3825;0;4000;125;597;472;459;596
3825;0;4000;125;591;476;469;592
3825;0;4000;125;590;473;460;595
3825;0;4000;125;580;472;458;599
3825;0;4000;125;590;476;460;596
3825;0;4000;125;590;472;450;594
3825;0;4000;125;590;471;462;594
3825;0;4000;125;589;472;468;594
3825;0;4000;125;586;472;461;594
3825;0;4000;125;583;480;459;596
3825;0;4000;125;590;472;461;593
3825;0;4000;125;589;473;460;594
3825;0;4000;125;589;472;460;595
3825;0;4000;125;588;472;459;595
3825;0;4000;125;590;473;459;597
3825;0;4000;125;590;472;459;595
7650;0;4000;125;590;475;459;595
7650;0;4000;125;590;472;466;595
7650;0;4000;125;589;472;453;594
7650;0;4000;125;588;473;459;595
7650;0;4000;125;598;472;460;596
7650;0;4000;125;591;471;462;596
7650;0;4000;125;590;473;461;595
7650;0;4000;125;597;473;454;594
7650;0;4000;125;591;483;459;594
7650;0;4000;125;589;474;459;600
7650;0;4000;125;584;474;452;594
7650;0;4000;125;590;473;459;594
7650;0;4000;125;589;478;459;595
7650;0;4000;125;590;473;459;595
7650;0;4000;125;591;473;464;595
7650;0;4000;125;590;479;458;588
7650;0;4000;125;591;475;458;595
7650;0;4000;125;590;465;459;594
7650;0;4000;125;590;474;458;596
7650;0;4000;125;589;473;466;592
11475;0;4000;125;589;474;459;594
11475;0;4000;125;588;473;460;594
11475;0;4000;125;589;477;458;595
11475;0;4000;125;590;474;457;594
11475;0;4000;125;589;477;459;594
11475;0;4000;125;589;474;456;594
11475;0;4000;125;590;475;458;593
11475;0;4000;125;589;474;458;595
11475;0;4000;125;590;461;457;591
11475;0;4000;125;590;475;457;595
11475;0;4000;125;587;472;457;594
11475;0;4000;125;590;474;462;593
11475;0;4000;125;589;482;457;593
11475;0;4000;125;590;475;464;595
11475;0;4000;125;589;474;459;594
11475;0;4000;125;589;474;457;602
11475;0;4000;125;591;466;455;602
11475;0;4000;125;590;474;461;595
11475;0;4000;125;590;473;464;595
11475;0;4000;125;591;475;460;594
15300;0;4000;125;594;479;453;592
15300;0;4000;125;587;478;453;596
15300;0;4000;125;588;478;454;592
15300;0;4000;125;594;478;453;592
15300;0;4000;125;590;477;452;593
15300;0;4000;125;594;481;452;600
15300;0;4000;125;594;477;454;585
15300;0;4000;125;597;483;454;592
15300;0;4000;125;594;477;453;591
15300;0;4000;125;594;479;446;592
15300;0;4000;125;595;477;451;601
15300;0;4000;125;596;478;454;593
15300;0;4000;125;596;478;454;592
15300;0;4000;125;594;476;453;596
15300;0;4000;125;594;477;453;594
15300;0;4000;125;594;476;452;592
15300;0;4000;125;592;478;453;593
15300;0;4000;125;594;477;452;593
15300;0;4000;125;590;477;452;590
15300;0;4000;125;593;477;454;593
0;700;4000;125;584;463;464;603
0;700;4000;125;583;463;464;602
0;700;4000;125;583;464;464;603
0;700;4000;125;583;463;462;593
0;700;4000;125;584;463;463;602
0;700;4000;125;585;464;464;601
0;700;4000;125;584;462;464;601
0;700;4000;125;583;460;465;602
0;700;4000;125;571;463;464;601
0;700;4000;125;583;462;465;592
0;700;4000;125;581;453;465;602
0;700;4000;125;584;462;465;603
0;700;4000;125;584;462;471;602
0;700;4000;125;580;462;463;601
0;700;4000;125;583;462;469;601
0;700;4000;125;583;465;465;601
0;700;4000;125;582;462;464;600
0;700;4000;125;595;463;465;601
0;700;4000;125;584;459;465;600
0;700;4000;125;583;461;465;599
3825;700;4000;125;588;471;459;591
3825;700;4000;125;591;470;459;591
3825;700;4000;125;586;471;459;594
3825;700;4000;125;589;472;457;591
3825;700;4000;125;589;470;468;592
3825;700;4000;125;589;470;460;592
3825;700;4000;125;590;468;460;590
3825;700;4000;125;589;470;459;597
3825;700;4000;125;589;470;458;591
3825;700;4000;125;589;471;459;593
3825;700;4000;125;596;471;460;592
3825;700;4000;125;589;471;458;591
3825;700;4000;125;590;470;457;591
3825;700;4000;125;591;470;459;591
3825;700;4000;125;589;469;461;592
3825;700;4000;125;589;470;459;592
3825;700;4000;125;601;470;459;590
3825;700;4000;125;589;471;459;592
3825;700;4000;125;583;471;459;592
3825;700;4000;125;590;469;462;592
7650;700;4000;125;590;475;465;591
7650;700;4000;125;590;472;460;598
7650;700;4000;125;589;471;459;594
7650;700;4000;125;590;471;459;590
7650;700;4000;125;590;472;458;592
7650;700;4000;125;589;471;459;592
7650;700;4000;125;588;469;459;591
7650;700;4000;125;590;472;460;594
7650;700;4000;125;596;471;459;593
7650;700;4000;125;590;471;459;590
7650;700;4000;125;589;471;459;593
7650;700;4000;125;590;471;460;592
7650;700;4000;125;588;472;459;591
7650;700;4000;125;589;471;460;590
7650;700;4000;125;594;464;450;591
7650;700;4000;125;591;472;459;590
7650;700;4000;125;589;471;459;592
7650;700;4000;125;590;469;459;593
7650;700;4000;125;588;472;461;592
7650;700;4000;125;589;470;460;591
11475;700;4000;125;592;470;458;590
11475;700;4000;125;590;466;460;591
11475;700;4000;125;590;468;458;583
11475;700;4000;125;590;471;459;591
11475;700;4000;125;590;464;459;590
11475;700;4000;125;595;471;459;591
11475;700;4000;125;600;472;460;590
11475;700;4000;125;591;473;460;591
11475;700;4000;125;591;471;458;586
11475;700;4000;125;590;471;459;592
11475;700;4000;125;590;468;460;591
11475;700;4000;125;590;470;459;597
11475;700;4000;125;588;471;458;591
11475;700;4000;125;589;471;459;591
11475;700;4000;125;591;471;460;588
11475;700;4000;125;591;471;459;589
11475;700;4000;125;587;470;458;591
11475;700;4000;125;591;469;460;591
11475;700;4000;125;590;471;461;591
11475;700;4000;125;589;471;459;591
15300;700;4000;125;598;474;454;587
15300;700;4000;125;596;473;454;587
15300;700;4000;125;595;468;454;588
15300;700;4000;125;596;472;453;588
15300;700;4000;125;594;472;455;597
15300;700;4000;125;589;473;453;589
15300;700;4000;125;594;472;454;588
15300;700;4000;125;594;473;453;588
15300;700;4000;125;595;473;453;590
15300;700;4000;125;594;475;452;588
15300;700;4000;125;593;473;453;584
15300;700;4000;125;594;466;453;588
15300;700;4000;125;595;471;453;588
15300;700;4000;125;585;472;452;590
15300;700;4000;125;595;473;453;588
15300;700;4000;125;585;472;453;586
15300;700;4000;125;595;473;453;588
15300;700;4000;125;595;475;453;589
15300;700;4000;125;595;473;453;580
15300;700;4000;125;591;473;450;590
0;1400;4000;125;586;463;465;601
0;1400;4000;125;579;463;466;601
0;1400;4000;125;580;464;466;602
0;1400;4000;125;584;464;471;605
0;1400;4000;125;584;464;466;603
0;1400;4000;125;584;466;465;592
0;1400;4000;125;585;464;465;603
0;1400;4000;125;585;465;465;602
0;1400;4000;125;582;464;466;605
0;1400;4000;125;586;464;464;603
0;1400;4000;125;584;465;468;603
0;1400;4000;125;583;464;467;601
0;1400;4000;125;582;465;464;603
0;1400;4000;125;584;463;465;606
0;1400;4000;125;593;464;465;602
0;1400;4000;125;584;464;465;603
0;1400;4000;125;582;467;464;603
0;1400;4000;125;584;464;458;607
0;1400;4000;125;584;465;460;603
0;1400;4000;125;585;463;466;603
3825;1400;4000;125;590;474;471;593
3825;1400;4000;125;590;473;459;595
3825;1400;4000;125;582;472;460;592
3825;1400;4000;125;590;473;460;595
3825;1400;4000;125;590;475;460;592
3825;1400;4000;125;590;473;457;596
3825;1400;4000;125;588;472;459;595
3825;1400;4000;125;590;474;460;595
3825;1400;4000;125;590;472;460;595
3825;1400;4000;125;589;472;461;595
3825;1400;4000;125;590;480;460;595
3825;1400;4000;125;593;474;460;595
