POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;0;130;527;415;422;516
805;0;0;130;523;416;413;510
1610;0;0;130;522;418;410;508
2415;0;0;130;521;419;409;507
3220;0;0;130;521;419;408;507
4025;0;0;130;521;420;407;507
4830;0;0;130;522;420;407;507
5635;0;0;130;522;420;407;507
6440;0;0;130;522;421;407;507
7245;0;0;130;522;421;407;507
8050;0;0;130;522;421;407;507
8855;0;0;130;522;421;407;507
9660;0;0;130;522;421;406;507
10465;0;0;130;523;422;406;507
11270;0;0;130;523;422;406;508
12075;0;0;130;523;422;406;508
12880;0;0;130;523;422;406;508
13685;0;0;130;524;422;405;508
14490;0;0;130;526;423;403;508
15295;0;0;130;529;425;399;506
0;700;0;130;522;417;415;518
805;700;0;130;522;419;412;513
1610;700;0;130;523;420;410;512
2415;700;0;130;523;421;409;510
3220;700;0;130;523;422;408;510
4025;700;0;130;523;422;408;510
4830;700;0;130;523;422;408;510
5635;700;0;130;523;422;408;510
6440;700;0;130;523;422;408;510
7245;700;0;130;523;422;408;510
8050;700;0;130;523;422;408;509
8855;700;0;130;523;422;407;510
9660;700;0;130;523;422;407;509
10465;700;0;130;523;423;407;509
11270;700;0;130;524;422;407;509
12075;700;0;130;524;422;407;510
12880;700;0;130;525;423;406;509
13685;700;0;130;525;423;405;509
14490;700;0;130;527;423;404;509
15295;700;0;130;530;425;400;507
0;1400;0;130;523;417;416;519
805;1400;0;130;523;419;412;514
1610;1400;0;130;523;420;410;512
2415;1400;0;130;523;421;409;511
3220;1400;0;130;523;422;409;511
4025;1400;0;130;523;422;408;510
4830;1400;0;130;523;422;408;510
5635;1400;0;130;523;422;408;510
6440;1400;0;130;523;422;408;510
7245;1400;0;130;523;422;408;510
8050;1400;0;130;524;422;408;510
8855;1400;0;130;524;423;408;510
9660;1400;0;130;524;423;408;510
10465;1400;0;130;524;423;407;510
11270;1400;0;130;524;422;407;510
12075;1400;0;130;524;422;407;510
12880;1400;0;130;524;423;407;510
13685;1400;0;130;525;423;406;509
14490;1400;0;130;527;423;404;509
15295;1400;0;130;530;425;400;507
0;2100;0;130;523;417;417;519
805;2100;0;130;522;419;412;514
1610;2100;0;130;523;420;410;512
2415;2100;0;130;523;421;409;511
3220;2100;0;130;523;422;409;511
4025;2100;0;130;523;422;408;511
4830;2100;0;130;523;422;408;510
5635;2100;0;130;523;422;409;510
6440;2100;0;130;523;422;408;510
7245;2100;0;130;523;422;408;510
8050;2100;0;130;523;422;408;510
8855;2100;0;130;523;422;408;510
9660;2100;0;130;523;422;408;510
10465;2100;0;130;523;422;408;510
11270;2100;0;130;523;422;407;510
12075;2100;0;130;524;422;407;510
12880;2100;0;130;524;422;407;510
13685;2100;0;130;525;423;406;510
14490;2100;0;130;526;423;404;509
15295;2100;0;130;530;425;400;507
0;2800;0;130;523;417;417;519
805;2800;0;130;522;419;412;514
1610;2800;0;130;523;420;410;512
2415;2800;0;130;523;421;410;512
3220;2800;0;130;523;421;409;511
4025;2800;0;130;523;422;409;511
4830;2800;0;130;523;422;409;511
5635;2800;0;130;522;422;409;511
6440;2800;0;130;523;422;409;511
7245;2800;0;130;523;422;409;510
8050;2800;0;130;523;422;408;510
8855;2800;0;130;523;422;408;510
9660;2800;0;130;523;422;408;510
10465;2800;0;130;523;422;408;510
11270;2800;0;130;523;422;408;510
12075;2800;0;130;523;422;407;510
12880;2800;0;130;524;422;407;510
13685;2800;0;130;524;423;406;510
14490;2800;0;130;526;423;404;509
15295;2800;0;130;530;425;399;507
0;3500;0;130;523;418;417;518
805;3500;0;130;522;419;413;514
1610;3500;0;130;522;420;411;512
2415;3500;0;130;523;421;410;511
3220;3500;0;130;523;422;410;511
4025;3500;0;130;523;422;409;511
4830;3500;0;130;522;422;409;511
5635;3500;0;130;523;422;409;511
6440;3500;0;130;522;422;409;511
7245;3500;0;130;522;423;409;511
8050;3500;0;130;522;422;409;510
8855;3500;0;130;523;422;409;510
9660;3500;0;130;523;423;409;510
10465;3500;0;130;523;422;408;510
11270;3500;0;130;523;422;408;510
12075;3500;0;130;523;422;408;510
12880;3500;0;130;523;422;407;510
13685;3500;0;130;524;422;406;510
14490;3500;0;130;526;423;404;509
15295;3500;0;130;530;425;399;507
0;4200;0;130;523;418;418;518
805;4200;0;130;522;420;414;514
1610;4200;0;130;522;421;412;512
2415;4200;0;130;522;421;411;511
3220;4200;0;130;522;421;410;511
4025;4200;0;130;522;422;410;511
4830;4200;0;130;522;421;410;511
5635;4200;0;130;522;422;410;511
6440;4200;0;130;522;422;410;510
7245;4200;0;130;522;422;410;510
8050;4200;0;130;522;422;409;510
8855;4200;0;130;522;422;410;510
9660;4200;0;130;522;422;409;510
10465;4200;0;130;522;422;409;510
11270;4200;0;130;522;422;409;510
12075;4200;0;130;522;422;408;510
12880;4200;0;130;523;422;408;510
13685;4200;0;130;524;422;406;510
14490;4200;0;130;526;423;404;509
15295;4200;0;130;529;425;399;506
0;4900;0;130;522;418;418;517
805;4900;0;130;521;419;414;514
1610;4900;0;130;521;420;412;512
2415;4900;0;130;521;421;411;511
3220;4900;0;130;522;421;411;510
4025;4900;0;130;522;421;410;510
4830;4900;0;130;522;422;410;510
5635;4900;0;130;521;421;410;510
6440;4900;0;130;521;422;410;510
7245;4900;0;130;521;422;410;510
8050;4900;0;130;521;422;410;510
8855;4900;0;130;521;422;410;510
9660;4900;0;130;521;422;410;510
10465;4900;0;130;522;422;410;510
11270;4900;0;130;522;422;410;510
12075;4900;0;130;522;422;409;510
12880;4900;0;130;522;422;409;509
13685;4900;0;130;523;422;407;509
14490;4900;0;130;525;423;405;508
15295;4900;0;130;529;425;400;506
0;5600;0;130;521;418;419;517
805;5600;0;130;521;420;415;512
1610;5600;0;130;521;421;413;511
2415;5600;0;130;521;421;412;510
3220;5600;0;130;521;421;412;510
4025;5600;0;130;520;422;411;510
4830;5600;0;130;521;421;411;510
5635;5600;0;130;521;422;410;510
6440;5600;0;130;521;421;411;510
7245;5600;0;130;520;422;411;510
8050;5600;0;130;520;422;411;509
8855;5600;0;130;521;422;410;510
9660;5600;0;130;521;421;410;509
10465;5600;0;130;521;422;411;509
11270;5600;0;130;521;422;411;510
12075;5600;0;130;521;422;410;510
12880;5600;0;130;521;422;409;509
13685;5600;0;130;522;422;408;509
14490;5600;0;130;524;423;406;508
15295;5600;0;130;528;425;400;505
0;6300;0;130;521;418;420;516
805;6300;0;130;520;420;415;513
1610;6300;0;130;520;420;414;511
2415;6300;0;130;520;421;413;510
3220;6300;0;130;520;421;412;510
4025;6300;0;130;520;421;412;510
4830;6300;0;130;520;421;411;510
5635;6300;0;130;520;421;411;510
6440;6300;0;130;520;422;412;510
7245;6300;0;130;520;421;412;509
8050;6300;0;130;520;421;411;509
8855;6300;0;130;520;421;411;509
9660;6300;0;130;520;421;411;509
10465;6300;0;130;520;422;411;509
11270;6300;0;130;520;421;411;510
12075;6300;0;130;520;422;411;509
12880;6300;0;130;521;421;410;509
13685;6300;0;130;521;422;409;509
14490;6300;0;130;523;423;406;508
15295;6300;0;130;528;425;401;505
0;7000;0;130;521;419;420;516
805;7000;0;130;520;419;416;512
1610;7000;0;130;520;420;414;511
2415;7000;0;130;519;421;413;510
3220;7000;0;130;520;421;412;510
4025;7000;0;130;520;421;412;509
4830;7000;0;130;520;421;412;509
5635;7000;0;130;520;421;411;510
6440;7000;0;130;520;421;412;509
7245;7000;0;130;520;421;412;510
8050;7000;0;130;520;421;412;509
8855;7000;0;130;520;422;412;509
9660;7000;0;130;520;422;411;510
10465;7000;0;130;520;421;411;510
11270;7000;0;130;520;421;411;510
12075;7000;0;130;520;421;411;510
12880;7000;0;130;520;421;410;509
13685;7000;0;130;521;422;409;509
14490;7000;0;130;523;422;407;508
15295;7000;0;130;527;425;400;505
0;7700;0;130;521;418;419;516
805;7700;0;130;519;419;415;513
1610;7700;0;130;519;420;413;511
2415;7700;0;130;520;420;412;510
3220;7700;0;130;520;421;412;510
4025;7700;0;130;520;421;412;510
4830;7700;0;130;520;421;411;510
5635;7700;0;130;520;421;411;510
6440;7700;0;130;519;421;412;510
7245;7700;0;130;520;421;411;510
8050;7700;0;130;519;421;411;510
8855;7700;0;130;520;421;411;510
9660;7700;0;130;520;421;411;510
10465;7700;0;130;520;421;411;510
11270;7700;0;130;520;421;411;510
12075;7700;0;130;520;421;411;510
12880;7700;0;130;520;421;410;510
13685;7700;0;130;521;422;409;509
14490;7700;0;130;523;422;406;508
15295;7700;0;130;528;425;400;505
0;8400;0;130;521;418;418;517
805;8400;0;130;520;419;414;513
1610;8400;0;130;520;420;413;512
2415;8400;0;130;520;420;412;511
3220;8400;0;130;520;420;411;511
4025;8400;0;130;520;420;411;510
4830;8400;0;130;520;420;410;511
5635;8400;0;130;520;421;411;511
6440;8400;0;130;520;421;411;510
7245;8400;0;130;519;420;410;510
8050;8400;0;130;520;421;411;510
8855;8400;0;130;520;421;411;510
9660;8400;0;130;520;421;410;510
10465;8400;0;130;520;421;410;510
11270;8400;0;130;520;421;410;510
12075;8400;0;130;520;421;410;510
12880;8400;0;130;521;421;409;510
13685;8400;0;130;522;421;408;509
14490;8400;0;130;524;422;405;508
15295;8400;0;130;529;425;398;505
0;9100;0;130;522;418;417;517
805;9100;0;130;520;419;413;514
1610;9100;0;130;520;419;412;512
2415;9100;0;130;520;420;410;511
3220;9100;0;130;520;419;410;511
4025;9100;0;130;520;420;410;511
4830;9100;0;130;521;420;410;510
5635;9100;0;130;520;420;409;510
6440;9100;0;130;520;420;409;511
7245;9100;0;130;520;420;409;511
8050;9100;0;130;521;420;409;510
8855;9100;0;130;520;420;409;510
9660;9100;0;130;520;420;409;510
10465;9100;0;130;520;420;409;510
11270;9100;0;130;521;420;409;511
12075;9100;0;130;521;420;408;510
12880;9100;0;130;521;421;407;510
13685;9100;0;130;522;421;406;510
14490;9100;0;130;525;422;403;509
15295;9100;0;130;530;425;396;505
0;9800;0;130;523;417;416;517
805;9800;0;130;521;418;412;514
1610;9800;0;130;520;418;410;513
2415;9800;0;130;520;419;409;512
3220;9800;0;130;521;419;409;511
4025;9800;0;130;521;419;409;511
4830;9800;0;130;520;420;408;511
5635;9800;0;130;520;419;408;511
6440;9800;0;130;520;419;408;511
7245;9800;0;130;521;419;408;511
8050;9800;0;130;521;420;408;511
8855;9800;0;130;520;420;408;511
9660;9800;0;130;521;420;408;511
10465;9800;0;130;521;420;408;511
11270;9800;0;130;521;420;408;511
12075;9800;0;130;521;420;407;511
12880;9800;0;130;522;421;406;510
13685;9800;0;130;523;421;405;510
14490;9800;0;130;525;422;402;509
15295;9800;0;130;530;425;395;506
0;10500;0;130;523;417;415;518
805;10500;0;130;521;417;411;515
1610;10500;0;130;521;418;409;513
2415;10500;0;130;521;418;408;512
3220;10500;0;130;521;419;408;512
4025;10500;0;130;521;419;408;512
4830;10500;0;130;521;419;408;511
5635;10500;0;130;521;419;408;511
6440;10500;0;130;521;419;407;511
7245;10500;0;130;521;419;407;511
8050;10500;0;130;521;419;407;511
8855;10500;0;130;521;420;407;511
9660;10500;0;130;521;420;407;511
10465;10500;0;130;521;420;407;511
11270;10500;0;130;521;420;407;511
12075;10500;0;130;522;420;406;511
12880;10500;0;130;522;420;405;511
13685;10500;0;130;524;421;404;510
14490;10500;0;130;526;422;401;509
15295;10500;0;130;532;425;394;506
0;11200;0;130;523;417;414;518
805;11200;0;130;521;417;410;515
1610;11200;0;130;521;418;408;513
2415;11200;0;130;521;418;407;512
3220;11200;0;130;521;418;407;512
4025;11200;0;130;521;419;407;512
4830;11200;0;130;520;419;407;512
5635;11200;0;130;521;419;407;512
6440;11200;0;130;521;419;407;511
7245;11200;0;130;521;419;407;512
8050;11200;0;130;521;419;406;512
8855;11200;0;130;521;419;406;511
9660;11200;0;130;521;419;406;511
10465;11200;0;130;521;419;406;511
11270;11200;0;130;522;419;406;511
12075;11200;0;130;522;419;405;511
12880;11200;0;130;523;420;404;511
13685;11200;0;130;524;420;403;510
14490;11200;0;130;526;421;400;510
15295;11200;0;130;532;425;393;506
0;11900;0;130;524;416;413;518
805;11900;0;130;521;417;409;514
1610;11900;0;130;521;417;408;513
2415;11900;0;130;521;418;407;512
3220;11900;0;130;521;418;406;512
4025;11900;0;130;521;418;406;512
4830;11900;0;130;521;418;406;512
5635;11900;0;130;521;418;406;512
6440;11900;0;130;521;418;406;512
7245;11900;0;130;521;418;406;511
8050;11900;0;130;521;419;406;511
8855;11900;0;130;521;419;406;511
9660;11900;0;130;521;418;406;511
10465;11900;0;130;521;419;405;511
11270;11900;0;130;522;419;405;511
12075;11900;0;130;522;419;404;511
12880;11900;0;130;523;419;404;511
13685;11900;0;130;524;420;402;511
14490;11900;0;130;526;421;399;509
15295;11900;0;130;532;425;392;506
0;12600;0;130;524;416;412;518
805;12600;0;130;522;416;409;515
1610;12600;0;130;521;417;407;513
2415;12600;0;130;522;417;406;513
3220;12600;0;130;521;417;406;512
4025;12600;0;130;521;417;406;512
4830;12600;0;130;521;418;406;512
5635;12600;0;130;521;418;406;512
6440;12600;0;130;521;418;405;512
7245;12600;0;130;521;418;405;512
8050;12600;0;130;521;418;405;512
8855;12600;0;130;521;418;405;512
9660;12600;0;130;522;418;405;511
10465;12600;0;130;521;419;405;512
11270;12600;0;130;522;419;404;512
12075;12600;0;130;522;419;404;511
12880;12600;0;130;523;419;403;511
13685;12600;0;130;524;419;401;511
14490;12600;0;130;526;421;398;510
15295;12600;0;130;533;425;391;506
0;13300;0;130;524;416;411;518
805;13300;0;130;522;416;408;515
1610;13300;0;130;522;416;406;514
2415;13300;0;130;522;417;406;513
3220;13300;0;130;521;417;405;512
4025;13300;0;130;521;417;405;512
4830;13300;0;130;521;417;405;512
5635;13300;0;130;521;417;405;512
6440;13300;0;130;521;417;405;512
7245;13300;0;130;521;418;405;512
8050;13300;0;130;521;418;405;512
8855;13300;0;130;521;418;404;512
9660;13300;0;130;521;417;404;512
10465;13300;0;130;522;418;404;512
11270;13300;0;130;522;418;404;512
12075;13300;0;130;523;419;403;512
12880;13300;0;130;523;419;402;511
13685;13300;0;130;525;419;401;511
14490;13300;0;130;527;421;398;510
15295;13300;0;130;533;425;390;506
