POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;2000;125;519;412;417;517
805;0;2000;125;516;414;410;512
1610;0;2000;125;516;415;406;509
2415;0;2000;125;515;416;405;509
3220;0;2000;125;515;417;404;508
4025;0;2000;125;516;417;404;508
4830;0;2000;125;515;417;404;508
5635;0;2000;125;515;418;404;508
6440;0;2000;125;515;418;404;508
7245;0;2000;125;515;418;404;508
8050;0;2000;125;516;418;404;508
8855;0;2000;125;516;418;404;509
9660;0;2000;125;516;418;403;509
10465;0;2000;125;516;418;403;509
11270;0;2000;125;516;418;403;509
12075;0;2000;125;516;419;403;509
12880;0;2000;125;517;419;403;509
13685;0;2000;125;517;419;402;509
14490;0;2000;125;518;419;401;508
15295;0;2000;125;521;421;398;507
0;700;2000;125;515;414;414;519
805;700;2000;125;515;416;408;513
1610;700;2000;125;515;417;406;511
2415;700;2000;125;515;417;405;510
3220;700;2000;125;516;417;405;509
4025;700;2000;125;515;418;404;509
4830;700;2000;125;516;418;404;509
5635;700;2000;125;515;418;404;509
6440;700;2000;125;516;418;404;509
7245;700;2000;125;516;418;404;508
8050;700;2000;125;516;418;404;508
8855;700;2000;125;516;418;404;508
9660;700;2000;125;516;418;404;508
10465;700;2000;125;516;418;404;508
11270;700;2000;125;516;418;404;509
12075;700;2000;125;516;418;403;509
12880;700;2000;125;516;418;403;509
13685;700;2000;125;517;418;402;508
14490;700;2000;125;518;419;401;508
15295;700;2000;125;521;420;398;506
0;1400;2000;125;515;413;414;518
805;1400;2000;125;515;415;408;513
1610;1400;2000;125;515;417;406;510
2415;1400;2000;125;515;417;405;509
3220;1400;2000;125;515;417;404;509
4025;1400;2000;125;515;418;404;509
4830;1400;2000;125;515;418;404;509
5635;1400;2000;125;515;418;404;509
6440;1400;2000;125;515;418;404;509
7245;1400;2000;125;515;418;404;509
8050;1400;2000;125;515;418;404;509
8855;1400;2000;125;515;418;404;509
9660;1400;2000;125;516;418;404;508
10465;1400;2000;125;516;418;404;508
11270;1400;2000;125;516;418;404;508
12075;1400;2000;125;516;418;403;508
12880;1400;2000;125;516;418;403;508
13685;1400;2000;125;517;418;402;508
14490;1400;2000;125;518;419;401;507
15295;1400;2000;125;520;420;398;506
0;2100;2000;125;515;413;414;518
805;2100;2000;125;514;415;408;512
1610;2100;2000;125;515;416;406;510
2415;2100;2000;125;515;417;405;509
3220;2100;2000;125;515;417;404;509
4025;2100;2000;125;515;418;404;509
4830;2100;2000;125;515;418;404;509
5635;2100;2000;125;515;418;404;509
6440;2100;2000;125;515;418;404;508
7245;2100;2000;125;515;418;404;509
8050;2100;2000;125;515;418;404;509
8855;2100;2000;125;515;418;404;508
9660;2100;2000;125;515;418;404;508
10465;2100;2000;125;515;418;404;508
