POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1700;125;521;409;419;518
805;0;1700;125;517;411;408;511
1610;0;1700;125;516;412;404;509
2415;0;1700;125;515;413;402;508
3220;0;1700;125;516;414;402;508
4025;0;1700;125;515;414;401;507
4830;0;1700;125;515;415;401;508
5635;0;1700;125;516;415;401;508
6440;0;1700;125;515;415;401;508
7245;0;1700;125;516;415;401;508
8050;0;1700;125;516;415;401;508
8855;0;1700;125;516;416;401;508
9660;0;1700;125;516;416;401;508
10465;0;1700;125;516;416;401;509
11270;0;1700;125;516;416;401;509
12075;0;1700;125;516;416;400;509
12880;0;1700;125;517;416;400;509
13685;0;1700;125;517;417;399;509
14490;0;1700;125;518;417;398;508
15295;0;1700;125;521;419;395;507
0;700;1700;125;516;412;412;519
805;700;1700;125;515;414;406;514
1610;700;1700;125;516;415;403;512
2415;700;1700;125;516;416;402;510
3220;700;1700;125;516;416;402;510
4025;700;1700;125;516;416;402;510
4830;700;1700;125;516;416;402;509
5635;700;1700;125;516;416;402;509
6440;700;1700;125;516;416;402;509
7245;700;1700;125;516;416;402;509
8050;700;1700;125;516;416;401;509
8855;700;1700;125;516;416;402;509
9660;700;1700;125;516;416;401;509
10465;700;1700;125;516;416;401;509
11270;700;1700;125;516;416;401;509
12075;700;1700;125;517;416;401;509
12880;700;1700;125;517;416;401;509
13685;700;1700;125;517;417;400;509
14490;700;1700;125;519;417;398;508
15295;700;1700;125;521;419;395;507
0;1400;1700;125;516;412;412;518
805;1400;1700;125;516;414;406;513
1610;1400;1700;125;516;415;404;511
2415;1400;1700;125;516;416;403;510
3220;1400;1700;125;516;416;402;510
4025;1400;1700;125;516;416;402;510
4830;1400;1700;125;516;416;402;510
5635;1400;1700;125;516;417;402;510
6440;1400;1700;125;516;417;402;510
7245;1400;1700;125;516;417;402;509
8050;1400;1700;125;516;416;402;509
8855;1400;1700;125;516;416;402;509
9660;1400;1700;125;516;416;402;509
10465;1400;1700;125;516;416;402;509
11270;1400;1700;125;516;417;401;509
12075;1400;1700;125;516;417;401;510
12880;1400;1700;125;517;417;401;509
13685;1400;1700;125;517;417;400;509
14490;1400;1700;125;518;418;399;508
15295;1400;1700;125;521;419;395;507
0;2100;1700;125;516;413;412;518
805;2100;1700;125;516;415;406;513
1610;2100;1700;125;516;416;404;511
2415;2100;1700;125;516;416;403;510
3220;2100;1700;125;516;416;403;510
4025;2100;1700;125;516;416;402;510
4830;2100;1700;125;516;417;402;510
5635;2100;1700;125;516;417;402;510
6440;2100;1700;125;516;417;402;510
7245;2100;1700;125;516;417;402;510
8050;2100;1700;125;516;417;402;509
8855;2100;1700;125;516;416;402;510
9660;2100;1700;125;516;416;402;509
10465;2100;1700;125;516;417;402;510
11270;2100;1700;125;516;417;402;509
12075;2100;1700;125;516;417;402;510
12880;2100;1700;125;516;417;401;509
13685;2100;1700;125;517;417;400;509
14490;2100;1700;125;519;418;399;508
15295;2100;1700;125;522;420;395;506
0;2800;1700;125;517;413;412;517
805;2800;1700;125;516;415;406;513
1610;2800;1700;125;516;416;404;511
2415;2800;1700;125;516;416;403;510
3220;2800;1700;125;516;417;403;510
4025;2800;1700;125;516;417;402;510
4830;2800;1700;125;516;417;403;510
5635;2800;1700;125;516;417;402;510
6440;2800;1700;125;516;417;402;510
7245;2800;1700;125;516;417;402;510
8050;2800;1700;125;516;417;402;510
8855;2800;1700;125;516;417;402;510
9660;2800;1700;125;516;416;402;510
10465;2800;1700;125;516;416;402;510
11270;2800;1700;125;516;416;402;510
12075;2800;1700;125;516;417;402;509
12880;2800;1700;125;516;417;402;509
13685;2800;1700;125;517;417;401;509
14490;2800;1700;125;518;418;399;508
15295;2800;1700;125;521;420;395;506
0;3500;1700;125;517;414;412;517
805;3500;1700;125;516;415;406;512
1610;3500;1700;125;516;416;404;510
2415;3500;1700;125;516;417;403;510
3220;3500;1700;125;516;417;402;510
4025;3500;1700;125;516;417;403;510
4830;3500;1700;125;516;416;403;510
5635;3500;1700;125;516;416;402;510
6440;3500;1700;125;516;417;402;510
7245;3500;1700;125;516;416;402;509
8050;3500;1700;125;516;416;403;510
8855;3500;1700;125;516;416;403;510
9660;3500;1700;125;516;416;403;510
10465;3500;1700;125;516;416;403;510
11270;3500;1700;125;515;416;403;510
12075;3500;1700;125;515;417;403;510
12880;3500;1700;125;516;417;403;510
13685;3500;1700;125;517;417;402;509
14490;3500;1700;125;518;418;400;508
15295;3500;1700;125;521;420;396;506
0;4200;1700;125;516;414;413;516
805;4200;1700;125;516;416;407;512
1610;4200;1700;125;516;417;405;510
2415;4200;1700;125;516;417;403;509
3220;4200;1700;125;516;417;404;509
4025;4200;1700;125;516;417;403;510
4830;4200;1700;125;516;417;403;509
5635;4200;1700;125;516;416;403;510
6440;4200;1700;125;516;417;403;510
7245;4200;1700;125;516;416;403;510
8050;4200;1700;125;516;416;403;510
8855;4200;1700;125;515;416;403;510
9660;4200;1700;125;515;416;404;510
10465;4200;1700;125;515;416;404;510
11270;4200;1700;125;515;416;404;510
12075;4200;1700;125;515;416;404;510
12880;4200;1700;125;515;417;404;509
13685;4200;1700;125;515;417;403;509
14490;4200;1700;125;517;418;402;508
15295;4200;1700;125;520;420;397;506
0;4900;1700;125;516;415;415;515
805;4900;1700;125;515;416;409;511
1610;4900;1700;125;515;418;407;509
2415;4900;1700;125;516;418;405;509
3220;4900;1700;125;516;417;405;509
4025;4900;1700;125;516;417;405;509
4830;4900;1700;125;516;417;405;509
5635;4900;1700;125;516;416;405;510
6440;4900;1700;125;516;416;405;510
7245;4900;1700;125;515;416;405;510
8050;4900;1700;125;515;415;406;510
8855;4900;1700;125;515;416;406;511
9660;4900;1700;125;514;416;406;510
10465;4900;1700;125;514;415;406;510
11270;4900;1700;125;514;416;406;510
12075;4900;1700;125;514;416;407;510
12880;4900;1700;125;513;416;407;510
13685;4900;1700;125;514;417;406;509
14490;4900;1700;125;515;417;405;508
15295;4900;1700;125;518;419;401;506
0;5600;1700;125;515;417;420;514
805;5600;1700;125;513;418;414;510
1610;5600;1700;125;515;419;411;508
2415;5600;1700;125;515;419;409;508
3220;5600;1700;125;515;418;409;509
4025;5600;1700;125;515;418;409;509
4830;5600;1700;125;515;417;409;509
5635;5600;1700;125;515;417;409;509
6440;5600;1700;125;515;417;408;509
7245;5600;1700;125;514;416;408;510
8050;5600;1700;125;513;416;409;510
8855;5600;1700;125;513;416;409;510
9660;5600;1700;125;513;416;409;510
10465;5600;1700;125;513;416;409;510
11270;5600;1700;125;513;416;409;510
12075;5600;1700;125;512;416;410;510
12880;5600;1700;125;512;416;410;510
13685;5600;1700;125;513;417;410;509
14490;5600;1700;125;513;418;408;508
15295;5600;1700;125;517;419;404;506
0;6300;1700;125;515;419;423;513
805;6300;1700;125;513;420;417;510
1610;6300;1700;125;513;420;415;508
2415;6300;1700;125;514;420;413;508
3220;6300;1700;125;514;420;413;509
4025;6300;1700;125;514;419;413;509
4830;6300;1700;125;514;419;412;509
5635;6300;1700;125;515;419;411;508
6440;6300;1700;125;515;418;410;508
7245;6300;1700;125;514;417;411;510
8050;6300;1700;125;513;417;412;510
8855;6300;1700;125;513;417;412;510
9660;6300;1700;125;513;417;411;510
10465;6300;1700;125;513;417;411;510
11270;6300;1700;125;512;417;412;510
12075;6300;1700;125;511;417;413;511
12880;6300;1700;125;511;417;413;510
13685;6300;1700;125;512;418;413;509
14490;6300;1700;125;513;418;411;509
15295;6300;1700;125;515;419;408;507
0;7000;1700;125;515;422;423;512
805;7000;1700;125;514;422;417;509
1610;7000;1700;125;514;422;415;507
2415;7000;1700;125;515;421;414;508
3220;7000;1700;125;515;420;413;508
4025;7000;1700;125;514;419;413;509
4830;7000;1700;125;515;419;412;508
5635;7000;1700;125;515;418;411;508
6440;7000;1700;125;516;418;410;509
7245;7000;1700;125;514;417;411;510
8050;7000;1700;125;514;416;412;511
8855;7000;1700;125;513;416;412;511
9660;7000;1700;125;513;416;411;511
10465;7000;1700;125;513;416;411;511
11270;7000;1700;125;512;415;413;512
12075;7000;1700;125;511;416;414;511
12880;7000;1700;125;512;416;413;511
13685;7000;1700;125;512;417;412;510
14490;7000;1700;125;513;417;410;509
15295;7000;1700;125;516;419;406;506
0;7700;1700;125;516;419;418;512
805;7700;1700;125;515;420;411;508
1610;7700;1700;125;516;421;408;506
2415;7700;1700;125;517;420;407;507
3220;7700;1700;125;517;418;406;508
4025;7700;1700;125;517;417;406;508
4830;7700;1700;125;517;417;405;509
5635;7700;1700;125;518;417;404;509
6440;7700;1700;125;518;416;404;510
7245;7700;1700;125;516;415;405;511
8050;7700;1700;125;515;414;406;512
8855;7700;1700;125;515;414;406;512
9660;7700;1700;125;514;413;406;512
10465;7700;1700;125;514;413;406;512
11270;7700;1700;125;513;413;408;512
12075;7700;1700;125;512;414;409;512
12880;7700;1700;125;513;415;408;511
