POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;515;405;416;512
805;0;4000;125;511;407;407;507
1610;0;4000;125;510;408;403;505
2415;0;4000;125;510;409;401;504
3220;0;4000;125;510;410;400;504
4025;0;4000;125;510;410;399;505
4830;0;4000;125;510;411;399;504
5635;0;4000;125;510;411;399;505
6440;0;4000;125;511;412;398;505
7245;0;4000;125;511;412;398;505
8050;0;4000;125;511;412;398;506
8855;0;4000;125;511;412;398;506
9660;0;4000;125;511;412;399;506
10465;0;4000;125;511;413;399;506
11270;0;4000;125;512;413;399;507
12075;0;4000;125;512;413;398;507
12880;0;4000;125;512;414;398;507
13685;0;4000;125;513;414;397;507
14490;0;4000;125;514;415;396;506
15295;0;4000;125;517;416;393;505
0;700;4000;125;512;409;408;515
805;700;4000;125;511;411;403;511
1610;700;4000;125;512;412;401;509
2415;700;4000;125;512;413;400;508
3220;700;4000;125;512;413;399;508
4025;700;4000;125;512;413;399;507
4830;700;4000;125;512;413;400;507
5635;700;4000;125;512;413;399;507
6440;700;4000;125;512;414;399;507
7245;700;4000;125;512;413;399;508
8050;700;4000;125;512;413;399;507
8855;700;4000;125;512;413;399;507
9660;700;4000;125;512;413;399;507
10465;700;4000;125;512;413;399;508
11270;700;4000;125;512;414;399;507
12075;700;4000;125;513;414;399;507
12880;700;4000;125;513;414;398;507
13685;700;4000;125;514;414;398;507
14490;700;4000;125;515;415;396;506
15295;700;4000;125;518;416;393;505
0;1400;4000;125;512;409;409;516
805;1400;4000;125;511;411;403;511
1610;1400;4000;125;512;412;401;509
2415;1400;4000;125;512;413;400;508
3220;1400;4000;125;512;413;400;508
4025;1400;4000;125;512;413;400;508
4830;1400;4000;125;512;413;400;508
5635;1400;4000;125;512;414;400;508
6440;1400;4000;125;512;413;399;508
7245;1400;4000;125;512;414;400;508
8050;1400;4000;125;513;414;399;507
8855;1400;4000;125;512;414;399;508
9660;1400;4000;125;512;414;399;508
10465;1400;4000;125;512;413;399;508
11270;1400;4000;125;513;414;399;508
12075;1400;4000;125;513;414;399;508
12880;1400;4000;125;513;414;398;507
13685;1400;4000;125;514;414;398;507
14490;1400;4000;125;515;415;396;507
15295;1400;4000;125;518;417;392;505
0;2100;4000;125;513;410;409;516
805;2100;4000;125;512;412;403;511
1610;2100;4000;125;512;413;401;509
2415;2100;4000;125;512;413;400;509
3220;2100;4000;125;512;414;400;508
4025;2100;4000;125;513;414;399;508
4830;2100;4000;125;512;414;399;508
5635;2100;4000;125;513;414;399;508
6440;2100;4000;125;513;414;399;508
7245;2100;4000;125;513;414;399;508
