POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;555;433;449;550
805;0;4000;125;555;435;445;545
1610;0;4000;125;554;436;442;542
2415;0;4000;125;553;436;441;540
3220;0;4000;125;553;437;440;539
4025;0;4000;125;552;437;439;539
4830;0;4000;125;552;437;439;537
5635;0;4000;125;551;437;438;537
6440;0;4000;125;551;436;437;536
7245;0;4000;125;550;437;437;536
8050;0;4000;125;550;437;437;536
8855;0;4000;125;550;437;436;536
9660;0;4000;125;549;436;436;535
10465;0;4000;125;549;436;436;535
11270;0;4000;125;550;437;436;535
12075;0;4000;125;549;436;435;535
12880;0;4000;125;550;436;435;535
13685;0;4000;125;549;436;435;534
14490;0;4000;125;550;437;434;535
15295;0;4000;125;552;438;432;533
0;700;4000;125;546;430;443;545
805;700;4000;125;549;433;440;540
1610;700;4000;125;548;435;437;537
2415;700;4000;125;548;435;437;536
3220;700;4000;125;548;435;436;536
4025;700;4000;125;548;436;436;535
4830;700;4000;125;548;436;435;535
5635;700;4000;125;548;436;435;534
6440;700;4000;125;547;436;435;534
7245;700;4000;125;547;436;435;534
8050;700;4000;125;547;435;435;534
8855;700;4000;125;547;435;434;534
9660;700;4000;125;546;435;435;534
10465;700;4000;125;547;435;434;533
11270;700;4000;125;547;435;435;533
12075;700;4000;125;547;436;434;533
12880;700;4000;125;547;435;434;533
13685;700;4000;125;547;436;433;533
14490;700;4000;125;548;436;433;532
15295;700;4000;125;550;437;431;532
0;1400;4000;125;545;429;442;543
805;1400;4000;125;546;432;438;538
1610;1400;4000;125;547;434;436;536
2415;1400;4000;125;547;435;435;535
3220;1400;4000;125;546;436;435;535
4025;1400;4000;125;547;435;435;534
4830;1400;4000;125;546;436;434;534
5635;1400;4000;125;547;435;434;534
6440;1400;4000;125;547;435;434;533
7245;1400;4000;125;546;435;434;533
8050;1400;4000;125;546;436;434;533
8855;1400;4000;125;546;436;434;533
9660;1400;4000;125;545;435;434;533
10465;1400;4000;125;547;435;433;533
11270;1400;4000;125;546;435;434;533
12075;1400;4000;125;546;436;434;533
12880;1400;4000;125;547;435;434;533
13685;1400;4000;125;547;436;432;533
14490;1400;4000;125;547;435;432;532
15295;1400;4000;125;550;437;430;532
0;2100;4000;125;545;430;441;542
805;2100;4000;125;545;432;438;537
1610;2100;4000;125;546;434;436;536
2415;2100;4000;125;546;435;436;535
3220;2100;4000;125;547;435;434;534
4025;2100;4000;125;547;435;434;533
4830;2100;4000;125;546;435;435;534
5635;2100;4000;125;546;435;434;533
6440;2100;4000;125;546;435;434;534
7245;2100;4000;125;546;435;434;533
8050;2100;4000;125;546;435;434;533
8855;2100;4000;125;546;435;434;534
9660;2100;4000;125;546;435;434;533
10465;2100;4000;125;546;435;434;533
11270;2100;4000;125;546;435;434;533
12075;2100;4000;125;546;435;434;533
12880;2100;4000;125;545;436;433;533
13685;2100;4000;125;547;436;433;533
14490;2100;4000;125;547;435;432;532
15295;2100;4000;125;549;436;430;531
0;2800;4000;125;544;429;442;542
805;2800;4000;125;545;432;439;538
1610;2800;4000;125;546;434;436;535
2415;2800;4000;125;546;434;436;535
3220;2800;4000;125;546;436;435;533
4025;2800;4000;125;546;435;435;534
4830;2800;4000;125;546;435;435;534
5635;2800;4000;125;546;435;434;533
6440;2800;4000;125;546;435;434;533
7245;2800;4000;125;546;435;434;533
8050;2800;4000;125;545;435;434;533
8855;2800;4000;125;545;435;434;533
9660;2800;4000;125;546;435;434;533
10465;2800;4000;125;546;435;433;533
11270;2800;4000;125;545;435;434;533
12075;2800;4000;125;546;435;435;533
12880;2800;4000;125;546;435;433;533
13685;2800;4000;125;547;435;433;532
14490;2800;4000;125;547;436;431;532
15295;2800;4000;125;549;437;429;531
0;3500;4000;125;543;429;442;543
805;3500;4000;125;545;431;438;538
1610;3500;4000;125;545;434;436;536
2415;3500;4000;125;545;434;435;534
3220;3500;4000;125;546;435;435;534
4025;3500;4000;125;546;435;435;534
4830;3500;4000;125;546;435;434;533
5635;3500;4000;125;546;435;434;533
6440;3500;4000;125;546;435;434;533
7245;3500;4000;125;546;435;434;533
8050;3500;4000;125;545;435;434;533
8855;3500;4000;125;546;435;434;533
9660;3500;4000;125;545;435;434;533
10465;3500;4000;125;546;435;434;533
11270;3500;4000;125;545;435;434;533
12075;3500;4000;125;545;434;434;533
12880;3500;4000;125;545;435;434;532
13685;3500;4000;125;546;435;433;532
14490;3500;4000;125;547;436;431;532
15295;3500;4000;125;549;437;430;531
0;4200;4000;125;544;429;442;542
805;4200;4000;125;545;433;439;538
1610;4200;4000;125;546;434;437;536
2415;4200;4000;125;546;435;435;535
3220;4200;4000;125;546;435;435;534
4025;4200;4000;125;546;435;434;534
4830;4200;4000;125;546;435;434;534
5635;4200;4000;125;547;435;433;533
6440;4200;4000;125;546;435;434;533
7245;4200;4000;125;546;435;433;533
8050;4200;4000;125;546;435;433;533
8855;4200;4000;125;546;435;433;534
9660;4200;4000;125;546;435;434;534
10465;4200;4000;125;546;435;434;533
11270;4200;4000;125;545;435;433;533
12075;4200;4000;125;545;434;434;533
12880;4200;4000;125;546;435;434;533
13685;4200;4000;125;545;435;433;532
14490;4200;4000;125;547;436;432;532
15295;4200;4000;125;549;437;430;531
0;4900;4000;125;543;429;442;542
805;4900;4000;125;545;433;439;538
1610;4900;4000;125;546;434;436;536
2415;4900;4000;125;545;435;435;535
3220;4900;4000;125;546;435;434;534
4025;4900;4000;125;546;436;434;533
4830;4900;4000;125;547;436;433;533
5635;4900;4000;125;547;435;433;533
6440;4900;4000;125;547;435;433;533
7245;4900;4000;125;547;435;433;533
8050;4900;4000;125;546;434;433;534
8855;4900;4000;125;546;434;433;535
9660;4900;4000;125;545;434;433;534
10465;4900;4000;125;546;434;434;534
11270;4900;4000;125;545;434;434;534
12075;4900;4000;125;545;434;434;534
12880;4900;4000;125;546;434;434;533
13685;4900;4000;125;546;435;433;532
14490;4900;4000;125;547;435;432;531
15295;4900;4000;125;549;437;430;531
0;5600;4000;125;543;430;441;542
805;5600;4000;125;546;432;439;538
1610;5600;4000;125;546;434;436;536
2415;5600;4000;125;546;435;435;534
3220;5600;4000;125;547;436;434;533
4025;5600;4000;125;548;436;433;532
4830;5600;4000;125;548;437;431;532
5635;5600;4000;125;548;436;431;532
6440;5600;4000;125;549;435;431;533
7245;5600;4000;125;548;434;432;534
8050;5600;4000;125;547;434;432;535
8855;5600;4000;125;546;434;433;535
9660;5600;4000;125;546;433;434;535
10465;5600;4000;125;546;433;434;535
11270;5600;4000;125;545;433;435;535
12075;5600;4000;125;545;434;436;534
12880;5600;4000;125;545;434;434;534
13685;5600;4000;125;546;435;434;533
14490;5600;4000;125;547;436;432;532
15295;5600;4000;125;548;436;430;531
0;6300;4000;125;544;430;441;541
805;6300;4000;125;545;432;438;538
1610;6300;4000;125;546;434;437;535
2415;6300;4000;125;546;435;435;534
3220;6300;4000;125;548;436;433;532
4025;6300;4000;125;549;438;431;531
4830;6300;4000;125;551;439;428;530
5635;6300;4000;125;552;438;427;531
6440;6300;4000;125;551;436;428;533
7245;6300;4000;125;550;434;429;535
8050;6300;4000;125;549;434;431;535
8855;6300;4000;125;548;433;432;536
9660;6300;4000;125;548;431;433;538
10465;6300;4000;125;545;431;435;538
11270;6300;4000;125;544;431;437;537
12075;6300;4000;125;543;432;437;537
12880;6300;4000;125;544;434;436;535
13685;6300;4000;125;545;434;435;533
14490;6300;4000;125;547;436;432;533
15295;6300;4000;125;549;437;430;531
0;7000;4000;125;545;430;441;541
805;7000;4000;125;545;432;438;538
1610;7000;4000;125;546;435;436;535
2415;7000;4000;125;547;436;435;534
3220;7000;4000;125;548;437;432;532
4025;7000;4000;125;552;440;428;529
4830;7000;4000;125;555;441;423;526
5635;7000;4000;125;557;440;423;530
6440;7000;4000;125;555;437;424;533
7245;7000;4000;125;552;434;426;535
8050;7000;4000;125;550;433;429;537
8855;7000;4000;125;549;431;430;538
9660;7000;4000;125;548;430;433;540
10465;7000;4000;125;545;428;436;542
