POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1640;125;565;440;439;544
0;0;1640;125;564;439;438;542
1922;0;1640;125;566;444;432;537
1922;0;1640;125;566;444;430;536
3844;0;1640;125;565;445;429;535
3844;0;1640;125;565;445;428;533
5766;0;1640;125;565;445;427;534
5766;0;1640;125;565;445;426;532
7688;0;1640;125;564;445;427;533
7688;0;1640;125;564;445;426;532
9610;0;1640;125;563;444;426;533
9610;0;1640;125;563;445;425;531
11532;0;1640;125;563;444;425;532
11532;0;1640;125;562;444;425;531
13454;0;1640;125;562;444;425;532
13454;0;1640;125;562;444;424;530
15376;0;1640;125;563;444;424;531
15376;0;1640;125;562;444;423;530
17298;0;1640;125;565;445;421;530
17298;0;1640;125;564;445;420;529
0;1325;1640;125;561;440;437;546
0;1325;1640;125;561;440;436;544
1922;1325;1640;125;564;444;431;538
1922;1325;1640;125;564;445;430;537
3844;1325;1640;125;565;446;429;536
3844;1325;1640;125;564;446;428;534
5766;1325;1640;125;564;446;428;535
5766;1325;1640;125;564;446;427;533
7688;1325;1640;125;564;446;427;535
7688;1325;1640;125;563;446;426;533
9610;1325;1640;125;564;446;427;534
9610;1325;1640;125;563;446;426;533
11532;1325;1640;125;563;446;427;534
11532;1325;1640;125;563;446;426;532
13454;1325;1640;125;563;446;427;534
13454;1325;1640;125;563;446;426;533
15376;1325;1640;125;564;446;426;533
15376;1325;1640;125;563;446;425;532
17298;1325;1640;125;566;447;424;532
17298;1325;1640;125;566;448;423;531
0;2650;1640;125;560;439;439;548
0;2650;1640;125;559;439;438;546
1922;2650;1640;125;564;445;432;539
1922;2650;1640;125;564;445;431;538
3844;2650;1640;125;565;447;429;536
3844;2650;1640;125;565;447;428;535
5766;2650;1640;125;565;447;428;535
5766;2650;1640;125;565;447;427;534
7688;2650;1640;125;565;446;427;535
7688;2650;1640;125;564;446;427;534
9610;2650;1640;125;564;446;427;535
9610;2650;1640;125;564;446;427;533
11532;2650;1640;125;564;446;427;535
11532;2650;1640;125;563;446;426;533
13454;2650;1640;125;563;446;428;535
13454;2650;1640;125;563;446;427;533
15376;2650;1640;125;564;446;427;534
15376;2650;1640;125;563;446;426;533
17298;2650;1640;125;566;447;424;532
17298;2650;1640;125;565;448;424;531
0;3975;1640;125;561;439;440;548
0;3975;1640;125;559;439;439;546
1922;3975;1640;125;565;445;432;539
1922;3975;1640;125;564;445;432;538
3844;3975;1640;125;567;448;428;535
3844;3975;1640;125;566;448;427;534
5766;3975;1640;125;570;449;424;534
5766;3975;1640;125;569;449;423;532
7688;3975;1640;125;568;445;425;537
7688;3975;1640;125;568;445;424;536
9610;3975;1640;125;566;445;425;537
9610;3975;1640;125;566;445;425;535
11532;3975;1640;125;565;443;427;539
11532;3975;1640;125;565;443;426;537
13454;3975;1640;125;562;443;430;538
13454;3975;1640;125;561;444;429;536
15376;3975;1640;125;563;446;428;535
15376;3975;1640;125;563;446;427;533
17298;3975;1640;125;565;447;425;533
17298;3975;1640;125;565;448;424;532
0;5300;1640;125;563;441;442;550
0;5300;1640;125;562;441;441;548
1922;5300;1640;125;568;448;434;542
1922;5300;1640;125;567;448;433;540
3844;5300;1640;125;576;456;424;533
3844;5300;1640;125;576;456;423;531
5766;5300;1640;125;603;481;392;507
5766;5300;1640;125;604;482;392;508
7688;5300;1640;125;600;457;394;534
7688;5300;1640;125;601;457;395;534
9610;5300;1640;125;579;442;421;550
9610;5300;1640;125;579;442;421;549
11532;5300;1640;125;561;424;443;572
11532;5300;1640;125;561;424;442;569
13454;5300;1640;125;546;430;461;565
13454;5300;1640;125;544;430;461;564
15376;5300;1640;125;566;449;435;543
15376;5300;1640;125;565;449;434;542
17298;5300;1640;125;570;453;430;539
17298;5300;1640;125;569;453;429;538
