POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;0;90;585;454;438;573
0;0;0;90;584;453;438;573
0;0;0;90;585;451;439;572
0;0;0;90;584;452;437;572
0;0;0;90;586;452;439;573
0;0;0;90;582;455;440;574
0;0;0;90;586;454;438;574
0;0;0;90;585;453;438;570
0;0;0;90;583;451;439;573
0;0;0;90;583;453;438;573
0;0;0;90;585;451;438;574
0;0;0;90;583;453;438;574
0;0;0;90;586;452;439;575
0;0;0;90;585;453;437;574
0;0;0;90;585;451;437;574
0;0;0;90;583;455;438;572
0;0;0;90;585;453;438;574
0;0;0;90;584;451;434;571
0;0;0;90;585;452;439;576
0;0;0;90;585;454;438;573
0;0;0;90;587;452;439;571
0;0;0;90;584;452;439;574
0;0;0;90;585;452;439;575
0;0;0;90;584;452;437;572
0;0;0;90;584;451;438;574
0;0;0;90;587;452;441;572
0;0;0;90;584;453;439;574
0;0;0;90;584;452;438;572
0;0;0;90;584;452;438;576
0;0;0;90;589;454;439;573
0;0;0;90;586;452;436;572
0;0;0;90;584;453;439;573
0;0;0;90;584;454;439;575
0;0;0;90;583;452;439;573
0;0;0;90;584;450;438;572
0;0;0;90;584;454;437;574
0;0;0;90;584;453;439;573
0;0;0;90;583;449;438;574
0;0;0;90;584;454;439;572
0;0;0;90;586;451;438;575
0;0;0;90;582;450;436;573
0;0;0;90;584;453;438;574
0;0;0;90;585;453;438;573
0;0;0;90;583;451;438;572
0;0;0;90;584;452;438;573
0;0;0;90;587;451;440;576
0;0;0;90;584;451;438;573
0;0;0;90;583;451;438;574
0;0;0;90;584;454;438;576
0;0;0;90;583;453;439;574
0;0;0;90;581;454;435;573
0;0;0;90;584;454;437;573
0;0;0;90;583;454;437;575
0;0;0;90;583;453;437;571
0;0;0;90;583;452;437;572
0;0;0;90;584;454;439;573
0;0;0;90;584;454;439;573
0;0;0;90;584;449;438;572
0;0;0;90;585;452;439;570
0;0;0;90;583;453;439;573
0;0;0;90;584;451;437;575
0;0;0;90;584;452;437;574
0;0;0;90;587;453;438;576
0;0;0;90;585;451;436;573
0;0;0;90;585;452;438;573
0;0;0;90;584;453;439;576
0;0;0;90;585;453;437;573
0;0;0;90;582;454;439;572
0;0;0;90;585;451;437;576
0;0;0;90;586;455;438;574
0;0;0;90;582;452;439;571
0;0;0;90;583;451;437;573
0;0;0;90;587;454;439;573
0;0;0;90;583;453;438;574
0;0;0;90;584;453;437;574
0;0;0;90;585;454;438;574
0;0;0;90;583;451;438;573
0;0;0;90;582;449;437;573
0;0;0;90;586;453;440;574
0;0;0;90;587;453;438;572
0;0;0;90;585;450;436;575
0;0;0;90;584;453;437;575
