POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;4000;2000;125;512;402;411;511
527;4000;2000;125;508;403;401;504
1054;4000;2000;125;508;403;395;502
1581;4000;2000;125;507;404;392;500
2108;4000;2000;125;508;405;390;499
2635;4000;2000;125;509;407;388;498
3162;4000;2000;125;511;409;384;497
3689;4000;2000;125;517;413;378;492
4216;4000;2000;125;526;422;366;484
4743;4000;2000;125;535;429;355;477
5270;4000;2000;125;539;430;351;477
5797;4000;2000;125;541;424;349;484
6324;4000;2000;125;541;418;349;492
6851;4000;2000;125;538;414;353;496
7378;4000;2000;125;531;409;361;501
7905;4000;2000;125;523;405;371;505
8432;4000;2000;125;520;402;375;509
8959;4000;2000;125;516;395;380;517
9486;4000;2000;125;511;389;387;525
10013;4000;2000;125;505;386;395;530
10540;4000;2000;125;495;385;408;531
11067;4000;2000;125;485;385;420;531
11594;4000;2000;125;483;388;423;529
12121;4000;2000;125;490;393;414;523
12648;4000;2000;125;499;401;401;514
13175;4000;2000;125;505;406;394;508
13702;4000;2000;125;508;408;390;506
14229;4000;2000;125;509;409;389;504
14756;4000;2000;125;511;410;387;503
15283;4000;2000;125;513;411;384;502
