POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;5500;2000;125;510;398;404;506
527;5500;2000;125;505;398;394;501
1054;5500;2000;125;504;400;388;499
1581;5500;2000;125;504;401;386;498
2108;5500;2000;125;505;403;384;498
2635;5500;2000;125;505;404;383;498
3162;5500;2000;125;505;404;383;499
3689;5500;2000;125;506;405;383;499
4216;5500;2000;125;506;405;383;499
4743;5500;2000;125;506;406;383;500
5270;5500;2000;125;507;406;383;500
5797;5500;2000;125;507;407;383;500
6324;5500;2000;125;507;407;383;501
6851;5500;2000;125;508;408;383;501
7378;5500;2000;125;508;408;383;501
7905;5500;2000;125;508;408;384;501
8432;5500;2000;125;508;408;384;502
8959;5500;2000;125;508;408;384;502
9486;5500;2000;125;509;408;384;502
10013;5500;2000;125;509;408;384;502
10540;5500;2000;125;509;409;384;502
11067;5500;2000;125;509;409;384;502
11594;5500;2000;125;509;409;384;502
12121;5500;2000;125;510;409;384;502
12648;5500;2000;125;510;409;384;503
13175;5500;2000;125;510;409;384;502
13702;5500;2000;125;511;409;383;502
14229;5500;2000;125;512;410;383;503
14756;5500;2000;125;513;411;381;502
15283;5500;2000;125;515;412;379;501
