POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;5500;2000;125;516;399;401;508
527;5500;2000;125;509;401;392;504
1054;5500;2000;125;508;403;388;502
1581;5500;2000;125;509;405;386;501
2108;5500;2000;125;508;406;385;502
2635;5500;2000;125;509;406;385;502
3162;5500;2000;125;509;407;385;502
3689;5500;2000;125;509;408;384;501
4216;5500;2000;125;509;408;384;502
4743;5500;2000;125;509;408;384;502
5270;5500;2000;125;509;409;384;502
5797;5500;2000;125;509;409;384;502
6324;5500;2000;125;509;409;384;503
6851;5500;2000;125;510;410;384;502
7378;5500;2000;125;510;410;385;503
7905;5500;2000;125;510;410;384;503
8432;5500;2000;125;510;410;384;503
8959;5500;2000;125;510;409;384;503
9486;5500;2000;125;510;410;384;503
10013;5500;2000;125;510;410;385;503
10540;5500;2000;125;510;410;384;503
11067;5500;2000;125;510;410;384;503
11594;5500;2000;125;510;410;384;503
12121;5500;2000;125;511;410;384;503
12648;5500;2000;125;511;411;384;503
13175;5500;2000;125;511;411;383;503
13702;5500;2000;125;512;411;383;503
14229;5500;2000;125;513;411;382;502
14756;5500;2000;125;514;412;381;502
15283;5500;2000;125;516;413;379;501
