POSX;POSY;POSZ;POSA;V10;V20;V13;V23
621;5100;1640;50;588;467;463;597
621;5100;1640;50;587;464;461;597
621;5100;1640;50;588;462;462;595
621;5100;1640;50;589;464;461;596
621;5100;1640;50;588;464;463;595
621;5100;1640;50;588;469;461;596
621;5100;1640;50;588;464;461;596
621;5100;1640;50;588;464;463;602
621;5100;1640;50;589;459;462;596
621;5100;1640;50;591;468;461;596
621;5100;1640;50;588;464;457;590
621;5100;1640;50;587;464;461;598
621;5100;1640;50;588;463;461;596
621;5100;1640;50;589;464;462;596
621;5100;1640;50;586;461;462;596
621;5100;1640;50;592;467;461;601
621;5100;1640;50;588;463;461;595
621;5100;1640;50;589;464;461;595
621;5100;1640;50;586;464;463;595
621;5100;1640;50;589;465;462;593
621;5100;1640;50;593;462;463;597
621;5100;1640;50;594;463;461;595
621;5100;1640;50;590;462;464;596
621;5100;1640;50;587;465;462;595
621;5100;1640;50;588;463;461;595
621;5100;1640;50;589;464;456;595
621;5100;1640;50;594;464;463;593
621;5100;1640;50;589;463;462;592
621;5100;1640;50;590;464;461;595
621;5100;1640;50;590;458;463;595
621;5100;1640;50;589;463;463;595
621;5100;1640;50;590;464;462;596
621;5100;1640;50;588;464;460;600
621;5100;1640;50;588;464;462;595
621;5100;1640;50;591;465;462;594
621;5100;1640;50;589;463;462;595
621;5100;1640;50;589;461;462;596
621;5100;1640;50;589;464;463;596
621;5100;1640;50;589;464;462;592
621;5100;1640;50;590;463;463;596
621;5100;1640;50;589;463;462;597
621;5100;1640;50;589;463;462;593
621;5100;1640;50;589;463;462;594
621;5100;1640;50;580;464;468;596
621;5100;1640;50;590;463;468;592
621;5100;1640;50;588;464;462;595
621;5100;1640;50;588;464;462;595
621;5100;1640;50;589;465;462;596
621;5100;1640;50;589;463;462;595
621;5100;1640;50;595;463;463;595
621;5100;1640;50;589;462;462;595
1242;5100;1640;50;593;469;461;590
1242;5100;1640;50;590;468;456;593
1242;5100;1640;50;591;467;459;593
1242;5100;1640;50;592;466;463;591
1242;5100;1640;50;591;467;461;591
1242;5100;1640;50;599;467;460;601
1242;5100;1640;50;592;466;461;592
1242;5100;1640;50;592;468;460;594
1242;5100;1640;50;592;468;461;592
1242;5100;1640;50;591;468;458;591
1242;5100;1640;50;591;467;458;592
1242;5100;1640;50;591;464;460;592
1242;5100;1640;50;589;469;460;597
1242;5100;1640;50;592;466;460;591
1242;5100;1640;50;593;467;460;592
1242;5100;1640;50;592;462;460;592
1242;5100;1640;50;591;472;460;593
1242;5100;1640;50;592;467;462;592
1242;5100;1640;50;591;466;461;593
1242;5100;1640;50;593;468;460;593
1242;5100;1640;50;591;466;460;592
1242;5100;1640;50;591;466;460;592
1242;5100;1640;50;591;466;459;590
1242;5100;1640;50;592;466;460;592
1242;5100;1640;50;592;469;456;587
1242;5100;1640;50;584;464;457;592
1242;5100;1640;50;591;468;460;595
1242;5100;1640;50;591;462;459;593
1242;5100;1640;50;591;465;460;592
1242;5100;1640;50;592;468;460;592
1242;5100;1640;50;591;468;460;592
1242;5100;1640;50;588;466;460;591
1242;5100;1640;50;592;466;460;592
1242;5100;1640;50;591;467;460;592
1242;5100;1640;50;591;466;460;591
1242;5100;1640;50;591;471;460;593
1242;5100;1640;50;598;472;459;595
1242;5100;1640;50;593;467;460;592
1242;5100;1640;50;591;467;460;592
1242;5100;1640;50;591;468;462;590
1242;5100;1640;50;591;464;460;593
1242;5100;1640;50;591;467;461;592
1242;5100;1640;50;592;466;468;591
1242;5100;1640;50;595;466;460;594
1242;5100;1640;50;591;466;458;592
1242;5100;1640;50;591;466;460;592
1242;5100;1640;50;585;467;462;594
1242;5100;1640;50;591;466;461;592
1242;5100;1640;50;591;461;461;591
1242;5100;1640;50;591;467;461;595
1242;5100;1640;50;592;467;459;592
1863;5100;1640;50;593;469;460;590
1863;5100;1640;50;589;468;459;590
1863;5100;1640;50;593;467;459;590
1863;5100;1640;50;593;471;461;590
1863;5100;1640;50;586;468;459;590
1863;5100;1640;50;593;469;459;588
1863;5100;1640;50;592;468;461;590
1863;5100;1640;50;595;469;457;588
1863;5100;1640;50;593;469;459;590
1863;5100;1640;50;594;466;453;589
1863;5100;1640;50;593;468;455;586
1863;5100;1640;50;592;468;459;591
1863;5100;1640;50;591;468;459;590
1863;5100;1640;50;593;468;458;591
1863;5100;1640;50;593;470;459;590
1863;5100;1640;50;591;466;460;590
1863;5100;1640;50;593;469;457;588
1863;5100;1640;50;592;468;460;591
1863;5100;1640;50;593;469;459;590
1863;5100;1640;50;593;468;459;590
1863;5100;1640;50;594;470;459;590
1863;5100;1640;50;593;469;461;587
1863;5100;1640;50;593;468;460;590
1863;5100;1640;50;592;469;460;590
1863;5100;1640;50;592;469;460;590
1863;5100;1640;50;592;466;460;591
1863;5100;1640;50;593;470;459;590
1863;5100;1640;50;593;473;459;589
1863;5100;1640;50;593;467;460;590
1863;5100;1640;50;594;467;459;590
