POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4150;125;574;449;457;592
0;0;4150;125;574;447;457;592
0;0;4150;125;581;446;457;591
0;0;4150;125;576;443;457;593
0;0;4150;125;573;448;457;596
0;0;4150;125;579;453;455;590
0;0;4150;125;574;449;456;593
0;0;4150;125;573;439;457;588
0;0;4150;125;574;450;457;592
0;0;4150;125;580;447;455;591
0;0;4150;125;577;453;459;583
0;0;4150;125;573;452;456;599
0;0;4150;125;576;449;456;591
0;0;4150;125;575;443;458;593
0;0;4150;125;573;449;458;592
0;0;4150;125;574;447;457;591
0;0;4150;125;574;445;458;591
0;0;4150;125;575;448;461;591
0;0;4150;125;574;447;456;592
0;0;4150;125;575;447;457;587
0;0;4150;125;572;447;457;598
0;0;4150;125;570;447;450;592
0;0;4150;125;573;447;466;592
0;0;4150;125;571;448;458;593
0;0;4150;125;574;448;457;592
0;0;4150;125;575;447;458;592
0;0;4150;125;581;447;457;590
0;0;4150;125;575;448;456;592
0;0;4150;125;574;447;459;592
0;0;4150;125;574;447;457;593
0;0;4150;125;575;447;455;594
0;0;4150;125;574;444;459;591
0;0;4150;125;570;448;457;591
0;0;4150;125;574;447;456;592
0;0;4150;125;574;447;457;592
0;0;4150;125;573;445;458;592
0;0;4150;125;575;447;458;597
0;0;4150;125;574;445;458;591
0;0;4150;125;573;446;457;592
0;0;4150;125;571;446;457;592
0;0;4150;125;572;449;457;591
0;0;4150;125;574;441;459;592
0;0;4150;125;575;447;457;589
0;0;4150;125;575;446;457;590
0;0;4150;125;574;447;458;593
0;0;4150;125;574;448;456;593
0;0;4150;125;579;447;455;592
0;0;4150;125;574;455;461;592
0;0;4150;125;574;448;456;588
0;0;4150;125;575;447;457;591
0;0;4150;125;573;447;462;592
1922;0;4150;125;581;456;452;584
1922;0;4150;125;580;463;451;584
1922;0;4150;125;580;457;451;585
1922;0;4150;125;578;454;446;584
1922;0;4150;125;585;463;450;584
1922;0;4150;125;579;456;450;584
1922;0;4150;125;580;456;453;580
1922;0;4150;125;579;457;451;585
1922;0;4150;125;580;457;451;584
1922;0;4150;125;579;456;450;588
1922;0;4150;125;579;463;452;584
1922;0;4150;125;579;456;453;589
1922;0;4150;125;579;458;451;586
1922;0;4150;125;574;458;450;585
1922;0;4150;125;578;456;451;584
1922;0;4150;125;580;457;451;581
1922;0;4150;125;580;460;451;584
1922;0;4150;125;579;457;450;587
1922;0;4150;125;578;456;451;584
1922;0;4150;125;579;457;455;589
1922;0;4150;125;579;458;451;587
1922;0;4150;125;580;456;450;586
1922;0;4150;125;584;456;450;583
