POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1640;50;581;454;455;591
0;0;1640;50;581;454;455;590
0;0;1640;50;581;454;456;588
0;0;1640;50;581;454;456;589
0;0;1640;50;582;447;457;590
0;0;1640;50;581;454;457;591
0;0;1640;50;578;455;457;590
0;0;1640;50;580;452;456;591
0;0;1640;50;582;454;456;591
0;0;1640;50;581;454;456;590
0;0;1640;50;580;454;457;591
0;0;1640;50;580;456;458;590
0;0;1640;50;582;455;457;589
0;0;1640;50;581;453;457;591
0;0;1640;50;581;452;457;591
0;0;1640;50;584;454;457;591
0;0;1640;50;582;454;458;590
0;0;1640;50;584;456;458;591
0;0;1640;50;581;454;457;592
0;0;1640;50;582;454;457;591
0;0;1640;50;582;455;458;592
0;0;1640;50;583;452;458;591
0;0;1640;50;582;454;457;591
0;0;1640;50;583;455;459;592
0;0;1640;50;582;455;455;592
0;0;1640;50;582;455;457;592
0;0;1640;50;582;454;458;589
0;0;1640;50;583;454;457;591
0;0;1640;50;582;460;458;592
0;0;1640;50;581;456;456;592
0;0;1640;50;582;457;455;591
0;0;1640;50;583;455;458;591
0;0;1640;50;587;453;457;593
0;0;1640;50;582;452;457;592
0;0;1640;50;582;456;456;591
0;0;1640;50;583;454;457;593
0;0;1640;50;583;455;458;585
0;0;1640;50;586;457;458;592
0;0;1640;50;582;455;458;591
0;0;1640;50;583;455;456;592
0;0;1640;50;583;456;458;597
0;0;1640;50;583;455;458;592
0;0;1640;50;583;455;458;592
0;0;1640;50;584;456;453;593
0;0;1640;50;583;455;458;592
0;0;1640;50;583;457;458;594
0;0;1640;50;583;456;459;592
0;0;1640;50;584;457;457;592
0;0;1640;50;582;455;458;591
0;0;1640;50;583;455;459;592
0;0;1640;50;583;458;459;592
720;0;1640;50;587;459;455;588
720;0;1640;50;588;460;456;590
720;0;1640;50;587;460;456;588
720;0;1640;50;587;460;455;589
720;0;1640;50;587;463;456;589
720;0;1640;50;586;460;457;589
720;0;1640;50;588;460;455;588
720;0;1640;50;587;459;456;589
720;0;1640;50;587;459;456;589
720;0;1640;50;585;460;455;590
720;0;1640;50;589;461;457;589
720;0;1640;50;587;459;456;590
720;0;1640;50;587;458;456;589
720;0;1640;50;587;457;457;588
720;0;1640;50;588;460;456;589
720;0;1640;50;588;462;459;589
720;0;1640;50;588;461;456;588
720;0;1640;50;588;460;456;588
720;0;1640;50;587;460;457;589
720;0;1640;50;588;461;453;589
720;0;1640;50;586;460;456;590
720;0;1640;50;587;458;456;588
720;0;1640;50;587;462;454;588
720;0;1640;50;588;460;456;588
720;0;1640;50;588;460;456;587
720;0;1640;50;586;463;457;591
720;0;1640;50;587;457;456;587
720;0;1640;50;588;460;457;588
720;0;1640;50;588;461;456;589
720;0;1640;50;592;460;457;588
720;0;1640;50;587;460;456;588
720;0;1640;50;587;461;457;591
720;0;1640;50;585;461;456;589
720;0;1640;50;584;460;456;588
720;0;1640;50;587;461;456;591
720;0;1640;50;588;459;457;589
720;0;1640;50;588;462;456;589
720;0;1640;50;587;461;456;591
720;0;1640;50;587;461;460;589
720;0;1640;50;587;462;456;589
720;0;1640;50;587;460;456;587
720;0;1640;50;588;455;456;590
720;0;1640;50;588;461;457;588
720;0;1640;50;588;463;456;589
720;0;1640;50;586;460;458;590
720;0;1640;50;587;460;458;590
720;0;1640;50;588;462;457;590
720;0;1640;50;587;463;457;589
720;0;1640;50;587;460;456;589
720;0;1640;50;588;460;457;589
720;0;1640;50;589;461;456;589
1440;0;1640;50;589;463;457;588
1440;0;1640;50;589;463;446;588
1440;0;1640;50;589;465;459;589
1440;0;1640;50;589;464;454;588
1440;0;1640;50;588;464;456;588
1440;0;1640;50;588;464;455;588
1440;0;1640;50;590;465;459;587
1440;0;1640;50;590;465;456;588
1440;0;1640;50;587;463;455;589
1440;0;1640;50;590;461;455;587
1440;0;1640;50;590;464;455;587
1440;0;1640;50;591;463;455;587
1440;0;1640;50;589;464;460;587
1440;0;1640;50;590;465;461;590
1440;0;1640;50;590;463;455;587
1440;0;1640;50;590;464;456;589
1440;0;1640;50;589;463;457;587
1440;0;1640;50;589;464;454;587
1440;0;1640;50;590;463;455;588
1440;0;1640;50;590;464;453;588
1440;0;1640;50;590;466;455;588
1440;0;1640;50;591;464;454;588
1440;0;1640;50;591;464;456;587
1440;0;1640;50;589;464;456;586
1440;0;1640;50;589;464;454;588
1440;0;1640;50;586;464;456;582
1440;0;1640;50;589;464;456;588
1440;0;1640;50;592;464;456;587
1440;0;1640;50;589;467;455;588
1440;0;1640;50;589;464;455;588
1440;0;1640;50;591;463;457;587
1440;0;1640;50;590;465;457;583
1440;0;1640;50;590;464;455;589
1440;0;1640;50;590;464;456;588
1440;0;1640;50;592;464;455;587
1440;0;1640;50;591;464;456;587
1440;0;1640;50;587;465;455;591
1440;0;1640;50;591;464;454;586
1440;0;1640;50;590;464;450;587
1440;0;1640;50;589;467;456;587
1440;0;1640;50;590;462;456;589
1440;0;1640;50;590;464;455;587
1440;0;1640;50;589;464;456;589
1440;0;1640;50;590;464;456;588
1440;0;1640;50;590;457;460;588
1440;0;1640;50;591;464;454;588
1440;0;1640;50;591;464;457;588
1440;0;1640;50;590;464;456;588
1440;0;1640;50;589;464;456;585
1440;0;1640;50;591;465;453;589
1440;0;1640;50;590;464;456;588
2160;0;1640;50;591;467;455;586
2160;0;1640;50;591;467;455;587
2160;0;1640;50;589;465;453;587
2160;0;1640;50;591;466;455;591
2160;0;1640;50;593;466;455;587
2160;0;1640;50;587;462;457;588
2160;0;1640;50;591;465;456;586
2160;0;1640;50;590;465;456;589
2160;0;1640;50;591;466;455;587
2160;0;1640;50;592;466;455;587
2160;0;1640;50;591;466;455;585
