POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;585;461;456;589
0;0;4000;125;577;450;456;588
0;0;4000;125;577;451;454;589
0;0;4000;125;577;452;456;590
0;0;4000;125;576;452;454;589
0;0;4000;125;579;453;455;587
0;0;4000;125;579;452;456;589
0;0;4000;125;577;452;459;588
0;0;4000;125;580;452;449;589
0;0;4000;125;579;452;454;596
0;0;4000;125;577;450;456;589
0;0;4000;125;577;453;456;597
0;0;4000;125;576;445;463;588
0;0;4000;125;581;453;456;589
0;0;4000;125;577;451;458;596
0;0;4000;125;583;454;455;588
0;0;4000;125;577;454;456;589
0;0;4000;125;577;452;456;589
0;0;4000;125;577;452;448;589
0;0;4000;125;575;451;455;589
0;0;4000;125;576;452;456;592
0;0;4000;125;577;452;456;589
0;0;4000;125;579;452;455;587
0;0;4000;125;578;449;455;590
0;0;4000;125;578;452;455;589
0;0;4000;125;577;450;455;587
0;0;4000;125;577;451;455;590
0;0;4000;125;577;452;454;580
0;0;4000;125;576;454;448;588
0;0;4000;125;577;452;454;590
0;0;4000;125;573;453;454;588
0;0;4000;125;580;452;446;589
0;0;4000;125;578;451;457;588
0;0;4000;125;578;452;445;589
0;0;4000;125;576;454;454;589
0;0;4000;125;578;451;457;589
0;0;4000;125;577;452;458;589
0;0;4000;125;577;456;455;593
0;0;4000;125;577;452;458;588
0;0;4000;125;577;452;456;588
0;0;4000;125;577;451;456;588
0;0;4000;125;578;450;458;589
0;0;4000;125;578;451;456;594
0;0;4000;125;579;451;456;588
0;0;4000;125;577;456;455;589
0;0;4000;125;577;451;455;588
0;0;4000;125;577;451;455;587
0;0;4000;125;577;453;456;591
0;0;4000;125;578;452;454;589
0;0;4000;125;577;452;456;590
805;0;4000;125;579;458;452;584
805;0;4000;125;580;455;453;585
805;0;4000;125;581;454;454;590
805;0;4000;125;580;454;451;587
805;0;4000;125;581;455;453;585
805;0;4000;125;581;451;453;584
805;0;4000;125;580;446;454;584
805;0;4000;125;579;455;454;584
805;0;4000;125;582;456;454;584
805;0;4000;125;581;456;455;583
805;0;4000;125;580;455;454;584
