POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;578;448;452;590
0;0;4000;125;579;448;451;590
0;0;4000;125;579;447;452;591
0;0;4000;125;578;446;452;590
0;0;4000;125;578;446;452;594
0;0;4000;125;580;445;452;591
0;0;4000;125;577;446;453;590
0;0;4000;125;578;446;450;591
0;0;4000;125;578;446;452;591
0;0;4000;125;581;446;452;593
0;0;4000;125;579;446;452;590
0;0;4000;125;577;445;452;591
0;0;4000;125;576;445;454;594
0;0;4000;125;579;448;452;592
0;0;4000;125;578;445;451;591
0;0;4000;125;578;447;451;591
0;0;4000;125;577;447;452;590
0;0;4000;125;578;446;449;591
0;0;4000;125;579;446;451;590
0;0;4000;125;581;445;453;592
1700;0;4000;125;584;456;449;595
1700;0;4000;125;585;454;455;585
1700;0;4000;125;585;454;449;586
1700;0;4000;125;584;454;449;586
1700;0;4000;125;585;453;450;587
1700;0;4000;125;585;454;451;587
1700;0;4000;125;584;454;458;587
1700;0;4000;125;578;454;450;587
1700;0;4000;125;585;449;450;588
1700;0;4000;125;584;455;451;586
1700;0;4000;125;580;456;450;587
1700;0;4000;125;585;453;450;586
1700;0;4000;125;585;453;451;588
1700;0;4000;125;585;454;451;587
1700;0;4000;125;585;456;450;588
1700;0;4000;125;593;455;450;588
1700;0;4000;125;583;454;451;583
1700;0;4000;125;585;456;451;589
1700;0;4000;125;585;455;458;585
1700;0;4000;125;578;456;449;586
3400;0;4000;125;589;460;451;583
3400;0;4000;125;577;460;451;587
3400;0;4000;125;587;458;451;586
3400;0;4000;125;587;458;449;587
3400;0;4000;125;587;458;452;588
3400;0;4000;125;586;461;450;587
3400;0;4000;125;588;458;451;588
3400;0;4000;125;586;455;443;587
3400;0;4000;125;587;466;443;586
3400;0;4000;125;587;460;456;585
3400;0;4000;125;587;458;450;587
3400;0;4000;125;588;459;451;587
3400;0;4000;125;587;456;451;588
3400;0;4000;125;589;459;452;587
3400;0;4000;125;587;461;451;587
3400;0;4000;125;589;458;446;587
3400;0;4000;125;587;458;447;588
3400;0;4000;125;588;458;451;587
3400;0;4000;125;586;459;450;588
3400;0;4000;125;587;462;451;587
5100;0;4000;125;587;460;453;589
5100;0;4000;125;590;459;452;588
5100;0;4000;125;589;460;454;587
5100;0;4000;125;587;460;454;589
5100;0;4000;125;589;466;449;587
5100;0;4000;125;589;460;455;586
5100;0;4000;125;588;460;454;584
5100;0;4000;125;583;460;451;588
5100;0;4000;125;589;459;452;588
5100;0;4000;125;588;459;453;588
5100;0;4000;125;589;460;452;588
5100;0;4000;125;588;468;452;589
5100;0;4000;125;588;460;453;588
5100;0;4000;125;588;460;452;588
5100;0;4000;125;588;461;452;586
5100;0;4000;125;590;461;452;592
5100;0;4000;125;590;460;453;587
5100;0;4000;125;594;462;451;588
5100;0;4000;125;588;461;456;586
5100;0;4000;125;591;460;453;583
6800;0;4000;125;589;461;452;588
6800;0;4000;125;589;460;449;588
6800;0;4000;125;589;462;459;591
6800;0;4000;125;589;460;451;588
6800;0;4000;125;591;461;453;588
6800;0;4000;125;588;462;452;585
6800;0;4000;125;588;460;453;587
6800;0;4000;125;589;462;454;590
6800;0;4000;125;590;461;453;589
6800;0;4000;125;589;461;452;588
6800;0;4000;125;589;454;453;588
6800;0;4000;125;589;452;453;582
6800;0;4000;125;589;462;454;587
6800;0;4000;125;589;459;457;589
6800;0;4000;125;589;461;453;593
6800;0;4000;125;589;461;443;587
6800;0;4000;125;589;462;461;580
6800;0;4000;125;589;462;453;588
6800;0;4000;125;589;462;452;589
6800;0;4000;125;590;461;460;589
8500;0;4000;125;589;462;453;590
8500;0;4000;125;590;462;453;588
8500;0;4000;125;592;462;452;590
8500;0;4000;125;590;460;457;589
8500;0;4000;125;597;462;453;589
8500;0;4000;125;588;462;447;590
8500;0;4000;125;589;467;452;588
8500;0;4000;125;590;463;461;585
8500;0;4000;125;590;462;454;589
8500;0;4000;125;590;462;455;589
8500;0;4000;125;589;463;452;589
8500;0;4000;125;585;463;456;589
8500;0;4000;125;588;463;451;589
8500;0;4000;125;590;463;452;587
8500;0;4000;125;589;462;454;589
8500;0;4000;125;589;462;454;589
8500;0;4000;125;590;462;454;588
8500;0;4000;125;583;462;451;589
8500;0;4000;125;590;463;463;588
8500;0;4000;125;590;463;452;590
10200;0;4000;125;591;460;453;590
10200;0;4000;125;591;464;454;590
10200;0;4000;125;587;463;452;590
10200;0;4000;125;591;463;453;590
10200;0;4000;125;590;463;453;588
10200;0;4000;125;591;464;453;591
10200;0;4000;125;589;463;452;590
10200;0;4000;125;591;463;453;589
10200;0;4000;125;593;464;453;592
10200;0;4000;125;589;465;453;591
10200;0;4000;125;593;465;454;589
10200;0;4000;125;590;462;454;590
10200;0;4000;125;590;464;453;589
10200;0;4000;125;591;463;454;591
10200;0;4000;125;591;464;454;589
10200;0;4000;125;586;464;452;589
10200;0;4000;125;591;463;454;590
10200;0;4000;125;592;464;454;588
10200;0;4000;125;584;463;452;590
10200;0;4000;125;590;463;453;590
11900;0;4000;125;596;469;448;598
11900;0;4000;125;591;467;452;590
11900;0;4000;125;593;464;453;590
11900;0;4000;125;591;465;453;590
11900;0;4000;125;594;469;453;592
11900;0;4000;125;591;464;453;580
11900;0;4000;125;591;463;453;590
11900;0;4000;125;593;463;447;590
11900;0;4000;125;591;467;453;591
11900;0;4000;125;591;464;453;590
11900;0;4000;125;584;464;453;591
11900;0;4000;125;591;465;454;590
11900;0;4000;125;591;464;454;590
11900;0;4000;125;590;464;454;590
11900;0;4000;125;591;465;453;590
11900;0;4000;125;591;464;454;590
11900;0;4000;125;591;463;448;590
11900;0;4000;125;592;464;452;589
11900;0;4000;125;591;464;453;590
11900;0;4000;125;591;471;455;595
13600;0;4000;125;593;466;453;592
13600;0;4000;125;592;464;453;591
13600;0;4000;125;592;465;454;592
13600;0;4000;125;592;464;452;590
13600;0;4000;125;594;464;453;591
13600;0;4000;125;600;458;453;590
13600;0;4000;125;592;463;451;590
13600;0;4000;125;590;465;452;581
13600;0;4000;125;593;465;453;590
13600;0;4000;125;592;463;452;590
13600;0;4000;125;592;464;453;590
13600;0;4000;125;592;465;451;590
13600;0;4000;125;592;465;453;590
13600;0;4000;125;592;470;452;590
13600;0;4000;125;595;465;453;601
13600;0;4000;125;592;464;454;591
13600;0;4000;125;585;457;453;591
13600;0;4000;125;583;464;453;591
13600;0;4000;125;590;466;452;590
13600;0;4000;125;593;464;454;592
15300;0;4000;125;597;467;450;590
15300;0;4000;125;594;471;448;590
15300;0;4000;125;594;466;450;588
15300;0;4000;125;596;468;449;589
15300;0;4000;125;595;465;454;588
15300;0;4000;125;594;468;450;588
15300;0;4000;125;590;466;450;589
15300;0;4000;125;596;466;450;590
15300;0;4000;125;595;474;451;588
15300;0;4000;125;595;467;451;589
15300;0;4000;125;595;467;451;589
15300;0;4000;125;595;467;450;588
15300;0;4000;125;594;467;452;589
15300;0;4000;125;600;467;445;589
15300;0;4000;125;596;466;450;587
15300;0;4000;125;596;467;450;589
15300;0;4000;125;598;467;451;590
15300;0;4000;125;595;468;450;589
15300;0;4000;125;594;469;450;595
15300;0;4000;125;595;467;444;589
0;700;4000;125;586;455;460;600
0;700;4000;125;594;457;451;600
0;700;4000;125;587;455;468;602
0;700;4000;125;588;455;459;601
0;700;4000;125;587;462;467;600
0;700;4000;125;587;463;460;605
0;700;4000;125;587;456;465;600
0;700;4000;125;587;455;460;600
0;700;4000;125;586;456;462;600
0;700;4000;125;581;462;462;602
0;700;4000;125;587;455;460;601
0;700;4000;125;589;457;461;600
0;700;4000;125;587;456;460;600
0;700;4000;125;586;454;460;599
0;700;4000;125;583;455;461;598
0;700;4000;125;587;455;456;602
0;700;4000;125;580;456;460;600
0;700;4000;125;587;455;460;605
0;700;4000;125;585;456;459;592
0;700;4000;125;587;455;462;606
1700;700;4000;125;581;463;457;594
1700;700;4000;125;590;461;456;593
1700;700;4000;125;591;462;458;594
1700;700;4000;125;589;459;455;594
1700;700;4000;125;591;461;456;591
1700;700;4000;125;589;460;457;594
1700;700;4000;125;591;462;456;593
1700;700;4000;125;590;463;456;595
1700;700;4000;125;590;462;457;594
1700;700;4000;125;590;462;456;593
1700;700;4000;125;590;461;462;593
1700;700;4000;125;585;461;464;594
1700;700;4000;125;591;462;455;595
1700;700;4000;125;590;461;455;593
1700;700;4000;125;591;463;456;595
1700;700;4000;125;590;462;457;599
1700;700;4000;125;590;464;456;593
1700;700;4000;125;588;462;461;593
1700;700;4000;125;588;461;457;594
1700;700;4000;125;590;461;453;593
3400;700;4000;125;591;463;451;591
3400;700;4000;125;591;463;455;591
3400;700;4000;125;599;463;453;591
3400;700;4000;125;591;459;453;591
3400;700;4000;125;591;463;455;592
3400;700;4000;125;591;463;454;593
3400;700;4000;125;593;463;456;592
3400;700;4000;125;590;463;450;592
3400;700;4000;125;599;462;463;591
3400;700;4000;125;591;463;456;590
3400;700;4000;125;590;462;455;591
3400;700;4000;125;589;466;456;592
3400;700;4000;125;591;462;459;592
3400;700;4000;125;591;464;455;590
3400;700;4000;125;592;463;454;591
3400;700;4000;125;583;464;463;591
3400;700;4000;125;591;456;457;592
3400;700;4000;125;591;463;456;591
3400;700;4000;125;591;466;457;582
3400;700;4000;125;598;463;456;591
5100;700;4000;125;583;471;455;590
5100;700;4000;125;591;463;455;591
5100;700;4000;125;591;466;447;592
5100;700;4000;125;596;465;455;589
5100;700;4000;125;582;463;454;591
5100;700;4000;125;582;463;458;591
5100;700;4000;125;591;460;455;590
5100;700;4000;125;591;462;456;591
5100;700;4000;125;590;464;454;591
5100;700;4000;125;592;464;456;591
5100;700;4000;125;592;464;456;591
5100;700;4000;125;591;462;456;591
5100;700;4000;125;588;465;455;591
5100;700;4000;125;593;463;455;592
5100;700;4000;125;592;464;456;591
5100;700;4000;125;592;463;455;589
5100;700;4000;125;591;467;456;592
5100;700;4000;125;591;463;452;591
5100;700;4000;125;591;463;456;590
5100;700;4000;125;591;463;456;592
6800;700;4000;125;589;463;455;589
6800;700;4000;125;592;464;457;591
6800;700;4000;125;591;466;456;592
6800;700;4000;125;589;464;457;591
6800;700;4000;125;591;464;456;590
6800;700;4000;125;594;464;455;590
6800;700;4000;125;591;469;455;591
6800;700;4000;125;593;463;456;590
6800;700;4000;125;591;463;455;594
6800;700;4000;125;592;464;456;593
6800;700;4000;125;591;464;465;590
6800;700;4000;125;593;465;457;590
6800;700;4000;125;589;463;456;592
6800;700;4000;125;592;463;455;591
6800;700;4000;125;591;465;452;591
6800;700;4000;125;591;463;454;591
6800;700;4000;125;591;464;456;592
6800;700;4000;125;593;465;455;591
6800;700;4000;125;590;464;461;591
6800;700;4000;125;591;464;450;592
8500;700;4000;125;591;469;456;590
8500;700;4000;125;590;464;453;589
8500;700;4000;125;591;464;455;590
8500;700;4000;125;592;475;456;590
8500;700;4000;125;591;464;455;588
8500;700;4000;125;592;457;460;590
8500;700;4000;125;592;464;456;589
8500;700;4000;125;592;456;454;591
8500;700;4000;125;591;463;454;589
8500;700;4000;125;591;464;456;591
8500;700;4000;125;592;464;454;590
8500;700;4000;125;591;467;455;591
8500;700;4000;125;593;464;456;590
8500;700;4000;125;592;465;455;591
8500;700;4000;125;591;466;455;591
8500;700;4000;125;599;464;455;591
8500;700;4000;125;592;464;455;590
8500;700;4000;125;592;463;455;582
8500;700;4000;125;591;456;455;590
8500;700;4000;125;591;464;453;590
10200;700;4000;125;592;458;455;591
10200;700;4000;125;600;473;454;591
10200;700;4000;125;591;463;455;591
10200;700;4000;125;597;472;457;590
10200;700;4000;125;592;465;454;589
10200;700;4000;125;592;469;455;590
10200;700;4000;125;594;464;462;597
10200;700;4000;125;593;466;456;590
10200;700;4000;125;592;464;456;589
10200;700;4000;125;593;466;455;590
10200;700;4000;125;592;464;455;590
10200;700;4000;125;595;463;455;591
10200;700;4000;125;588;464;456;589
10200;700;4000;125;593;465;461;589
10200;700;4000;125;593;464;455;590
10200;700;4000;125;590;464;455;591
10200;700;4000;125;591;464;455;591
10200;700;4000;125;592;464;453;589
10200;700;4000;125;592;456;456;590
10200;700;4000;125;592;465;455;589
11900;700;4000;125;592;464;457;590
11900;700;4000;125;592;465;451;583
11900;700;4000;125;593;465;454;592
11900;700;4000;125;587;465;455;590
11900;700;4000;125;588;467;455;591
11900;700;4000;125;592;461;454;591
11900;700;4000;125;592;462;455;590
11900;700;4000;125;589;458;456;588
11900;700;4000;125;592;464;455;590
11900;700;4000;125;592;464;454;589
11900;700;4000;125;592;464;451;583
11900;700;4000;125;592;464;455;590
11900;700;4000;125;593;465;453;591
11900;700;4000;125;582;465;455;590
11900;700;4000;125;593;464;456;591
11900;700;4000;125;592;465;454;588
11900;700;4000;125;593;463;453;600
11900;700;4000;125;592;464;455;589
11900;700;4000;125;592;464;454;591
11900;700;4000;125;593;465;453;590
13600;700;4000;125;592;463;454;590
13600;700;4000;125;594;465;449;590
13600;700;4000;125;594;464;455;589
13600;700;4000;125;597;465;455;581
13600;700;4000;125;599;465;452;587
13600;700;4000;125;593;465;447;590
13600;700;4000;125;596;465;454;591
13600;700;4000;125;593;465;452;590
13600;700;4000;125;594;465;455;589
13600;700;4000;125;592;464;456;590
13600;700;4000;125;594;463;455;590
13600;700;4000;125;594;465;454;590
13600;700;4000;125;593;464;453;591
13600;700;4000;125;594;467;454;593
13600;700;4000;125;591;465;454;589
13600;700;4000;125;591;465;454;590
13600;700;4000;125;593;466;454;589
13600;700;4000;125;592;465;455;596
13600;700;4000;125;593;457;454;589
13600;700;4000;125;594;465;455;591
15300;700;4000;125;598;469;451;589
15300;700;4000;125;596;464;452;596
15300;700;4000;125;597;467;454;587
15300;700;4000;125;596;467;450;585
15300;700;4000;125;596;467;451;589
15300;700;4000;125;596;459;452;588
15300;700;4000;125;596;466;451;589
15300;700;4000;125;591;467;452;589
15300;700;4000;125;589;466;452;583
15300;700;4000;125;595;467;452;580
15300;700;4000;125;598;469;451;588
15300;700;4000;125;596;465;455;586
15300;700;4000;125;588;467;454;588
15300;700;4000;125;596;466;454;588
15300;700;4000;125;594;467;451;580
15300;700;4000;125;597;468;451;586
15300;700;4000;125;596;474;449;589
15300;700;4000;125;597;474;451;589
15300;700;4000;125;595;463;453;588
15300;700;4000;125;596;468;453;590
0;1400;4000;125;579;456;461;598
0;1400;4000;125;588;462;458;599
0;1400;4000;125;592;455;462;591
0;1400;4000;125;587;455;461;600
0;1400;4000;125;587;456;464;598
0;1400;4000;125;587;456;461;599
0;1400;4000;125;588;456;459;599
0;1400;4000;125;587;448;461;599
0;1400;4000;125;591;454;460;599
0;1400;4000;125;587;455;461;600
0;1400;4000;125;587;457;460;599
0;1400;4000;125;583;456;460;600
0;1400;4000;125;588;455;458;599
0;1400;4000;125;593;456;460;601
0;1400;4000;125;586;456;460;608
0;1400;4000;125;587;456;461;599
0;1400;4000;125;586;449;459;600
0;1400;4000;125;588;455;455;599
0;1400;4000;125;582;457;462;597
0;1400;4000;125;587;455;455;599
1700;1400;4000;125;591;454;456;594
1700;1400;4000;125;591;461;457;593
1700;1400;4000;125;592;464;458;594
1700;1400;4000;125;592;463;457;593
1700;1400;4000;125;591;462;457;592
1700;1400;4000;125;590;462;457;594
1700;1400;4000;125;591;462;457;592
1700;1400;4000;125;591;462;457;594
1700;1400;4000;125;583;461;457;593
1700;1400;4000;125;591;461;458;594
1700;1400;4000;125;591;461;457;592
1700;1400;4000;125;591;461;457;600
1700;1400;4000;125;591;461;458;592
1700;1400;4000;125;591;461;457;593
1700;1400;4000;125;592;460;458;590
1700;1400;4000;125;591;462;457;593
1700;1400;4000;125;591;459;457;594
1700;1400;4000;125;590;461;457;595
1700;1400;4000;125;591;462;456;600
1700;1400;4000;125;591;454;457;593
3400;1400;4000;125;592;464;456;591
3400;1400;4000;125;592;465;457;591
3400;1400;4000;125;583;463;456;592
3400;1400;4000;125;593;467;456;599
3400;1400;4000;125;592;466;458;591
3400;1400;4000;125;592;464;455;592
3400;1400;4000;125;591;464;456;591
3400;1400;4000;125;591;465;457;592
3400;1400;4000;125;593;464;456;592
3400;1400;4000;125;592;467;456;591
3400;1400;4000;125;591;463;456;593
3400;1400;4000;125;590;466;455;598
3400;1400;4000;125;593;462;458;591
3400;1400;4000;125;598;464;457;591
3400;1400;4000;125;587;463;456;590
3400;1400;4000;125;592;463;456;591
3400;1400;4000;125;592;464;456;591
3400;1400;4000;125;593;465;456;585
3400;1400;4000;125;592;463;459;591
