POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;578;460;457;597
0;0;4000;125;578;459;458;597
0;0;4000;125;578;469;459;598
0;0;4000;125;579;461;458;598
0;0;4000;125;578;461;452;595
0;0;4000;125;578;460;455;598
0;0;4000;125;578;458;465;599
0;0;4000;125;584;460;458;600
0;0;4000;125;578;461;458;599
0;0;4000;125;581;458;458;598
0;0;4000;125;580;460;458;597
0;0;4000;125;580;462;463;604
0;0;4000;125;579;459;460;599
0;0;4000;125;577;460;457;599
0;0;4000;125;579;460;458;598
0;0;4000;125;579;459;458;601
0;0;4000;125;580;461;460;597
0;0;4000;125;582;460;458;597
0;0;4000;125;578;460;457;598
0;0;4000;125;579;462;460;598
1700;0;4000;125;578;467;455;593
1700;0;4000;125;577;467;453;595
1700;0;4000;125;582;465;455;593
1700;0;4000;125;584;466;453;593
1700;0;4000;125;585;469;454;592
1700;0;4000;125;584;467;455;588
1700;0;4000;125;583;467;452;592
1700;0;4000;125;583;469;454;582
1700;0;4000;125;582;466;455;593
1700;0;4000;125;579;467;454;594
1700;0;4000;125;581;466;454;592
1700;0;4000;125;586;465;454;592
1700;0;4000;125;582;467;454;592
1700;0;4000;125;583;466;452;586
1700;0;4000;125;585;467;454;593
1700;0;4000;125;585;477;454;592
1700;0;4000;125;584;466;454;594
1700;0;4000;125;580;472;455;592
1700;0;4000;125;583;467;454;592
1700;0;4000;125;585;463;454;593
3400;0;4000;125;584;468;454;591
3400;0;4000;125;584;469;449;591
3400;0;4000;125;582;468;454;590
3400;0;4000;125;585;469;455;590
3400;0;4000;125;585;469;446;590
3400;0;4000;125;583;469;454;589
3400;0;4000;125;588;478;453;592
3400;0;4000;125;585;470;453;598
3400;0;4000;125;583;469;456;591
3400;0;4000;125;584;469;448;591
3400;0;4000;125;584;469;455;592
3400;0;4000;125;584;469;454;592
3400;0;4000;125;581;472;454;591
3400;0;4000;125;595;468;453;591
3400;0;4000;125;584;469;454;593
3400;0;4000;125;587;469;448;588
3400;0;4000;125;586;468;457;591
3400;0;4000;125;584;468;453;592
3400;0;4000;125;584;469;454;591
3400;0;4000;125;582;470;454;594
5100;0;4000;125;585;468;449;590
5100;0;4000;125;584;470;454;590
5100;0;4000;125;582;470;454;592
5100;0;4000;125;586;470;449;589
5100;0;4000;125;586;469;453;594
5100;0;4000;125;585;468;454;592
5100;0;4000;125;585;469;454;591
5100;0;4000;125;584;469;450;592
5100;0;4000;125;585;469;454;593
5100;0;4000;125;586;472;444;585
5100;0;4000;125;587;470;453;591
5100;0;4000;125;586;470;453;588
5100;0;4000;125;585;470;454;592
5100;0;4000;125;585;469;454;597
5100;0;4000;125;587;479;453;592
5100;0;4000;125;585;471;454;590
5100;0;4000;125;577;467;454;595
5100;0;4000;125;586;472;457;593
5100;0;4000;125;581;469;454;591
5100;0;4000;125;584;471;454;592
6800;0;4000;125;582;471;454;591
6800;0;4000;125;585;470;454;592
6800;0;4000;125;585;471;452;591
6800;0;4000;125;585;469;455;587
6800;0;4000;125;584;470;453;585
6800;0;4000;125;585;470;455;593
6800;0;4000;125;586;470;454;591
6800;0;4000;125;586;471;454;592
6800;0;4000;125;584;482;454;591
6800;0;4000;125;585;471;453;591
6800;0;4000;125;580;470;451;592
6800;0;4000;125;586;466;453;591
6800;0;4000;125;585;470;453;595
6800;0;4000;125;585;470;455;592
6800;0;4000;125;584;470;463;591
6800;0;4000;125;583;467;456;591
6800;0;4000;125;584;471;454;592
6800;0;4000;125;583;471;457;591
6800;0;4000;125;584;470;454;591
6800;0;4000;125;585;473;454;591
8500;0;4000;125;584;470;454;591
8500;0;4000;125;585;470;454;591
8500;0;4000;125;586;470;453;593
8500;0;4000;125;587;470;454;590
8500;0;4000;125;583;472;454;592
8500;0;4000;125;587;471;452;592
8500;0;4000;125;585;472;455;591
8500;0;4000;125;584;469;450;584
8500;0;4000;125;585;471;454;592
8500;0;4000;125;585;472;454;592
8500;0;4000;125;584;475;454;592
8500;0;4000;125;587;471;455;591
8500;0;4000;125;583;471;458;592
8500;0;4000;125;585;471;455;591
8500;0;4000;125;585;470;454;591
8500;0;4000;125;584;477;454;591
8500;0;4000;125;584;467;448;592
8500;0;4000;125;582;469;455;593
8500;0;4000;125;582;472;454;592
8500;0;4000;125;584;471;453;590
10200;0;4000;125;585;471;455;592
