POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;579;452;457;590
0;0;4000;125;579;452;462;595
0;0;4000;125;579;451;459;589
0;0;4000;125;578;453;458;590
0;0;4000;125;577;451;459;590
0;0;4000;125;579;451;459;589
0;0;4000;125;579;453;453;590
0;0;4000;125;580;451;458;589
0;0;4000;125;579;454;459;595
0;0;4000;125;579;452;460;589
0;0;4000;125;578;451;459;590
0;0;4000;125;573;449;465;590
0;0;4000;125;579;453;459;582
0;0;4000;125;579;452;458;590
0;0;4000;125;579;452;459;591
0;0;4000;125;578;449;454;591
0;0;4000;125;579;448;458;591
0;0;4000;125;580;451;460;589
0;0;4000;125;579;453;457;589
0;0;4000;125;578;452;460;592
0;0;4000;125;579;452;459;589
0;0;4000;125;578;453;460;590
0;0;4000;125;579;452;459;591
0;0;4000;125;583;452;458;587
0;0;4000;125;579;454;457;590
0;0;4000;125;579;453;457;590
0;0;4000;125;580;449;459;591
0;0;4000;125;579;452;459;590
0;0;4000;125;572;450;459;590
0;0;4000;125;578;452;459;590
0;0;4000;125;580;452;457;590
0;0;4000;125;579;451;459;589
0;0;4000;125;580;449;458;589
0;0;4000;125;578;452;459;589
0;0;4000;125;579;450;458;590
0;0;4000;125;578;453;459;592
0;0;4000;125;579;451;458;592
0;0;4000;125;582;451;457;598
0;0;4000;125;578;452;459;591
0;0;4000;125;578;452;459;580
0;0;4000;125;578;449;460;588
0;0;4000;125;581;450;448;591
0;0;4000;125;580;448;460;590
0;0;4000;125;582;451;459;590
0;0;4000;125;579;455;455;589
0;0;4000;125;578;452;459;590
0;0;4000;125;578;450;459;588
0;0;4000;125;580;451;459;589
0;0;4000;125;585;451;461;591
0;0;4000;125;580;450;459;590
805;0;4000;125;583;457;456;584
805;0;4000;125;580;456;456;585
805;0;4000;125;583;454;456;585
805;0;4000;125;580;456;455;585
805;0;4000;125;585;456;457;585
805;0;4000;125;582;456;457;585
805;0;4000;125;581;455;455;585
805;0;4000;125;582;455;457;585
805;0;4000;125;582;456;457;586
805;0;4000;125;583;456;457;585
805;0;4000;125;583;456;454;585
805;0;4000;125;582;456;456;587
805;0;4000;125;582;457;456;585
805;0;4000;125;583;455;458;586
805;0;4000;125;583;454;456;586
805;0;4000;125;582;456;456;585
805;0;4000;125;577;457;457;587
805;0;4000;125;583;455;462;585
805;0;4000;125;582;456;457;577
805;0;4000;125;582;458;456;587
805;0;4000;125;583;462;456;580
805;0;4000;125;583;456;456;585
805;0;4000;125;583;458;448;584
805;0;4000;125;582;456;456;585
805;0;4000;125;582;467;457;584
805;0;4000;125;583;455;453;585
