POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;578;451;457;589
0;0;4000;125;563;449;458;587
0;0;4000;125;582;450;455;589
0;0;4000;125;577;450;456;588
0;0;4000;125;576;450;458;598
0;0;4000;125;579;448;457;588
0;0;4000;125;583;450;457;590
0;0;4000;125;577;448;455;589
0;0;4000;125;575;449;456;589
0;0;4000;125;586;440;457;589
0;0;4000;125;576;451;455;581
0;0;4000;125;576;460;457;594
0;0;4000;125;577;444;456;588
0;0;4000;125;576;450;456;589
0;0;4000;125;577;457;458;589
0;0;4000;125;583;450;456;588
0;0;4000;125;578;449;456;589
0;0;4000;125;578;454;454;584
0;0;4000;125;576;449;455;589
0;0;4000;125;579;449;456;588
1700;0;4000;125;582;455;446;579
1700;0;4000;125;583;455;454;582
1700;0;4000;125;580;459;452;579
1700;0;4000;125;580;456;452;581
1700;0;4000;125;580;448;451;581
1700;0;4000;125;580;457;451;580
1700;0;4000;125;580;458;451;580
1700;0;4000;125;581;456;454;581
1700;0;4000;125;580;455;446;571
1700;0;4000;125;580;461;451;582
1700;0;4000;125;589;448;448;581
1700;0;4000;125;580;448;452;582
1700;0;4000;125;581;452;452;581
1700;0;4000;125;582;456;450;580
1700;0;4000;125;573;455;451;581
1700;0;4000;125;580;458;452;581
1700;0;4000;125;582;456;450;582
1700;0;4000;125;581;455;450;581
1700;0;4000;125;578;456;449;581
1700;0;4000;125;580;455;452;580
3400;0;4000;125;582;456;450;578
3400;0;4000;125;580;456;452;578
3400;0;4000;125;581;457;449;579
3400;0;4000;125;579;458;449;579
3400;0;4000;125;581;455;451;578
3400;0;4000;125;581;453;452;580
3400;0;4000;125;580;458;450;578
3400;0;4000;125;580;460;450;578
3400;0;4000;125;580;455;450;578
3400;0;4000;125;581;456;451;578
3400;0;4000;125;581;460;451;578
3400;0;4000;125;581;456;450;579
3400;0;4000;125;581;456;449;579
3400;0;4000;125;580;456;450;571
3400;0;4000;125;580;456;448;577
3400;0;4000;125;580;456;450;573
3400;0;4000;125;580;454;450;577
3400;0;4000;125;581;456;450;577
3400;0;4000;125;580;466;448;578
3400;0;4000;125;577;456;450;578
5100;0;4000;125;580;462;450;578
5100;0;4000;125;579;456;450;577
5100;0;4000;125;583;458;450;579
5100;0;4000;125;580;458;449;579
5100;0;4000;125;580;457;449;578
5100;0;4000;125;581;458;450;578
5100;0;4000;125;578;460;450;577
5100;0;4000;125;581;456;459;585
5100;0;4000;125;581;457;449;579
5100;0;4000;125;581;457;449;579
5100;0;4000;125;584;453;450;578
5100;0;4000;125;580;456;450;578
5100;0;4000;125;581;457;449;578
5100;0;4000;125;574;456;448;577
5100;0;4000;125;573;451;450;577
5100;0;4000;125;581;456;449;577
5100;0;4000;125;580;456;448;578
5100;0;4000;125;581;456;450;579
5100;0;4000;125;574;454;451;576
5100;0;4000;125;580;453;454;578
6800;0;4000;125;580;455;450;577
6800;0;4000;125;580;456;449;577
6800;0;4000;125;579;456;448;576
6800;0;4000;125;580;446;456;584
6800;0;4000;125;579;457;453;582
6800;0;4000;125;580;456;446;569
6800;0;4000;125;580;457;450;577
6800;0;4000;125;581;457;448;577
6800;0;4000;125;580;455;449;584
6800;0;4000;125;577;457;457;578
6800;0;4000;125;586;455;449;577
6800;0;4000;125;586;455;449;577
6800;0;4000;125;580;458;451;576
6800;0;4000;125;580;455;450;577
6800;0;4000;125;579;457;449;577
6800;0;4000;125;577;463;454;587
6800;0;4000;125;579;456;451;577
6800;0;4000;125;580;456;449;577
6800;0;4000;125;581;449;448;577
6800;0;4000;125;582;442;449;577
8500;0;4000;125;580;458;450;577
8500;0;4000;125;580;457;451;576
8500;0;4000;125;579;473;449;576
8500;0;4000;125;580;455;450;578
8500;0;4000;125;578;463;449;576
8500;0;4000;125;579;457;453;579
8500;0;4000;125;580;456;449;577
8500;0;4000;125;579;457;448;576
8500;0;4000;125;580;455;449;575
8500;0;4000;125;580;453;448;576
8500;0;4000;125;581;458;448;577
8500;0;4000;125;581;457;453;576
8500;0;4000;125;577;455;447;575
8500;0;4000;125;579;455;450;576
8500;0;4000;125;580;464;450;576
8500;0;4000;125;580;456;448;576
8500;0;4000;125;580;450;450;576
8500;0;4000;125;579;457;449;577
8500;0;4000;125;580;455;449;576
8500;0;4000;125;575;462;450;576
10200;0;4000;125;578;456;448;576
10200;0;4000;125;581;465;448;578
10200;0;4000;125;581;454;446;577
10200;0;4000;125;580;456;442;567
10200;0;4000;125;578;455;452;583
10200;0;4000;125;580;456;448;575
10200;0;4000;125;581;456;441;567
