POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;581;451;459;590
0;0;4000;125;579;451;459;590
0;0;4000;125;579;453;459;590
0;0;4000;125;580;452;460;590
0;0;4000;125;579;451;461;590
0;0;4000;125;579;449;461;590
0;0;4000;125;578;448;460;589
0;0;4000;125;579;442;460;591
0;0;4000;125;579;450;459;584
0;0;4000;125;583;451;459;587
0;0;4000;125;581;451;460;589
0;0;4000;125;584;452;460;590
0;0;4000;125;580;451;460;591
0;0;4000;125;578;455;459;590
0;0;4000;125;573;453;459;584
0;0;4000;125;579;451;456;590
0;0;4000;125;579;451;460;583
0;0;4000;125;578;451;459;590
0;0;4000;125;579;452;459;591
0;0;4000;125;579;452;461;589
0;0;4000;125;579;451;469;590
0;0;4000;125;582;452;459;590
0;0;4000;125;578;452;458;590
0;0;4000;125;579;459;459;590
0;0;4000;125;578;452;461;591
0;0;4000;125;582;451;456;582
0;0;4000;125;579;452;458;588
0;0;4000;125;579;451;459;589
0;0;4000;125;580;453;459;591
0;0;4000;125;577;452;459;597
0;0;4000;125;577;453;460;591
0;0;4000;125;579;452;469;591
0;0;4000;125;580;451;459;595
0;0;4000;125;579;451;466;588
0;0;4000;125;577;450;459;590
0;0;4000;125;572;460;458;590
0;0;4000;125;579;452;459;592
0;0;4000;125;580;453;459;591
0;0;4000;125;578;452;459;591
0;0;4000;125;579;451;459;590
0;0;4000;125;577;445;459;582
0;0;4000;125;579;451;458;590
0;0;4000;125;579;448;460;591
0;0;4000;125;579;450;457;583
0;0;4000;125;579;450;456;591
0;0;4000;125;579;453;459;591
0;0;4000;125;580;451;459;592
0;0;4000;125;579;452;459;591
0;0;4000;125;578;452;460;590
0;0;4000;125;578;454;459;590
1092;0;4000;125;582;457;456;586
1092;0;4000;125;583;458;457;585
1092;0;4000;125;582;457;454;589
1092;0;4000;125;582;458;454;586
1092;0;4000;125;582;457;455;586
1092;0;4000;125;580;454;453;586
1092;0;4000;125;582;457;454;586
1092;0;4000;125;581;456;454;586
1092;0;4000;125;575;452;454;586
1092;0;4000;125;582;458;455;586
1092;0;4000;125;583;456;450;588
1092;0;4000;125;581;463;454;584
1092;0;4000;125;582;458;449;585
1092;0;4000;125;583;461;453;586
1092;0;4000;125;582;458;455;586
1092;0;4000;125;582;457;455;585
1092;0;4000;125;583;458;454;585
1092;0;4000;125;582;458;454;586
1092;0;4000;125;584;458;458;585
1092;0;4000;125;582;459;454;588
1092;0;4000;125;582;452;456;587
1092;0;4000;125;583;456;445;586
1092;0;4000;125;582;458;454;586
1092;0;4000;125;582;460;456;589
1092;0;4000;125;582;466;454;586
1092;0;4000;125;582;468;455;586
1092;0;4000;125;582;458;449;586
1092;0;4000;125;584;452;455;586
1092;0;4000;125;582;457;454;586
1092;0;4000;125;583;457;456;586
1092;0;4000;125;584;457;455;587
1092;0;4000;125;582;459;455;586
1092;0;4000;125;580;459;460;590
1092;0;4000;125;583;460;455;586
1092;0;4000;125;582;458;453;586
1092;0;4000;125;583;460;453;583
1092;0;4000;125;588;459;454;588
1092;0;4000;125;582;451;453;587
1092;0;4000;125;583;457;447;582
1092;0;4000;125;584;460;454;586
1092;0;4000;125;581;459;454;586
1092;0;4000;125;581;468;454;587
1092;0;4000;125;576;461;454;586
1092;0;4000;125;582;449;454;581
1092;0;4000;125;582;451;455;587
1092;0;4000;125;594;458;454;581
1092;0;4000;125;582;458;452;586
1092;0;4000;125;592;459;444;586
1092;0;4000;125;582;458;455;587
1092;0;4000;125;584;459;456;586
2184;0;4000;125;583;462;453;586
2184;0;4000;125;583;462;454;584
2184;0;4000;125;583;469;453;585
2184;0;4000;125;583;455;454;584
2184;0;4000;125;583;461;453;585
2184;0;4000;125;582;468;453;584
2184;0;4000;125;584;461;461;588
2184;0;4000;125;583;461;453;588
2184;0;4000;125;588;461;454;586
2184;0;4000;125;583;461;452;588
2184;0;4000;125;582;462;453;584
2184;0;4000;125;583;462;460;585
2184;0;4000;125;584;455;453;584
2184;0;4000;125;582;461;454;585
2184;0;4000;125;575;462;462;584
2184;0;4000;125;583;464;453;585
2184;0;4000;125;583;461;454;583
2184;0;4000;125;585;461;453;587
2184;0;4000;125;582;461;452;588
2184;0;4000;125;582;461;452;585
2184;0;4000;125;582;463;451;585
2184;0;4000;125;582;461;453;585
2184;0;4000;125;582;461;458;585
2184;0;4000;125;584;461;453;585
2184;0;4000;125;582;462;453;585
2184;0;4000;125;584;461;453;578
2184;0;4000;125;584;461;451;592
2184;0;4000;125;583;462;445;590
2184;0;4000;125;584;461;452;584
2184;0;4000;125;583;464;453;586
2184;0;4000;125;581;464;452;585
2184;0;4000;125;583;465;452;581
2184;0;4000;125;581;462;450;586
2184;0;4000;125;584;461;453;584
2184;0;4000;125;585;456;453;577
2184;0;4000;125;585;461;453;585
2184;0;4000;125;583;462;451;584
2184;0;4000;125;583;462;451;590
2184;0;4000;125;583;461;453;586
2184;0;4000;125;585;461;453;585
2184;0;4000;125;572;462;453;585
2184;0;4000;125;578;462;453;584
2184;0;4000;125;575;462;453;585
2184;0;4000;125;583;461;454;586
2184;0;4000;125;582;461;453;584
2184;0;4000;125;584;462;461;585
2184;0;4000;125;582;463;453;585
2184;0;4000;125;583;462;453;584
2184;0;4000;125;583;469;453;585
2184;0;4000;125;581;461;455;584
3276;0;4000;125;583;464;451;588
3276;0;4000;125;583;462;451;584
3276;0;4000;125;587;466;453;584
