POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;575;445;455;586
0;0;4000;125;574;443;456;587
0;0;4000;125;565;444;452;586
0;0;4000;125;574;444;456;586
0;0;4000;125;571;443;455;587
0;0;4000;125;574;444;456;585
0;0;4000;125;579;444;457;587
0;0;4000;125;574;435;459;587
0;0;4000;125;574;445;455;586
0;0;4000;125;574;444;454;586
0;0;4000;125;567;447;456;587
0;0;4000;125;574;446;455;586
0;0;4000;125;573;444;456;597
0;0;4000;125;574;444;455;587
0;0;4000;125;572;448;454;589
0;0;4000;125;574;436;456;587
0;0;4000;125;575;444;450;592
0;0;4000;125;576;447;454;586
0;0;4000;125;574;444;455;587
0;0;4000;125;575;443;456;587
1700;0;4000;125;592;454;452;580
1700;0;4000;125;583;455;453;580
1700;0;4000;125;582;456;452;579
1700;0;4000;125;574;453;461;579
1700;0;4000;125;583;454;452;578
1700;0;4000;125;583;452;460;581
1700;0;4000;125;584;444;457;580
1700;0;4000;125;583;453;457;580
1700;0;4000;125;581;454;454;585
1700;0;4000;125;585;454;453;575
1700;0;4000;125;581;453;451;580
1700;0;4000;125;582;452;453;580
1700;0;4000;125;584;453;452;581
1700;0;4000;125;570;448;453;581
1700;0;4000;125;583;453;452;577
1700;0;4000;125;581;454;453;579
1700;0;4000;125;585;453;454;580
1700;0;4000;125;582;461;453;581
1700;0;4000;125;570;454;453;580
1700;0;4000;125;583;454;460;580
3400;0;4000;125;580;456;455;579
3400;0;4000;125;589;456;454;578
3400;0;4000;125;584;456;454;579
3400;0;4000;125;585;457;453;577
3400;0;4000;125;585;457;453;583
3400;0;4000;125;586;462;453;579
3400;0;4000;125;582;456;453;578
3400;0;4000;125;585;456;453;578
3400;0;4000;125;585;457;454;578
3400;0;4000;125;585;457;453;579
3400;0;4000;125;587;458;452;579
3400;0;4000;125;585;464;454;579
3400;0;4000;125;589;457;460;578
3400;0;4000;125;592;463;454;574
3400;0;4000;125;585;456;454;579
3400;0;4000;125;585;456;444;578
3400;0;4000;125;592;456;455;578
3400;0;4000;125;585;458;455;579
3400;0;4000;125;584;456;458;579
3400;0;4000;125;585;455;455;579
5100;0;4000;125;586;456;453;589
5100;0;4000;125;586;458;462;579
5100;0;4000;125;591;457;453;579
5100;0;4000;125;586;458;455;579
5100;0;4000;125;589;457;454;578
5100;0;4000;125;588;458;454;587
5100;0;4000;125;588;457;451;578
5100;0;4000;125;585;457;462;579
5100;0;4000;125;582;457;454;579
5100;0;4000;125;587;455;459;579
5100;0;4000;125;586;457;454;581
5100;0;4000;125;586;457;450;570
5100;0;4000;125;589;458;455;585
5100;0;4000;125;586;455;454;574
5100;0;4000;125;586;458;461;579
5100;0;4000;125;587;450;455;579
5100;0;4000;125;586;456;452;579
5100;0;4000;125;588;457;455;581
5100;0;4000;125;583;458;454;580
5100;0;4000;125;583;457;453;580
6800;0;4000;125;587;457;455;578
6800;0;4000;125;590;458;457;580
6800;0;4000;125;587;458;455;580
6800;0;4000;125;587;458;455;579
6800;0;4000;125;587;458;455;575
6800;0;4000;125;585;458;455;580
6800;0;4000;125;587;458;456;579
6800;0;4000;125;587;459;453;580
6800;0;4000;125;589;458;453;590
6800;0;4000;125;587;461;455;579
6800;0;4000;125;587;457;450;580
6800;0;4000;125;587;458;462;581
6800;0;4000;125;588;458;455;579
6800;0;4000;125;585;458;455;578
6800;0;4000;125;584;458;454;579
6800;0;4000;125;587;458;455;578
6800;0;4000;125;579;462;456;583
6800;0;4000;125;578;458;459;579
6800;0;4000;125;589;462;454;581
6800;0;4000;125;588;459;461;580
8500;0;4000;125;588;459;456;580
8500;0;4000;125;587;457;462;579
8500;0;4000;125;587;451;456;580
8500;0;4000;125;588;459;455;580
8500;0;4000;125;589;459;455;575
8500;0;4000;125;588;458;457;580
8500;0;4000;125;588;459;455;582
