POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;583;463;464;602
0;0;4000;125;583;464;464;602
0;0;4000;125;584;463;464;602
0;0;4000;125;583;463;464;614
0;0;4000;125;584;463;459;601
0;0;4000;125;583;463;463;603
0;0;4000;125;579;463;463;602
0;0;4000;125;583;463;464;602
0;0;4000;125;583;463;464;602
0;0;4000;125;583;460;464;602
0;0;4000;125;597;463;463;602
0;0;4000;125;584;463;455;601
0;0;4000;125;583;464;464;614
0;0;4000;125;584;463;464;603
0;0;4000;125;584;463;463;603
0;0;4000;125;584;463;463;589
0;0;4000;125;584;464;465;603
0;0;4000;125;584;463;463;602
0;0;4000;125;583;463;465;603
0;0;4000;125;583;461;464;602
1700;0;4000;125;581;470;458;595
1700;0;4000;125;587;468;464;599
1700;0;4000;125;587;470;462;597
1700;0;4000;125;587;469;443;596
1700;0;4000;125;588;469;469;596
1700;0;4000;125;592;470;445;596
1700;0;4000;125;587;470;458;595
1700;0;4000;125;587;470;458;583
1700;0;4000;125;588;469;458;595
1700;0;4000;125;587;470;458;596
1700;0;4000;125;588;470;459;595
1700;0;4000;125;587;469;447;588
1700;0;4000;125;587;470;459;595
1700;0;4000;125;588;470;456;586
1700;0;4000;125;587;470;456;595
1700;0;4000;125;587;470;459;595
1700;0;4000;125;588;470;471;605
1700;0;4000;125;587;470;460;596
1700;0;4000;125;587;470;458;595
1700;0;4000;125;587;469;459;595
3400;0;4000;125;588;471;457;594
3400;0;4000;125;588;471;457;594
3400;0;4000;125;588;472;457;594
3400;0;4000;125;591;478;453;594
3400;0;4000;125;594;471;457;594
3400;0;4000;125;588;471;458;598
3400;0;4000;125;587;468;457;595
3400;0;4000;125;587;473;457;594
3400;0;4000;125;587;470;445;594
3400;0;4000;125;588;471;457;594
3400;0;4000;125;588;471;458;594
3400;0;4000;125;582;471;460;605
3400;0;4000;125;588;468;457;601
3400;0;4000;125;587;466;460;594
3400;0;4000;125;588;472;460;605
3400;0;4000;125;589;471;457;594
3400;0;4000;125;587;474;458;594
3400;0;4000;125;588;472;458;594
3400;0;4000;125;587;471;470;596
3400;0;4000;125;588;472;467;594
5100;0;4000;125;587;472;456;593
5100;0;4000;125;591;471;457;586
5100;0;4000;125;588;472;448;590
5100;0;4000;125;590;472;457;594
5100;0;4000;125;588;472;450;591
5100;0;4000;125;588;472;457;593
5100;0;4000;125;587;472;457;594
5100;0;4000;125;587;473;470;605
