POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4000;125;576;449;457;587
0;0;4000;125;576;448;457;587
0;0;4000;125;582;447;456;592
0;0;4000;125;576;448;453;587
0;0;4000;125;575;448;456;586
0;0;4000;125;577;450;456;589
0;0;4000;125;578;448;458;587
0;0;4000;125;576;447;460;586
0;0;4000;125;577;449;457;586
0;0;4000;125;577;448;456;589
0;0;4000;125;576;448;456;587
0;0;4000;125;578;448;458;586
0;0;4000;125;576;448;456;585
0;0;4000;125;576;448;454;587
0;0;4000;125;581;446;455;586
0;0;4000;125;576;447;457;587
0;0;4000;125;577;447;456;587
0;0;4000;125;578;447;463;586
0;0;4000;125;576;447;449;586
0;0;4000;125;578;447;456;588
0;0;4000;125;577;448;451;586
0;0;4000;125;577;448;457;588
0;0;4000;125;577;446;457;583
0;0;4000;125;575;448;459;586
0;0;4000;125;576;448;456;584
0;0;4000;125;576;448;458;585
0;0;4000;125;577;448;455;587
0;0;4000;125;576;447;456;585
0;0;4000;125;575;447;456;581
0;0;4000;125;575;448;458;586
0;0;4000;125;583;447;457;585
0;0;4000;125;573;448;457;588
0;0;4000;125;575;448;456;587
0;0;4000;125;576;453;456;589
0;0;4000;125;575;446;456;586
0;0;4000;125;576;442;456;587
0;0;4000;125;576;449;455;587
0;0;4000;125;574;447;456;586
0;0;4000;125;583;445;454;586
0;0;4000;125;576;449;457;586
0;0;4000;125;577;447;456;587
0;0;4000;125;578;448;459;588
0;0;4000;125;576;447;456;587
0;0;4000;125;576;448;451;586
0;0;4000;125;576;447;457;587
0;0;4000;125;576;447;456;587
0;0;4000;125;576;447;457;585
0;0;4000;125;578;447;457;586
0;0;4000;125;576;447;456;586
0;0;4000;125;577;447;460;586
1092;0;4000;125;581;453;453;580
1092;0;4000;125;580;454;452;580
1092;0;4000;125;579;454;459;586
1092;0;4000;125;583;454;453;580
1092;0;4000;125;581;448;452;581
1092;0;4000;125;587;453;452;582
1092;0;4000;125;574;453;454;580
1092;0;4000;125;580;452;452;575
1092;0;4000;125;580;453;449;582
1092;0;4000;125;582;453;452;580
1092;0;4000;125;579;453;453;582
1092;0;4000;125;579;454;451;580
1092;0;4000;125;580;454;451;580
1092;0;4000;125;582;453;452;574
1092;0;4000;125;581;456;452;581
1092;0;4000;125;585;452;446;580
1092;0;4000;125;581;452;452;580
1092;0;4000;125;581;454;449;585
1092;0;4000;125;580;461;452;582
1092;0;4000;125;587;450;465;573
1092;0;4000;125;580;453;455;581
1092;0;4000;125;582;453;452;581
1092;0;4000;125;580;453;452;580
1092;0;4000;125;580;453;452;579
1092;0;4000;125;580;453;453;582
1092;0;4000;125;581;452;452;580
1092;0;4000;125;581;455;454;580
1092;0;4000;125;580;452;452;581
1092;0;4000;125;580;452;451;580
1092;0;4000;125;580;453;452;580
1092;0;4000;125;582;457;452;581
1092;0;4000;125;582;452;452;578
1092;0;4000;125;580;453;452;580
1092;0;4000;125;581;450;452;580
1092;0;4000;125;580;456;452;582
1092;0;4000;125;582;452;455;572
1092;0;4000;125;578;451;451;577
1092;0;4000;125;583;453;451;582
1092;0;4000;125;580;448;452;580
1092;0;4000;125;581;453;452;577
1092;0;4000;125;580;453;452;580
1092;0;4000;125;578;459;452;580
1092;0;4000;125;581;451;448;580
1092;0;4000;125;580;452;452;581
1092;0;4000;125;580;452;450;574
1092;0;4000;125;582;452;451;579
1092;0;4000;125;578;453;453;580
1092;0;4000;125;582;453;453;580
1092;0;4000;125;580;453;452;579
1092;0;4000;125;579;457;450;581
2184;0;4000;125;582;456;452;579
2184;0;4000;125;581;457;450;579
2184;0;4000;125;581;455;452;578
2184;0;4000;125;579;455;450;577
2184;0;4000;125;582;454;447;579
2184;0;4000;125;580;455;451;583
2184;0;4000;125;580;455;451;586
2184;0;4000;125;581;456;450;578
2184;0;4000;125;587;451;456;578
2184;0;4000;125;581;455;452;578
2184;0;4000;125;580;455;451;578
2184;0;4000;125;582;454;453;578
2184;0;4000;125;581;455;451;578
2184;0;4000;125;581;462;451;578
2184;0;4000;125;578;454;451;578
2184;0;4000;125;579;455;448;579
2184;0;4000;125;581;462;457;578
2184;0;4000;125;581;456;453;581
2184;0;4000;125;583;455;450;578
2184;0;4000;125;582;463;445;578
2184;0;4000;125;578;455;450;577
2184;0;4000;125;583;454;451;578
2184;0;4000;125;582;452;451;580
2184;0;4000;125;583;454;451;577
2184;0;4000;125;582;455;451;577
2184;0;4000;125;581;454;452;578
2184;0;4000;125;582;460;457;579
2184;0;4000;125;581;454;451;576
2184;0;4000;125;582;446;451;574
2184;0;4000;125;582;455;449;579
2184;0;4000;125;580;455;450;579
2184;0;4000;125;581;455;451;578
2184;0;4000;125;582;455;450;569
2184;0;4000;125;581;455;451;578
2184;0;4000;125;582;455;449;579
2184;0;4000;125;580;454;452;578
2184;0;4000;125;574;454;451;578
2184;0;4000;125;579;456;449;577
2184;0;4000;125;581;455;455;580
2184;0;4000;125;582;446;447;578
