POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1640;125;533;427;421;522
0;0;1640;125;527;423;413;520
1922;0;1640;125;531;429;409;511
1922;0;1640;125;532;424;404;509
3844;0;1640;125;531;430;407;511
3844;0;1640;125;534;427;403;510
5766;0;1640;125;531;431;407;511
5766;0;1640;125;534;428;403;510
7688;0;1640;125;531;431;407;511
7688;0;1640;125;534;429;403;511
9610;0;1640;125;531;432;407;512
9610;0;1640;125;534;429;403;511
11532;0;1640;125;532;432;407;512
11532;0;1640;125;534;429;403;511
13454;0;1640;125;532;433;407;512
13454;0;1640;125;535;430;403;512
15376;0;1640;125;532;433;406;513
15376;0;1640;125;535;430;403;511
17298;0;1640;125;535;435;404;512
17298;0;1640;125;538;431;400;511
0;1325;1640;125;528;429;416;524
0;1325;1640;125;530;424;411;522
1922;1325;1640;125;528;432;408;517
1922;1325;1640;125;532;429;404;515
3844;1325;1640;125;528;433;406;514
3844;1325;1640;125;531;430;402;513
5766;1325;1640;125;528;433;405;514
5766;1325;1640;125;531;430;401;513
7688;1325;1640;125;527;433;404;514
7688;1325;1640;125;531;430;401;513
9610;1325;1640;125;527;433;404;514
9610;1325;1640;125;530;430;400;513
11532;1325;1640;125;526;433;404;514
11532;1325;1640;125;530;430;400;513
13454;1325;1640;125;526;433;403;514
13454;1325;1640;125;529;430;400;513
15376;1325;1640;125;527;433;403;514
15376;1325;1640;125;530;430;399;513
17298;1325;1640;125;528;435;400;512
17298;1325;1640;125;532;432;397;511
0;2650;1640;125;529;422;420;519
0;2650;1640;125;529;417;414;516
1922;2650;1640;125;530;424;411;509
1922;2650;1640;125;532;420;406;507
3844;2650;1640;125;530;425;408;505
3844;2650;1640;125;533;421;403;503
5766;2650;1640;125;530;424;406;504
5766;2650;1640;125;533;420;402;502
7688;2650;1640;125;529;422;406;503
7688;2650;1640;125;532;419;402;502
9610;2650;1640;125;529;422;406;502
9610;2650;1640;125;532;418;402;501
11532;2650;1640;125;529;421;406;502
11532;2650;1640;125;532;417;402;501
13454;2650;1640;125;528;420;406;501
13454;2650;1640;125;531;417;402;500
15376;2650;1640;125;529;420;406;500
15376;2650;1640;125;531;417;402;499
17298;2650;1640;125;531;421;404;499
17298;2650;1640;125;533;418;400;498
0;3975;1640;125;529;415;421;513
0;3975;1640;125;529;410;415;510
1922;3975;1640;125;529;418;412;503
1922;3975;1640;125;532;414;407;502
3844;3975;1640;125;531;420;407;499
3844;3975;1640;125;534;416;403;497
5766;3975;1640;125;534;420;403;497
5766;3975;1640;125;536;417;399;496
7688;3975;1640;125;532;417;404;500
7688;3975;1640;125;534;413;400;499
9610;3975;1640;125;531;416;405;499
9610;3975;1640;125;533;413;401;498
11532;3975;1640;125;530;417;406;502
11532;3975;1640;125;532;414;402;503
13454;3975;1640;125;527;418;408;502
13454;3975;1640;125;529;415;405;502
15376;3975;1640;125;528;418;407;500
15376;3975;1640;125;530;415;403;498
17298;3975;1640;125;530;419;404;497
17298;3975;1640;125;533;415;401;496
0;5300;1640;125;526;413;419;511
0;5300;1640;125;527;408;413;508
1922;5300;1640;125;527;417;409;501
1922;5300;1640;125;530;413;404;500
3844;5300;1640;125;533;423;398;493
3844;5300;1640;125;537;419;394;491
5766;5300;1640;125;557;442;367;472
5766;5300;1640;125;561;440;364;471
7688;5300;1640;125;553;421;371;495
7688;5300;1640;125;558;418;368;493
9610;5300;1640;125;536;410;392;505
9610;5300;1640;125;539;407;388;504
11532;5300;1640;125;523;396;407;520
11532;5300;1640;125;525;393;404;518
13454;5300;1640;125;509;401;424;514
13454;5300;1640;125;510;397;419;513
15376;5300;1640;125;523;414;407;499
15376;5300;1640;125;525;410;402;498
17298;5300;1640;125;526;416;402;496
17298;5300;1640;125;529;413;398;494
