PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0.00;0.00;1750.00;125.00;511.00;397.00;408.00;509.00
805.00;0.00;1750.00;125.00;507.00;400.00;395.00;503.00
1610.00;0.00;1750.00;125.00;505.00;402.00;391.00;501.00
2415.00;0.00;1750.00;125.00;505.00;403.00;388.00;500.00
3220.00;0.00;1750.00;125.00;505.00;404.00;387.00;501.00
4025.00;0.00;1750.00;125.00;505.00;404.00;387.00;501.00
4830.00;0.00;1750.00;125.00;505.00;405.00;386.00;501.00
5635.00;0.00;1750.00;125.00;505.00;406.00;386.00;501.00
6440.00;0.00;1750.00;125.00;506.00;406.00;386.00;502.00
7245.00;0.00;1750.00;125.00;506.00;407.00;386.00;502.00
8050.00;0.00;1750.00;125.00;507.00;407.00;385.00;502.00
8855.00;0.00;1750.00;125.00;508.00;408.00;384.00;502.00
9660.00;0.00;1750.00;125.00;510.00;410.00;382.00;500.00
10465.00;0.00;1750.00;125.00;520.00;418.00;369.00;491.00
0.00;950.00;1750.00;125.00;505.00;401.00;397.00;513.00
805.00;950.00;1750.00;125.00;506.00;405.00;391.00;508.00
0.00;1900.00;1750.00;125.00;503.00;401.00;396.00;512.00
805.00;1900.00;1750.00;125.00;505.00;405.00;391.00;508.00
0.00;2850.00;1750.00;125.00;504.00;402.00;396.00;513.00
805.00;2850.00;1750.00;125.00;506.00;405.00;391.00;508.00
0.00;3800.00;1750.00;125.00;504.00;403.00;396.00;513.00
805.00;3800.00;1750.00;125.00;506.00;405.00;391.00;508.00
0.00;4750.00;1750.00;125.00;504.00;402.00;396.00;513.00
805.00;4750.00;1750.00;125.00;505.00;406.00;391.00;508.00
0.00;5700.00;1750.00;125.00;504.00;403.00;396.00;513.00
805.00;5700.00;1750.00;125.00;506.00;406.00;391.00;509.00
0.00;6650.00;1750.00;125.00;504.00;403.00;395.00;511.00
805.00;6650.00;1750.00;125.00;506.00;406.00;391.00;508.00
0.00;7600.00;1750.00;125.00;504.00;403.00;395.00;512.00
805.00;7600.00;1750.00;125.00;506.00;406.00;391.00;508.00
0.00;8550.00;1750.00;125.00;505.00;403.00;395.00;513.00
805.00;8550.00;1750.00;125.00;506.00;406.00;391.00;509.00
0.00;9500.00;1750.00;125.00;505.00;404.00;395.00;513.00
