PositionsExploration:;NumX=;25;NumY=;7;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0.00;0.00;1750.00;125.00;514.00;401.00;409.00;511.00
637.00;0.00;1750.00;125.00;508.00;402.00;398.00;504.00
1274.00;0.00;1750.00;125.00;508.00;403.00;394.00;502.00
1911.00;0.00;1750.00;125.00;507.00;404.00;392.00;501.00
2548.00;0.00;1750.00;125.00;507.00;404.00;392.00;501.00
3185.00;0.00;1750.00;125.00;507.00;405.00;391.00;501.00
3822.00;0.00;1750.00;125.00;507.00;405.00;391.00;501.00
4459.00;0.00;1750.00;125.00;508.00;405.00;391.00;501.00
5096.00;0.00;1750.00;125.00;508.00;406.00;391.00;501.00
5733.00;0.00;1750.00;125.00;508.00;406.00;391.00;501.00
6370.00;0.00;1750.00;125.00;509.00;407.00;392.00;502.00
7007.00;0.00;1750.00;125.00;509.00;407.00;392.00;502.00
7644.00;0.00;1750.00;125.00;509.00;407.00;392.00;502.00
8281.00;0.00;1750.00;125.00;509.00;407.00;392.00;502.00
8918.00;0.00;1750.00;125.00;509.00;407.00;392.00;503.00
9555.00;0.00;1750.00;125.00;509.00;407.00;392.00;503.00
10192.00;0.00;1750.00;125.00;509.00;408.00;392.00;503.00
10829.00;0.00;1750.00;125.00;510.00;408.00;393.00;503.00
11466.00;0.00;1750.00;125.00;510.00;408.00;393.00;503.00
12103.00;0.00;1750.00;125.00;510.00;408.00;392.00;503.00
12740.00;0.00;1750.00;125.00;510.00;408.00;393.00;503.00
13377.00;0.00;1750.00;125.00;511.00;408.00;392.00;503.00
14014.00;0.00;1750.00;125.00;511.00;409.00;391.00;503.00
14651.00;0.00;1750.00;125.00;512.00;409.00;390.00;503.00
15288.00;0.00;1750.00;125.00;515.00;411.00;387.00;501.00
0.00;2216.00;1750.00;125.00;510.00;403.00;404.00;511.00
637.00;2216.00;1750.00;125.00;508.00;404.00;398.00;506.00
1274.00;2216.00;1750.00;125.00;508.00;406.00;396.00;504.00
1911.00;2216.00;1750.00;125.00;509.00;407.00;394.00;503.00
2548.00;2216.00;1750.00;125.00;510.00;407.00;394.00;503.00
3185.00;2216.00;1750.00;125.00;510.00;408.00;393.00;502.00
3822.00;2216.00;1750.00;125.00;511.00;408.00;392.00;502.00
4459.00;2216.00;1750.00;125.00;511.00;408.00;391.00;502.00
5096.00;2216.00;1750.00;125.00;511.00;408.00;391.00;503.00
5733.00;2216.00;1750.00;125.00;512.00;407.00;392.00;503.00
6370.00;2216.00;1750.00;125.00;511.00;407.00;392.00;504.00
7007.00;2216.00;1750.00;125.00;511.00;407.00;393.00;504.00
7644.00;2216.00;1750.00;125.00;511.00;407.00;393.00;504.00
8281.00;2216.00;1750.00;125.00;511.00;407.00;393.00;504.00
8918.00;2216.00;1750.00;125.00;511.00;407.00;392.00;504.00
9555.00;2216.00;1750.00;125.00;511.00;407.00;393.00;504.00
10192.00;2216.00;1750.00;125.00;510.00;407.00;393.00;505.00
10829.00;2216.00;1750.00;125.00;510.00;407.00;394.00;505.00
11466.00;2216.00;1750.00;125.00;509.00;407.00;395.00;505.00
12103.00;2216.00;1750.00;125.00;509.00;407.00;395.00;504.00
12740.00;2216.00;1750.00;125.00;509.00;407.00;394.00;504.00
13377.00;2216.00;1750.00;125.00;510.00;408.00;394.00;503.00
14014.00;2216.00;1750.00;125.00;511.00;409.00;393.00;503.00
14651.00;2216.00;1750.00;125.00;513.00;409.00;391.00;502.00
24.61;3.40;5.74;125.00;515.00;411.00;389.00;501.00
