PositionsExploration:;NumX=;20;NumY=;15;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0.00;0.00;1750.00;125.00;517.00;402.00;410.00;512.00
805.00;0.00;1750.00;125.00;511.00;404.00;400.00;506.00
1610.00;0.00;1750.00;125.00;511.00;405.00;396.00;504.00
2415.00;0.00;1750.00;125.00;510.00;406.00;394.00;503.00
3220.00;0.00;1750.00;125.00;510.00;407.00;394.00;503.00
4025.00;0.00;1750.00;125.00;510.00;408.00;394.00;504.00
4830.00;0.00;1750.00;125.00;511.00;408.00;394.00;504.00
5635.00;0.00;1750.00;125.00;510.00;408.00;394.00;504.00
6440.00;0.00;1750.00;125.00;511.00;409.00;394.00;504.00
7245.00;0.00;1750.00;125.00;511.00;409.00;394.00;504.00
8050.00;0.00;1750.00;125.00;511.00;409.00;394.00;505.00
8855.00;0.00;1750.00;125.00;511.00;409.00;394.00;505.00
9660.00;0.00;1750.00;125.00;511.00;410.00;394.00;505.00
10465.00;0.00;1750.00;125.00;512.00;410.00;393.00;505.00
11270.00;0.00;1750.00;125.00;512.00;410.00;393.00;505.00
12075.00;0.00;1750.00;125.00;512.00;410.00;393.00;505.00
12880.00;0.00;1750.00;125.00;513.00;411.00;393.00;506.00
13685.00;0.00;1750.00;125.00;514.00;411.00;392.00;505.00
14490.00;0.00;1750.00;125.00;514.00;411.00;391.00;505.00
15295.00;0.00;1750.00;125.00;517.00;413.00;388.00;503.00
0.00;950.00;1750.00;125.00;513.00;405.00;404.00;513.00
805.00;950.00;1750.00;125.00;511.00;407.00;398.00;508.00
1610.00;950.00;1750.00;125.00;511.00;408.00;396.00;507.00
2415.00;950.00;1750.00;125.00;511.00;409.00;395.00;506.00
3220.00;950.00;1750.00;125.00;511.00;409.00;395.00;505.00
4025.00;950.00;1750.00;125.00;511.00;409.00;395.00;505.00
4830.00;950.00;1750.00;125.00;511.00;410.00;394.00;505.00
5635.00;950.00;1750.00;125.00;511.00;409.00;395.00;505.00
6440.00;950.00;1750.00;125.00;511.00;410.00;395.00;505.00
7245.00;950.00;1750.00;125.00;511.00;410.00;395.00;505.00
8050.00;950.00;1750.00;125.00;512.00;410.00;394.00;505.00
8855.00;950.00;1750.00;125.00;512.00;410.00;395.00;505.00
9660.00;950.00;1750.00;125.00;512.00;410.00;394.00;505.00
10465.00;950.00;1750.00;125.00;512.00;410.00;394.00;505.00
11270.00;950.00;1750.00;125.00;512.00;410.00;394.00;505.00
12075.00;950.00;1750.00;125.00;513.00;410.00;394.00;505.00
12880.00;950.00;1750.00;125.00;513.00;410.00;393.00;505.00
13685.00;950.00;1750.00;125.00;513.00;410.00;392.00;505.00
14490.00;950.00;1750.00;125.00;514.00;411.00;391.00;505.00
15295.00;950.00;1750.00;125.00;518.00;412.00;387.00;503.00
0.00;1900.00;1750.00;125.00;512.00;405.00;404.00;512.00
805.00;1900.00;1750.00;125.00;511.00;407.00;399.00;508.00
1610.00;1900.00;1750.00;125.00;511.00;409.00;397.00;507.00
2415.00;1900.00;1750.00;125.00;511.00;409.00;396.00;506.00
