PositionsExploration:;NumX=;25;NumY=;7;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0.00;0.00;1750.00;125.00;515.00;402.00;409.00;512.00
637.00;0.00;1750.00;125.00;509.00;404.00;399.00;507.00
1274.00;0.00;1750.00;125.00;508.00;405.00;395.00;505.00
1911.00;0.00;1750.00;125.00;509.00;406.00;393.00;504.00
2548.00;0.00;1750.00;125.00;508.00;407.00;392.00;504.00
3185.00;0.00;1750.00;125.00;508.00;407.00;392.00;503.00
3822.00;0.00;1750.00;125.00;509.00;408.00;392.00;503.00
4459.00;0.00;1750.00;125.00;509.00;408.00;392.00;503.00
5096.00;0.00;1750.00;125.00;509.00;408.00;392.00;504.00
5733.00;0.00;1750.00;125.00;509.00;408.00;392.00;504.00
6370.00;0.00;1750.00;125.00;509.00;409.00;392.00;504.00
7007.00;0.00;1750.00;125.00;509.00;409.00;392.00;504.00
7644.00;0.00;1750.00;125.00;509.00;409.00;392.00;504.00
8281.00;0.00;1750.00;125.00;509.00;409.00;392.00;505.00
8918.00;0.00;1750.00;125.00;510.00;409.00;392.00;504.00
9555.00;0.00;1750.00;125.00;510.00;409.00;392.00;505.00
10192.00;0.00;1750.00;125.00;510.00;409.00;393.00;505.00
10829.00;0.00;1750.00;125.00;510.00;410.00;392.00;505.00
11466.00;0.00;1750.00;125.00;510.00;410.00;393.00;505.00
12103.00;0.00;1750.00;125.00;511.00;410.00;393.00;505.00
12740.00;0.00;1750.00;125.00;511.00;410.00;392.00;505.00
13377.00;0.00;1750.00;125.00;511.00;410.00;392.00;505.00
14014.00;0.00;1750.00;125.00;512.00;410.00;391.00;505.00
14651.00;0.00;1750.00;125.00;513.00;411.00;390.00;504.00
15288.00;0.00;1750.00;125.00;516.00;412.00;387.00;503.00
0.00;2216.00;1750.00;125.00;511.00;405.00;404.00;513.00
637.00;2216.00;1750.00;125.00;509.00;407.00;399.00;509.00
1274.00;2216.00;1750.00;125.00;509.00;408.00;396.00;507.00
1911.00;2216.00;1750.00;125.00;510.00;409.00;395.00;506.00
2548.00;2216.00;1750.00;125.00;510.00;409.00;394.00;505.00
3185.00;2216.00;1750.00;125.00;510.00;410.00;393.00;505.00
3822.00;2216.00;1750.00;125.00;511.00;410.00;392.00;504.00
4459.00;2216.00;1750.00;125.00;511.00;410.00;392.00;504.00
5096.00;2216.00;1750.00;125.00;512.00;410.00;392.00;505.00
5733.00;2216.00;1750.00;125.00;512.00;409.00;392.00;505.00
6370.00;2216.00;1750.00;125.00;512.00;409.00;392.00;506.00
7007.00;2216.00;1750.00;125.00;511.00;409.00;393.00;506.00
7644.00;2216.00;1750.00;125.00;511.00;409.00;393.00;506.00
8281.00;2216.00;1750.00;125.00;511.00;409.00;393.00;506.00
8918.00;2216.00;1750.00;125.00;511.00;409.00;393.00;505.00
9555.00;2216.00;1750.00;125.00;511.00;409.00;393.00;506.00
10192.00;2216.00;1750.00;125.00;511.00;409.00;393.00;506.00
10829.00;2216.00;1750.00;125.00;511.00;409.00;394.00;506.00
11466.00;2216.00;1750.00;125.00;510.00;409.00;394.00;506.00
12103.00;2216.00;1750.00;125.00;510.00;409.00;395.00;506.00
12740.00;2216.00;1750.00;125.00;510.00;410.00;394.00;506.00
13377.00;2216.00;1750.00;125.00;511.00;410.00;393.00;505.00
14014.00;2216.00;1750.00;125.00;511.00;410.00;392.00;504.00
14651.00;2216.00;1750.00;125.00;513.00;411.00;391.00;504.00
15288.00;2216.00;1750.00;125.00;515.00;412.00;388.00;502.00
0.00;4432.00;1750.00;125.00;511.00;405.00;405.00;513.00
637.00;4432.00;1750.00;125.00;509.00;407.00;399.00;509.00
1274.00;4432.00;1750.00;125.00;510.00;408.00;396.00;506.00
1911.00;4432.00;1750.00;125.00;511.00;409.00;394.00;505.00
2548.00;4432.00;1750.00;125.00;513.00;411.00;390.00;503.00
0.00;6648.00;1750.00;125.00;509.00;405.00;401.00;512.00
637.00;6648.00;1750.00;125.00;509.00;407.00;397.00;508.00
1274.00;6648.00;1750.00;125.00;511.00;409.00;393.00;505.00
0.00;8864.00;1750.00;125.00;508.00;405.00;401.00;512.00
637.00;8864.00;1750.00;125.00;508.00;407.00;397.00;508.00
1274.00;8864.00;1750.00;125.00;510.00;409.00;394.00;506.00
0.00;11080.00;1750.00;125.00;508.00;405.00;401.00;512.00
637.00;11080.00;1750.00;125.00;508.00;406.00;397.00;509.00
1274.00;11080.00;1750.00;125.00;509.00;408.00;395.00;507.00
1911.00;11080.00;1750.00;125.00;510.00;409.00;394.00;506.00
2548.00;11080.00;1750.00;125.00;510.00;410.00;393.00;505.00
3185.00;11080.00;1750.00;125.00;511.00;410.00;392.00;504.00
3822.00;11080.00;1750.00;125.00;513.00;411.00;390.00;504.00
4459.00;11080.00;1750.00;125.00;514.00;411.00;389.00;503.00
5096.00;11080.00;1750.00;125.00;515.00;411.00;388.00;504.00
5733.00;11080.00;1750.00;125.00;514.00;409.00;389.00;505.00
6370.00;11080.00;1750.00;125.00;514.00;408.00;389.00;507.00
7007.00;11080.00;1750.00;125.00;513.00;407.00;391.00;508.00
7644.00;11080.00;1750.00;125.00;513.00;408.00;392.00;508.00
8281.00;11080.00;1750.00;125.00;513.00;408.00;391.00;507.00
8918.00;11080.00;1750.00;125.00;513.00;408.00;391.00;507.00
9555.00;11080.00;1750.00;125.00;513.00;407.00;391.00;508.00
10192.00;11080.00;1750.00;125.00;512.00;407.00;393.00;509.00
10829.00;11080.00;1750.00;125.00;510.00;407.00;395.00;510.00
11466.00;11080.00;1750.00;125.00;510.00;407.00;396.00;509.00
12103.00;11080.00;1750.00;125.00;510.00;408.00;396.00;508.00
12740.00;11080.00;1750.00;125.00;511.00;409.00;396.00;507.00
13377.00;11080.00;1750.00;125.00;511.00;410.00;394.00;506.00
14014.00;11080.00;1750.00;125.00;512.00;410.00;393.00;505.00
14651.00;11080.00;1750.00;125.00;514.00;411.00;392.00;504.00
15288.00;11080.00;1750.00;125.00;516.00;413.00;389.00;503.00
0.00;13296.00;1750.00;125.00;512.00;406.00;404.00;513.00
