PositionsExploration:;NumX=;20;NumY=;20;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0.00;0.00;4000.00;125.00;576.62;448.46;456.06;587.36
805.00;0.00;4000.00;125.00;580.38;453.58;454.40;582.38
1610.00;0.00;4000.00;125.00;581.82;456.18;454.02;582.30
2415.00;0.00;4000.00;125.00;583.54;458.36;453.98;582.06
3220.00;0.00;4000.00;125.00;583.60;459.60;454.30;581.88
4025.00;0.00;4000.00;125.00;583.80;459.98;453.46;581.48
4830.00;0.00;4000.00;125.00;584.16;460.24;453.30;581.68
5635.00;0.00;4000.00;125.00;585.10;461.00;454.34;581.32
6440.00;0.00;4000.00;125.00;584.64;460.68;454.38;582.18
7245.00;0.00;4000.00;125.00;585.80;462.10;454.70;582.02
8050.00;0.00;4000.00;125.00;585.48;462.32;454.56;581.46
8855.00;0.00;4000.00;125.00;584.84;461.90;454.72;582.70
9660.00;0.00;4000.00;125.00;585.50;462.30;454.44;582.36
10465.00;0.00;4000.00;125.00;585.76;462.02;454.00;582.66
11270.00;0.00;4000.00;125.00;585.86;462.64;454.46;582.64
12075.00;0.00;4000.00;125.00;585.72;462.02;453.84;582.70
12880.00;0.00;4000.00;125.00;586.22;461.62;453.68;582.54
13685.00;0.00;4000.00;125.00;586.28;462.36;453.42;582.40
14490.00;0.00;4000.00;125.00;587.72;463.20;452.42;581.42
15295.00;0.00;4000.00;125.00;589.30;463.92;449.62;580.56
0.00;700.00;4000.00;125.00;579.82;452.74;460.12;590.48
805.00;700.00;4000.00;125.00;583.34;457.54;457.20;586.04
1610.00;700.00;4000.00;125.00;583.64;458.44;455.88;583.74
2415.00;700.00;4000.00;125.00;585.12;460.00;455.84;582.46
3220.00;700.00;4000.00;125.00;585.92;461.16;455.08;581.80
4025.00;700.00;4000.00;125.00;584.86;460.82;454.36;580.94
4830.00;700.00;4000.00;125.00;585.12;460.40;455.10;581.90
5635.00;700.00;4000.00;125.00;585.06;460.98;455.88;582.78
6440.00;700.00;4000.00;125.00;585.02;461.06;454.86;581.46
7245.00;700.00;4000.00;125.00;585.26;461.50;455.08;581.28
8050.00;700.00;4000.00;125.00;585.58;461.34;454.70;581.02
8855.00;700.00;4000.00;125.00;585.66;460.68;454.54;581.26
9660.00;700.00;4000.00;125.00;585.52;461.52;454.62;582.30
10465.00;700.00;4000.00;125.00;584.90;461.62;454.16;581.00
11270.00;700.00;4000.00;125.00;585.82;461.98;455.20;581.84
12075.00;700.00;4000.00;125.00;585.64;462.12;454.36;581.10
12880.00;700.00;4000.00;125.00;585.92;461.86;454.00;581.58
13685.00;700.00;4000.00;125.00;586.64;462.56;453.48;581.14
14490.00;700.00;4000.00;125.00;587.66;461.86;451.96;580.12
15295.00;700.00;4000.00;125.00;589.44;463.50;450.60;579.08
0.00;1400.00;4000.00;125.00;579.28;452.54;460.16;589.74
805.00;1400.00;4000.00;125.00;583.00;457.08;456.84;585.34
1610.00;1400.00;4000.00;125.00;584.30;459.26;456.28;583.76
2415.00;1400.00;4000.00;125.00;584.88;460.18;455.64;582.24
3220.00;1400.00;4000.00;125.00;584.92;459.96;455.38;582.42
4025.00;1400.00;4000.00;125.00;585.28;460.86;455.24;582.16
4830.00;1400.00;4000.00;125.00;585.00;462.00;455.82;582.26
5635.00;1400.00;4000.00;125.00;585.64;461.36;454.80;581.60
6440.00;1400.00;4000.00;125.00;585.24;461.58;455.46;581.96
7245.00;1400.00;4000.00;125.00;585.70;461.92;455.74;582.14
8050.00;1400.00;4000.00;125.00;585.48;462.14;455.46;582.04
8855.00;1400.00;4000.00;125.00;585.68;461.72;454.80;581.78
9660.00;1400.00;4000.00;125.00;585.46;461.92;455.22;581.58
10465.00;1400.00;4000.00;125.00;585.88;461.86;454.44;581.38
11270.00;1400.00;4000.00;125.00;585.88;462.30;455.58;582.68
12075.00;1400.00;4000.00;125.00;585.92;461.92;454.12;581.38
12880.00;1400.00;4000.00;125.00;586.38;461.90;453.64;581.10
13685.00;1400.00;4000.00;125.00;586.88;462.20;454.28;581.34
14490.00;1400.00;4000.00;125.00;588.04;463.32;451.56;579.92
15295.00;1400.00;4000.00;125.00;589.94;464.28;450.20;579.82
0.00;2100.00;4000.00;125.00;579.52;452.78;460.82;590.14
805.00;2100.00;4000.00;125.00;582.66;456.74;457.72;585.60
1610.00;2100.00;4000.00;125.00;584.40;458.80;456.04;583.18
2415.00;2100.00;4000.00;125.00;584.96;459.96;456.20;582.40
3220.00;2100.00;4000.00;125.00;585.28;460.88;455.28;582.44
4025.00;2100.00;4000.00;125.00;585.72;461.90;455.56;582.08
4830.00;2100.00;4000.00;125.00;585.16;461.46;455.70;581.54
5635.00;2100.00;4000.00;125.00;585.50;461.98;455.40;581.82
6440.00;2100.00;4000.00;125.00;585.74;462.46;454.76;581.30
7245.00;2100.00;4000.00;125.00;584.42;462.12;456.02;581.42
8050.00;2100.00;4000.00;125.00;585.36;461.90;455.58;581.90
8855.00;2100.00;4000.00;125.00;585.50;462.64;455.74;581.72
9660.00;2100.00;4000.00;125.00;585.42;462.36;454.84;581.32
10465.00;2100.00;4000.00;125.00;585.46;462.48;454.66;581.64
11270.00;2100.00;4000.00;125.00;585.70;462.52;454.88;582.22
12075.00;2100.00;4000.00;125.00;586.06;462.16;454.34;581.28
12880.00;2100.00;4000.00;125.00;585.82;462.94;453.98;581.36
